阅读,评论,标题,最后更新
28,0,$晋控电力(SZ000767)$,06-05 05:43
50,2,$晋控电力(SZ000767)$,06-05 03:18
167,4,什么叫煤电一体化，公司在同投资者玩文字游戏，大家往上面反应反应,06-05 09:34
93,0,$晋控电力(SZ000767)$,06-05 08:11
59,0,[图片],06-05 08:08
152,4,[图片],06-04 09:53
221,4,本以为是妖股，没想到是臭股！,06-04 02:06
218,16,等吧，等到st你们就舒服了。,06-03 02:08
76,1,明星电力是你爷,06-04 01:03
36,0,别上当！,06-04 01:36
62,0,跌破2元不用等到st再跑,06-04 11:32
859,44,大盘亏损股大跌，把晋控带下来，今天加了三笔，以收盘计价，再次如愿成为雷峰，一月来,06-03 06:43
73,0,还有韭菜在买，666！,06-04 09:46
101,0,1000家st绝对有晋控电力信不信。,06-03 11:22
78,0,1000家st肯定有他,06-03 11:19
68,0,早晚会有一个跌停等着吧,06-03 11:15
40,0,跌停,06-03 10:59
436,3,想做雷峰不易，亏点钱这么难吗？相比前三次买入，今日追高来一点，提高成本，愿亏一把,05-31 03:08
123,0,"勇士们，锦州港年年分红都能st,躺着也中枪，哈哈！",06-03 09:43
104,0,电力没有人看好,06-03 04:49
117,0,割肉绝对正确,06-03 04:49
48,0,有些话还不准说，767割肉三年来血亏,06-03 04:48
29,0,哈哈,06-03 02:25
48,0,今天什么原因,06-03 02:00
54,0,现在不进，等3块5再抢？,06-03 01:55
24,0,头顶生疮脚底流脓，坏透啦,06-03 01:54
39,0,应该会涨停吧,06-03 01:49
26,0,止跌了？,06-03 01:35
212,6,牛回头了，快抢！！,06-03 09:42
57,0,低价亏损股，有些危险,06-03 01:32
33,0,看不懂，今天，这么小的量，砸破位。,06-03 01:31
136,5,太恶心了这样子,06-03 09:59
309,0,股市的本质是与自己对抗,06-03 01:06
271,2,庄家已经为st做了充分准备,06-03 10:53
116,0,完了，大概率晋控退,06-03 11:25
91,1,不跌到1块别卖,06-03 10:31
208,6,晋控电力6月3日盘中跌幅达5%,06-03 10:11
68,0,会不会反弹,06-03 10:55
108,0,目前没有看到止跌，还要下探寻支撑，2.35有强支撑，等出现小阳线再进场，目前逢高,06-03 10:52
32,0,垃圾东西,06-03 10:44
73,0,低价亏损股碰不得,06-03 10:44
31,0,st的征兆,06-03 10:42
37,0,此股看着就恶心，已经被活埋3年了,06-03 10:36
65,0,会ST吗？？？,06-03 10:36
78,0,这种亏损严重股，最好不要碰，持有的赶紧走人，随时退市风险太大！,06-03 10:20
36,0,清仓销户,06-03 10:15
45,0,就这价位还跌，不是庄跑路，就是太黑,06-03 10:10
28,0,加油跌,06-03 10:07
33,0,真恶心,06-03 09:58
39,0,我没搞懂啊你个你涨过吗你爹回来啦草,06-03 09:53
33,0,爽,06-03 09:48
37,0,吃多了吗,06-03 09:43
56,0,会不会被ST呀，是不是主力提前拉高跑路了[可怜][可怜][可怜],06-03 09:42
44,0,股，从来就这臭德性，恶心至极！今后小散们千万不要买这脏货，太臭了！,06-03 09:24
267,1,自己看着办吧,06-01 07:41
62,0,晋控电力：融资净偿还297.14万元，融资余额1.82亿元（05-31）,06-03 08:53
2548,26,晋控电力最大优势条件是，就地就近燃煤供应，也就是煤矿坑口就近保供，减少运输环节，,05-12 10:19
67,0,哈哈,06-02 04:16
112,0,晋控电力本周融资净买入2473.92万元，居电力行业板块第十四,06-02 03:06
139,0,晋控电力：本周深股通持股量环比减少51%，周内减仓幅度居电力行业板块第三,06-02 02:11
405,0,照这个趋势，会有牛市，代价是一堆央企国企民企st，就看哪支股票会翻倍，哪支股票有,06-01 11:07
400,4,砸到两块五毛八，能抢一个，反抽，嗯，注意节奏,05-31 08:02
188,0,主力学学中泰化学和锦州港吧，好事多做些,06-01 02:15
2870,18,煤机质量（二）,05-26 11:21
67,0,跌停,06-01 11:32
332,1,具备妖股的潜力,05-31 11:39
182,3,主力也真是的，今年4月跌过一波了，要跑的早跑了，下一波估计要调整一段时间了,05-30 12:07
176,0,兄弟们不要慌，多拿几年，等给公司员工发不了工资的时候就开涨了,05-31 12:17
203,0,我今天尾盘加仓,05-31 05:20
358,4,真想抽自己，涨停的时候跑了，想低点进，结果才2天，昨天水下2个点就忍不住进了，到,05-31 12:25
234,0,风电和光伏发电代替不了火电，核电就是控制污染水电也不如火电稳定,05-31 02:38
151,0,吃饭钱都投进来了，给力啊,05-31 02:31
181,0,767是电力板块唯一今年还是亏的票,05-31 02:20
80,0,真是个，变态，垃圾货色,05-31 02:19
558,5,请问集团公司的帮助政策落实下来了吗？,05-30 04:13
129,0,横久不是什么好事,05-31 01:45
182,2,看看多久回本，又加了两笔[怒][怒][怒][怒],05-31 12:03
84,0,垃圾,05-31 01:06
158,0,000767,05-31 12:19
89,0,电力必涨哈……,05-31 11:40
43,1,泰拉鸡啦,05-31 10:47
54,0,A杀,05-31 11:28
86,0,又要盘几周了，干，加油,05-31 11:19
1408,5,晋控 分享,05-29 05:08
132,1,那天涨停的大单是怎么跑掉的啊？完全没有出货的机会啊？,05-31 09:58
74,0,不拉高想出货勾庄想的到美[捂脸][捂脸][捂脸][捂脸],05-31 10:14
56,0,搞吧。搞吧，,05-31 10:13
35,0,这玩意就是,05-31 10:12
39,0,历来就是这臭德性。恶心！,05-31 10:02
40,0,恶意做空,05-31 10:00
64,0,牢牢套住！卡个跟头,05-31 09:58
310,2,明天还得埋，跌下来再进场,05-30 03:30
245,6,跌一个点加一万，跌一个点加一万，加三次了，[怒][怒][怒],05-30 01:47
43,0,……,05-31 09:49
71,0,扶不起的阿斗熊到家了,05-31 09:46
64,1,一个涨停板跌没了，你们这帮人来凑什么热闹！,05-31 09:34
73,0,干，越跌越买，买到一块7,05-31 09:37
249,5,我早上2.81元进的，早上2.81元进的，早上2.81元进的，刚睡醒一看现在咋办,05-30 01:51
46,0,这就是啦拉几的表现,05-31 09:24
61,0,晋控电力：融资净偿还1619.06万元，融资余额1.85亿元（05-30）,05-31 08:54
114,0,亏损股现在都怕暴雷，不过有可能机构在之前会拉升出货。,05-31 08:19
71,0,这货太不争气了，涨的不多，跌的很快，新能源里有它，也是不中用，,05-31 07:27
120,1,这股会st吗？菜鸟求问,05-30 10:51
125,2,明天继续活埋,05-30 02:37
302,3,电力行情结束了吗？此股就没有参与过！,05-30 02:48
177,4,销户，退出，愿赌服输。,05-30 02:13
202,0,主力是不折不扣的情绪大师。服！,05-30 09:13
377,5,有没有可能st啊,05-30 01:41
62,0,再跌一天,05-30 06:27
169,0,纯纯的讨吃庄,05-30 03:17
108,2,这老庄老狠了，游资过来就被埋,05-30 01:14
104,3,4月上海入境游客同比暴增142.4%，今年有望突破500万人次,05-29 12:30
1669,17,成功取得了集团公司大力支持，为晋控电力打了一支“强心剂”，增强了我们的扭亏的信心,05-14 12:04
93,2,跌破2.60准备割肉了，怕又遭ST。,05-30 01:53
62,0,一个涨停板都进来了，活该被套！这家公司啥德行还不知道吗，亏损大户基本面差得要命！,05-30 02:10
174,0,此股应该破一退市或ST了。,05-30 02:04
58,0,跌停？,05-30 01:52
193,1,这么多卖单，都赚钱了么？[捂脸]位置也不高啊，底部才一个板就这样跌么。,05-30 01:35
55,0,严查大股东融券做空！,05-30 01:49
509,7,这个十字星，明白人解释一下[抱拳][抱拳],05-29 09:15
116,0,这个货出的爽歪歪啊,05-30 01:27
104,0,跑不跑埋了又得磨,05-30 01:05
99,0,挺扛跌的，加油吧，欧里给,05-30 01:04
86,0,别的电都涨了那么多，不长反而跌的跟狗丝一样,05-30 12:31
