阅读,评论,标题,最后更新
97,0,汪洋中的一条大船，渐渐失去动力，，不知道飘向哪里去了,06-04 11:13
69,0,PE34，近900多亿，减持专用提款机这么搞最后是一地鸡毛。,06-04 06:22
97,0,这成交量，缺口不补吗？,06-03 01:30
92,2,900亿市值，利益透支的泡。,06-03 10:56
45,0,长阴将至！血本无归！,06-03 09:35
43,0,$东鹏饮料(SH605499)$,06-03 09:40
83,0,远离庄股，10年股民的忠告,06-01 08:43
389,0,快讯丨传三得利将收购波士顿啤酒；东鹏饮料回应减持担忧；物美创始人回应“实体店是否消失”；苏崇铭退任统一非执行董事……,06-01 03:07
88,0,大股东高位卖公司,06-01 08:02
79,0,东鹏饮料：融资净买入43.35万元，融资余额7927.5万元（05-31）,06-01 07:46
168,3,市值八百多亿，严重虚胖，打完一折再打个对折都还是有点虚,05-31 06:18
117,0,远离减持的股票，高管、大股东、二股东们比我们更加了解自己的企业，他们都不看好未来,06-01 12:27
95,0,每天跌那么点太慢了,05-31 11:58
718,0,东鹏饮料回应减持担忧 新品“东鹏补水啦”异军突起|直击业绩会,05-31 08:05
83,0,什么原因？,05-31 05:43
224,5,月k杀，小心收盘集合竞价跌停板,05-31 11:03
271,4,尾盘杀跌，啥情况？,05-31 03:02
91,1,总股本61％解禁，减持[怒],05-31 10:16
83,0,等着看,05-31 03:25
115,0,这种减持服务的票一有风吹草动，瞬间翻脸不认人，能跌光你全布！诀不危言耸听，也不吓,05-31 03:24
86,0,人在做天在看！股市反其道而行，普通人难赚到钱。血汗钱请远离，下月很xx！！一句人,05-31 03:06
78,0,量价扭曲！大跌降临。,05-31 02:10
135,3,明天是5.30了！记住历史。长阴将至，久盘不是办法。该减持必减持！该回归必回归！,05-29 04:59
174,6,这么个名不经传的饮料竟然维持二百多元股价真是中国股票市场的奇迹！,05-29 05:49
209,7,特饮已经打出规模优势，在国内的功能饮料市场已经基本无敌了，而且公司的新品增速也快,05-30 09:53
72,2,东鹏饮料散户无论赢亏都该走了，珍爱血汗钱,05-31 10:24
154,3,涨到天了，现在不走等什么,05-30 01:19
84,1,天天刮风下雨，饮料没人买了。小心在历史大顶上坐大劳,05-31 10:50
66,3,这么丑恶的成交！是风险巨大化！托不住就塌,05-31 10:22
725,4,东鹏饮料遭二股东减持超1000万股 后者套现近19亿元,05-30 08:10
62,0,这个财报太难看了，不好,05-31 07:49
60,0,东鹏饮料：连续3日融资净偿还累计513.21万元（05-30）,05-31 07:43
104,0,慢慢跌到21块,05-30 11:16
76,0,这是一个庄股,05-30 09:49
137,2,预测一下明天会不会大幅跳水？,05-30 08:01
56,0,最贵St,05-30 08:37
87,0,这么明显的出货盘口[捂脸][捂脸][捂脸],05-30 07:44
904,5,百润股份(002568)估值分析：4家机构认为“低估”——24Q1收入高基数下降速，静待新品驱动,05-30 01:47
142,0,【东鹏饮料股东天津君正套现超19亿元 】,05-30 02:58
295,0,巨额解禁2.41亿股之后，东鹏饮料的大股东们会跟着减持吗？,05-30 01:50
263,0,2.41亿股巨额解禁，东鹏饮料股东又要减持套现了？,05-30 01:32
682,6,东鹏饮料第二大股东完成减持超1000万股 占总股本2.7085%,05-29 08:48
369,0,东鹏饮料第大二股东君正投资减持套现约19亿元,05-30 11:11
62,0,只要公司产品继续维持这种高增长态势，我的持股不会减持一股,05-30 09:50
277,0,解禁公告后的股东减持，东鹏饮料第二大流通股东天津君正频繁减持,05-30 09:35
63,0,东鹏饮料：融资净偿还80.63万元，融资余额8024.62万元（05-29）,05-30 07:43
123,0,东鹏减持上头条了,05-29 10:00
406,0,东鹏饮料(605499.SH)：君正投资完成减持2.71%股份,05-29 08:14
1077,0,东鹏饮料:东鹏饮料(集团)股份有限公司股东减持股份结果公告,05-29 07:48
131,1,价值洼地，赶紧买,05-29 11:21
73,2,阴跌模式,05-29 10:13
106,0,周k三连阴刀，月线告别线。缺口必补184见,05-29 11:00
