阅读,评论,标题,最后更新
240,0,今天红盘开出，马上又绿盘，今天周四，又会大跌！,06-06 06:20
784,0,从哪来回哪去，去年6元多涨上去的，现在钱圈完了，价值回归，搞着芯片的幌子骗钱[好,06-06 12:41
1354,16,大家不用担心。我周一的帖子删了，但周一看过我帖子的人应该还有印象。我说过，这周一,06-05 10:53
805,7,虽然我在14.45元清空了鸿博，但我要告诉你们，没有一家接到年报问询函后被ST的,06-05 05:05
810,0,今天拉涨停板[大笑][大笑][大笑][呲牙][呲牙][呲牙][牛][牛][牛],06-06 12:16
255,2,一成仓位试错，等个超跌反弹，今天套了1.9个点，要暴雷早就来了，只是没人点火，等,06-05 10:43
477,5,还在使用英伟达的商标，你个骗子公司，还在使用人家的商标，居心何在,06-05 08:23
327,6,明天还会跌吗？[撇嘴][撇嘴],06-05 07:23
1199,7,上证指数4月底已经向上突破关键的生命线，已经意味着进入牛市状态，此次回调的目标也,06-05 01:59
682,0,高平量化做全股市的庄，加上股东质押坐庄，多头在涩涩发抖，散户朋友被切割的没脾气了,06-05 11:30
39,0,有退市风险,06-05 11:28
50,0,回到5块,06-05 11:11
207,2,敢不敢赌？我赌他没事，明天来一手[哭],06-05 09:50
44,0,st鸿博,06-05 10:54
41,0,注定退市,06-05 10:40
235,2,这是怎么回事？快出来澄清一下，鸿博股份，为什么股价一直往下跌？给大家一个说法，给,06-05 08:44
157,0,内斗的结果就是一地鸡毛！！！,06-05 10:39
10815,247,早上好，宝宝们~,06-05 09:36
237,3,那个金吖吖。怎么不提老庄了呢。,06-05 07:58
713,7,鸿博十大股东结构和ST爱康是一样的，兄弟姐妹们大家一定要注意这种大股东已经套现离,06-05 03:35
204,0,跌回2023年初才合理。,06-05 09:59
214,0,这种股应该发个问询函，当初鼓吹自己和英伟达有关系？有什么关系？是不是欺骗股民？,06-05 09:58
174,0,亏16个点走的没啥好说的大盘不好，这股垃圾等回调，不行就换股头铁的可以抄底,06-05 09:49
182,0,每天跌3.5个点，一个月跌100个点还是可以接受得”,06-05 09:48
178,0,如果明天高开，就是跑的机会。,06-05 09:47
52,0,看了评论，一片哀嚎,06-05 09:38
134,0,机构股，上次差点买了。,06-05 09:36
205,2,给个面子，明天13.14收，我端午节过后早盘来接盘[大哭],06-05 08:47
681,4,靴子落地，京能的5亿真实可靠，大家安心睡觉，锁仓三个月，等二季度确认收入,04-30 12:39
238,0,英是英伟达的英，英伟达身上随便拔根毛，举牌控股鸿博，英博成为子公司。大家可以臆想,06-05 09:12
245,2,完了，鸿博想延期回复问询函,06-05 07:39
240,2,要赌回复函有涨停吗？,06-05 08:30
40,0,举报举报,06-05 09:05
307,0,其实也没啥大问题，就是拿不到英伟达的机器导致百川合同没进度不好意思说出来，京能的,06-05 08:46
147,1,退市吧，远远比不上浪潮啊,06-05 07:39
33,0,9元见,06-05 08:22
162,1,我来接盘一层仓一层仓入，风浪越大鱼越贵，有卖的就有买的，可千万别一头砸进去,06-05 06:39
1254,28,我的7700股，终于要涨了,05-24 09:13
483,5,拉远一点看，现在的价位还在半山腰上啊,05-30 08:35
369,11,该怎么办？亏了55个点了，不割怕继续跌，割了又下不了手。苍天啊，怎么就买了这么个,06-05 03:12
264,4,迟迟不回复问询函，是心虚还是配合打压？？,06-05 05:24
536,10,起涨点是七八块，高点下来已经打骨折了，现在还有人脸大的要以三块多的价格回购，真是,05-06 05:10
143,1,大宗交易接盘资金哪儿去了？,06-05 06:13
183,0,曾经的20倍大牛股怎会沦落到这番田地,06-05 07:41
20494,411,上午终于等到25元以下的加仓机会，24元左右如意加仓上午算力板块大跌，自己按照既,04-03 11:56
2162,42,七公老师，金丫丫老师，怎么把我拉黑了，不是说这周上31吗？[庄家入场]。各大家要,01-05 10:41
33,0,退市！虽然我也有！,06-05 07:11
235,3,鸿博67亿市值了，天哪,06-05 06:18
117,1,这里有主力意愿,06-05 04:25
284,1,主力有点筹码，每天开盘对倒就砸，散户割肉踩踏而出，主力再顺势检点便宜筹码。现价越,06-05 05:36
104,0,所以问询函回复了没[滴汗],06-05 06:56
167,1,$鸿博股份(SZ002229)$,06-05 05:52
102,0,这种垃圾迅速清场退市吧,06-05 06:51
205,1,金丫丫个菜鸡我自己发的帖子都能给我删了，真是厉害，但凡评论说她的，通通拉黑，然后,06-05 05:44
135,0,不要贪，这家之前涨太多了，要买科技就买中贝，紫光，都比他们好,06-05 06:49
196,2,鸿博庄真会洗，难道会创新高,06-05 03:02
96,2,这个票30的本，真的是上一次没卖，太亏了,06-05 03:14
170,2,别指望什么问询函回复了，回复也有可能便空、偏中性,06-05 05:49
54,0,让公司出货卖给散户,06-05 06:42
147,2,到阻力位了，应该有几天震荡了，然后继续跌,06-05 04:34
36,0,英伟达创新高了,06-05 06:38
130,0,st鸿博——20个跌停——鸿博退[旺柴],06-05 06:34
117,0,有买有卖的，明天我先试试水,06-05 06:32
163,4,我去了，13.90全卖，13.80买入，嘈了，今天尾盘炸成这种，每天t一下，t回,06-05 03:05
4605,3,我提醒一下啊，这股不错但是炒股真的要吸取历史教训，鸿博上一次从12月18开始一路,03-27 10:59
56,0,故事讲完了，还不卖？,06-05 06:12
149,0,全是散户想抄底，十大股东都没多少票在手上，哪里起来跌哪里去,06-05 06:11
136,0,英是英伟达的英有何感受？,06-05 06:11
179,0,没收到问询函的也一样跌，中贝通信，高新发展，恒为科技，利通电子，统统跌！,06-05 06:02
335,5,4/16警示函，5/20年报问询函，谁敢碰？!,06-05 01:37
171,4,回头看，好可怕，30几卖的……,06-05 02:21
130,0,炒股第一条，不碰趋势下降股，碰见了及时止损,06-05 05:32
213,0,6月8日要回复问询函，都是针针见血的问题，容不得半点忽悠，鸿博股份真难啊！只能实,06-05 05:27
31,0,st鸿博,06-05 05:16
228,0,还在坚持的都抱有一种预期，那就是低点以后一定会有反弹，会再来个涨停什么的！但还有,06-05 05:12
155,0,即使回复了问询函也没用了100%套牢盘冲高也是回落,06-05 05:11
41,1,跌到何时，奈何,06-05 03:26
434,8,金yy开始唱空了==,06-05 03:39
159,8,继续加仓，和你耗上了,06-05 02:37
162,3,已经没钱再补了。[哭][哭],06-05 03:00
150,3,主力每天跑几千万，等主力跑完要st了,06-05 11:13
195,0,没有最底，只有更底，割韭菜是没有底线的。,06-05 04:38
527,12,问询函不能提前回复的吗？,06-05 12:58
518,9,这个票只能中午看，因为早晚要去10元以下了，时间会验证这个事实,05-01 06:19
179,4,快点回复涵啊，快点止跌啊,06-04 01:34
259,6,买入7w股，明日有反弹需求，技术型上要求的,06-05 02:54
184,1,回复函需要再6月8号前发送，就两天工作日了，明天大概率发送，应该不是好事，现在都,06-05 02:54
131,0,明天能不能涨点[怒],06-05 04:27
188,4,鸿博到底何时能企稳啊？天老爷！25块多进的一路亏加满仓了怎么办啊[哭][哭][哭,06-05 03:22
38,1,明天会大涨吗？,06-05 03:25
77,3,每天都跌，有完没完,06-05 02:43
68,2,大家别买这股能到6块,06-05 02:38
109,0,，惊喜[大笑][大笑][大笑],06-05 04:14
112,0,了，给小散们惊喜[呲牙][呲牙],06-05 04:13
42,0,一样,06-05 04:10
107,3,十六块几的本[哭][哭][哭][哭][哭][哭],06-05 02:17
214,0,大家不要慌，这是主力老庄再洗盘，还持有的继续坚持吧，反正你也不会卖，只要再忍受5,06-05 03:58
635,3,这股票第一大股东才占1.37%原大股东占股13.18%的已经退出了，第一次见到这,05-20 11:14
388,9,谁知道鸿博股份的电话号码，我要问下去,06-05 01:34
147,8,为啥不卖呢，你们,06-05 10:33
93,3,再过几天市值只剩30个亿了，不信等着瞧,06-05 02:37
46,2,大家不要卖了。,06-05 02:43
127,2,高手猜猜鸿博能值几个钱，什么价钱可买？,06-05 12:52
120,1,不要找利好了，不要到处找利好了，说的就是你，下跌趋势不要对抗，这股既然大涨不了为,06-05 03:06
5833,60,鸿博股份索讯一览,04-16 06:45
72,2,哪位大神知道怎么申请索赔？,06-05 02:49
115,0,现在的鸿博犹如惊弓之鸟，一旦爆发就不可收拾了，只要出现一个跌停板有可能就全部完蛋,06-05 03:26
1567,9,鸿博股份参考莲花味精就行了，这两家企业没什么区别，那几块卡也差不到哪里去，都是在,06-05 06:25
93,1,尾盘大概率13.7收盘,06-05 02:53
97,0,鸿博虽然短期有调整，但公司的长期增长潜力依然存在，值得持续关注,06-05 02:54
3580,111,中长期继续看空，预估月底到13元左右。话不多说，拿实力说话，目前胜率100%，诚,05-13 11:18
68,0,人气已经越来越低了，成交额继续萎缩，等着被ST吧，趁早割了远离股市，别到时候成了,06-05 03:13
83,0,好家伙。连续6年亏损，18年到23年。你们猜接下来会发生什么[大笑][大笑][大,06-05 03:09
63,1,三月份买进的，哪位知道怎么申请索赔,06-05 02:47
196,3,每天卖都是对的[卖出][下跌][奸笑],06-05 10:14
103,4,$鸿博股份(SZ002229)$,06-05 02:36
65,1,每天都是新低，那个位置买都是套！,06-05 02:45
323,14,你们都是多少钱的本啊,06-05 10:07
171,3,亏得一塌糊涂[韭菜][韭菜][韭菜],06-05 12:28
29,0,明天到12,06-05 02:59
854,6,关于回复函，按进度，如果回复了，应该会在6号凌晨或7号盘后会发,06-05 07:19
124,4,预估的跌三个点13.69快到了,06-05 02:34
69,0,太好了，终于离退市又近了一步,06-05 02:58
63,0,每天三到五个点，一天五毛钱，温水煮青蛙，天天创新低，什么时间买都是套，第二天低开,06-05 02:57
31,0,超额完成,06-05 02:57
59,0,还是你厉害，一不留神就跌几个点，这样下去很快底裤没有了,06-05 02:54
137,3,600766。。603133。。600647暴跌，小心，小心，小心,06-05 01:58
2317,13,问询函真不是什么了不得的事。刚看到去年6月的一个新闻，去年前半年收到问询函的上市,06-04 05:00
147,3,今天跌三个点收盘差不多,06-05 01:35
65,0,割了割了，亏了10几个,06-05 02:50
148,1,四十多块时我就说这是第二个左江,06-05 12:25
125,3,这不就是下一个爱康吗？,06-05 01:50
6741,65,2024年4月16日，鸿博股份因设备销售收入原入账时间未得到审计机构认同，公司大,04-22 11:31
32,1,这货完了！！！,06-05 02:33
104,1,问题股少碰，现在管的严,06-05 12:35
62,0,啊掐指一算，鸿博股份跌的好惨啊？跌破13准备资金托他[俏皮],06-05 02:49
299,11,希望你新低后企稳！！！,06-04 10:23
31,0,阴跌不止,06-05 02:48
166,3,抄底鸿博，下一支英伟达，坐等拉升连板[呲牙][呲牙][呲牙][大笑][大笑][大,06-05 01:53
98,1,这种票也敢买？你的钱是大风吹来的？,06-05 02:25
40,0,每天跌3%左右没有比这更稳定的了[大笑],06-05 02:42
7739,40,回避三高（高融资占比，高质押率，高负债率），兼谈资产负债率的戴维斯双击与双杀,02-02 01:35
23,0,大家不要卖了，,06-05 02:42
48,0,这货是完全完了！？？,06-05 02:34
158,3,天天跌，等跌到13我也要补仓了,06-05 02:07
20,0,[哭][哭][哭],06-05 02:32
528,27,行动比在这里等待的好,06-05 09:40
5252,27,可转债一天暴跌76%！鸿达退债仅剩10元，如何识别可转债信用风险？,05-25 11:18
59,0,天天跌不停，还不如来个痛快的，一步到位，省的看着烦,06-05 02:24
60,0,跌到7块钱我就考虑建仓100股,06-05 02:18
31,0,跌倒1元抄底,06-05 02:14
47,1,9元企稳。,06-05 01:53
76,0,赶快ST吧，纯纯恶心人,06-05 02:05
214,0,鸿博应该要吃个跌停了,05-30 09:34
77,0,会不会到6块！！都不敢买,06-05 02:03
81,0,天天跌，等跌到30%我也要补仓了,06-05 01:56
1421,14,温水煮青蛙,05-28 10:39
192,3,前段时间周任职期间炒得太高了，股价应该跌回原来应该有的价位才合理，不要不适应，9,06-05 01:15
62,3,回六七块？,06-05 10:59
8511,80,对于鸿博股份的肺腑之言,06-04 02:28
