阅读,评论,标题,最后更新
92,1,中核系都涨上天了啊，这个咋回事？,06-05 01:17
109,1,中国核电，中国广核，中广核技都在不断新高啊,06-05 10:02
315,9,核电板块长成啥了，屮,06-04 01:23
40,0,会红的垃圾呀。,06-04 02:26
57,1,这也是股票呀。,06-04 10:26
213,9,近期可能有涨停走势出现！大家可以拭目以待！,06-04 07:52
58,0,这个怪股票。,06-04 10:41
58,1,是中字头的吗？,06-04 10:17
2176,17,中核科技“国和一号”示范项目燃料运输通道闸阀完成出厂试验,06-01 12:39
1210,40,买在最高点,05-14 11:41
127,1,开始砸盘了。跑啊,06-03 01:23
47,0,提前挂单，买定离手,06-04 10:32
436,11,三个月翻倍第四个月开始回调属于正常回调现在买入都是接盘看好走二波不过需回调16元,05-31 10:40
70,0,60日均线生命线支撑，看紧补仓，小心求证,06-04 09:23
79,0,中核科技：融资净偿还2711.33万元，创近一年新高（06-03）,06-04 08:51
134,2,这个票没多少人了,06-03 07:06
162,1,热度2000以上还远吗？[大笑][大笑][大笑][呲牙],06-03 08:10
665,0,世界在建海拔最高风电项目进度条更新——40台风机基础浇筑完成,06-03 06:43
5172,7,短线买点,06-03 10:30
182,1,越吹越跌，越出利好越跌，炒股必须反着来。[大笑][大笑][大笑],06-03 03:56
107,3,这股利好越多跌的越历害哈哈真奇葩！,06-03 09:09
166,1,一卖就涨，一买就套。信不信。,06-03 01:05
413,2,这股是怎么了？按说无论从基本面消息面还是业务拓展空间看应该岀现强势反弹，怎么反而,05-31 06:50
203,2,这么多人看空应该安全了[笑哭],06-02 08:51
48,0,跑。你一买就砸跌。走z啊。管他涨跌，也没你什么事的。跑,06-03 01:38
84,1,真的没用，中国核电都涨了五个多点了。,06-03 10:47
95,0,今天随便出个3千万，哈哈，欢迎进来接盘,06-03 11:39
123,1,这个月要发力了！,06-03 10:32
120,0,今年第一次冲击2016~2017年压力区失败，暂时按兵不动，做好大不了坐一次过山,06-03 11:13
48,0,割肉的股已涨停，然鹅买进的股还在亏损，这心情真的是没谁了,06-03 11:06
96,0,你笑大哥位置高，大哥笑你起不来,06-03 10:53
103,0,买这种等套吧。不i是小资金玩的，半导体，低空电池多好。,06-03 10:33
145,2,中国核电5个点，你不来3个点？,06-03 09:37
115,0,中国核电那么大的盘子都涨了四个多点，你还跌啊。,06-03 09:45
297,1,连续拉涨停你们就会后悔的,06-02 07:48
191,1,靠，刚割….[滴汗],06-02 11:56
805,5,中共国家能源局党组6月1日在《求是》杂志发布文章《加快建设新型能源体系提高能源资,06-01 02:19
67,0,中核科技：融资净偿还254.35万元，融资余额4.43亿元（05-31）,06-03 08:53
73,0,$中核科技(SZ000777)$,06-03 08:13
181,1,一群老6哈哈,06-02 03:20
257,0,控制情绪；做自己的主人,06-01 12:28
149,0,中核科技本周融资净买入7317.5万元，居通用设备板块第一,06-02 03:08
110,0,中核科技本周深股通持股市值减少2149.02万元，居通用设备板块第五,06-02 02:10
344,7,好多托子呀，哈哈，短时间出不去啦,05-31 08:48
133,2,目标价30,06-01 05:33
219,0,尊重盘面，我认了，但我会盯死你的，赚钱不走是我的错，但你有种就放量下跌,06-01 09:20
310,4,今天跌我可以理解，涨我也可以理解，但高开往下跌我是没有想到。反正今天的下跌，我按,05-31 07:18
444,11,下个月不准备看盘了，真跌到止损线我就清仓先不玩，等大盘跌到2800再说。,05-31 03:50
214,2,非常明显的量化高频收割,05-31 02:45
96,1,买入买入,05-31 08:03
273,1,日周月都均线多头排列，日线放量突破后的缩量回踩，主升浪还没来，拿住，那几个无脑唱,05-31 06:29
214,8,你是对红色过敏吗？还以为你高开高走呢，所以我追了，好家伙，一波比一波低,05-31 02:18
292,4,今天妥妥的涨停了,05-23 07:51
125,1,准备核按钮了吗,05-31 02:24
207,1,万万没想到，这个位置发利好竟然下杀,05-31 02:36
195,3,真的不理解，最近股吧冒出来很多人再说翻倍，10元那天单针探底，有多少人买到了？主,05-31 12:03
115,2,走了走了走了,05-31 01:27
54,0,你割了你可以涨了,05-31 01:50
133,1,哈哈，韭菜脑袋瓜嗡嗡响了,05-31 01:18
134,3,还是那句话，跌停就梭哈，否则这个走势还是阴跌出货！,05-31 10:42
7530,24,突发重磅！中核集团与法国电力集团签署全面合作协议,05-30 09:55
151,1,今天怎么看我都觉得不应该收绿，下午开盘梭哈了，赌它拉个中阳甚至涨停！[上涨][上,05-31 12:29
231,5,二十日线17.84压力有那么大吗？三天都没站上，今天又没有冲过去，不知道主力，看,05-31 10:46
111,2,嗨，上面的缺口你啥时候去不补呀？,05-21 09:43
88,1,操之道，人弃我去。,05-31 11:19
286,5,三个涨停板！拿好了别掉下来了！[大笑][大笑][大笑],05-31 12:43
91,1,这么好的行情走成这样，这股费了，我走了，去别的地方早赚回来了,05-31 10:20
148,4,究竟要不要抛啊，有希望吗？,05-31 10:08
205,3,昨晚17.65元竞价买了几手，不知能否成交，后悔该多输几分才好。此股近期应该会有,05-31 08:24
158,1,等跌停梭哈！哈哈哈哈,05-30 02:11
600,4,近期重点观察的16支票，今天13支票资金都在大幅流出，唯有3支票其资金是净流入的,05-30 09:07
94,2,这么好的陷阱竟然没跌成。可惜可惜。,05-31 09:47
116,1,把想象力打开至少80个点,05-31 07:43
227,5,感觉有点不太妙呀，起床一看我丢全是利好,05-31 07:50
81,0,借利好出货了[得意],05-31 09:27
100,0,中核科技：连续5日融资净买入累计8094.08万元（05-30）,05-31 08:50
3067,20,宏盛华源：机构无奈拉涨，中小投资者获利了结出货，否则就会跟中核科技一样被坑埋,04-23 04:13
233,2,听说美立坚也要大规模搞核电了,05-30 05:38
146,2,收盘不翻红老子下车！,05-30 12:33
174,3,尾盘买了点，希望明天大涨，不希望太多三个点就行拜托主力了[微笑],05-29 07:42
368,6,连续两天散户跑，主力进,05-30 03:51
56,0,圪塔,05-30 05:54
346,0,贵公司的阀门制造业务这些年来是越做越大，请问贵公司实控大股东中核集团这么多年就没,05-30 04:34
246,0,我国自主三代核电技术“华龙一号”连传喜报。贵公司产品有被使用吗？或者可以满足相关,05-30 04:34
904,0,又吹半导体？,05-30 04:16
176,0,买买买，节能降碳龙头股,05-30 03:24
181,2,哈哈，刚稍微企稳了点又是一群吹货喊涨停，吹抄底，看来还远没跌到位。,05-30 01:21
385,12,今天全部梭哈你,05-30 02:42
77,1,心脏不好 别这样,05-30 10:28
180,2,1点不突破18，全部卖了,05-30 10:59
271,6,听我的梭哈准没错[旺柴],05-30 10:12
207,5,明天涨停,05-29 02:57
68,1,下午涨停冲,05-29 11:28
1744,6,看不出买点,05-29 11:10
66,0,[下跌][下跌][下跌][下跌][下跌][下跌][下跌][主力][下跌][下跌],05-30 10:33
116,0,我给主力出点货[旺柴],05-30 09:36
207,1,全球核电重启，核电设备特别是国产化阀门设备供不应求，迎来爆发式增长。,05-29 09:30
129,0,拉尾盘的，第二天都不会走太好，对吗？,05-30 09:20
266,2,我不用说话，图会帮我说话！,05-29 08:14
216,2,看这个样，除非大盘深调一波，要不然这股不容易调下去了吧？,05-29 10:35
102,0,中核科技：连续4日融资净买入累计6942.28万元（05-29）,05-30 08:51
