阅读,评论,标题,最后更新
39,0,32有鬼,06-05 02:25
52,0,突破32吧，垃圾股。,06-05 10:58
39,0,这个,06-05 10:15
371,7,威哥本周走势一切都跟着预料走，欧耶，下周也就是下个月开始慢慢上涨之路,05-31 11:40
86,1,明天冲15%+回落,06-04 03:49
126,0,看看港股创新药，再看看你？,06-04 06:54
64,0,板吧！,06-04 06:21
129,4,今天跌2个点，弱势的一塌糊涂。,06-04 09:03
118,4,这样跌机构高兴就喜欢这种跌法，20元一定会到，,06-03 02:57
149,3,顺利进入6月份，最后的震仓，看今明两天的小作文吧,06-03 10:21
45,0,有本事回30天线,06-04 10:56
36,0,垃圾，20线都上不了。,06-04 10:30
36,0,死又死不了，弹又弹不起。,06-04 10:18
48,0,耗时座等20元,06-04 09:23
73,0,踢权行情刚开始，,06-03 07:32
142,1,本来以为开盘红盘的，结果开盘大力震仓，很快有小作文了,06-03 11:22
64,0,收盘3274,06-03 02:03
74,0,有没有下车呢朋友们,06-03 10:45
76,0,月k调整刚开始到年底再会涨，完蛋,06-03 10:32
76,0,好好好，很好很好，非常好,06-03 10:05
95,3,看空为你们好，20元会到的。,06-03 08:58
279,8,收涨3个点，下星期一跌5个点。,05-31 01:21
44,0,跌5个点昨天就讲了,06-03 09:39
277,5,明日是周三，还有一跌，周四周五企稳，下周也就是下月开始漫漫牛途！,05-28 03:01
108,1,不满意，继续等待,05-31 02:23
92,2,今天跌3个点左右,05-31 09:35
89,0,快点做T,05-31 01:11
210,5,今天要是再不涨，那可真有点说不过去了,05-31 09:23
171,3,月钱调整刚开始，空仓战胜99％的人，事实证明一切。,05-30 02:46
60,0,量放不出机构放弃票散户当个宝，不如买ST哈哈。,05-31 09:06
6427,14,今日新诺威、*ST柏龙复牌[24/01/25],01-25 09:20
279,5,应该说，这个股票已经被资金抛弃，近几年基本没戏,05-30 11:00
169,0,今天威哥走势不错，继续横盘，外面都一片哀嚎,05-30 04:16
174,3,今天又是跌2个点，下星期要加速跌。,05-30 09:32
173,4,多头毫无招架之力，空头迅猛势如破竹，隔岸观火是明智之举！[想一下][想一下][想,05-30 09:19
394,3,TG103进展很好,05-30 10:02
86,1,涨10点有这么难,05-30 10:01
99,0,看看宁川生物,05-30 10:01
84,0,不错啊,05-30 09:26
93,0,新诺威：连续6日融资净偿还累计4590.66万元（05-29）,05-30 09:09
128,0,澳门赌场老板名言：不怕你赢就怕你不玩,05-30 02:37
283,0,5月28日，新诺威获外资买入17.83万股,05-29 10:02
193,3,$新诺威(SZ300765)$,05-29 03:15
154,2,庄家控盘绝了……散户趁早弃子投降。,05-29 02:58
168,0,学人家川宁生物平盘，人家两个月涨了60%，你不学？,05-29 05:38
181,2,大家说在A股赚钱难不难？输万儿八千很简单，要是赢个千儿八百很艰难,05-06 02:22
347,10,不出意外、明天应该是小高开[旺柴][旺柴][旺柴],05-27 05:38
444,2,恩必普注射液的营收40多亿，石药集团的新药发力，一年就可以把这部分长出来，而恩必,05-28 03:41
139,0,今天横盘，主要看明后天，如果继续横盘企稳，下个月一路长虹,05-29 03:05
157,0,跌跌不休，减仓或向下做T为上,05-29 02:43
70,0,收盘翻红,05-29 02:36
102,0,收盘翻红,05-29 02:24
105,0,跌的时候像飞机，涨的时候拖拉机，[大笑][大笑][大笑],05-29 01:50
678,5,石药的原料药和功能食品都是下滑的，营收增长10%以上，意味着成药业务增长30多亿,05-29 07:35
803,6,目前，申请上市阶段的新药有7款，三期临床阶段有9款。这16款药在两年内会陆续推出,05-28 07:38
180,2,当前新诺威已减仓超2000手，再反弹再减,05-29 09:50
59,0,这垃圾，超过一个点都难。,05-29 11:17
145,3,今天诺子要开启小牛了，因为我已经减仓了，可以拉升,05-29 08:56
112,1,今天会涨，最少2%，别的我就不多说了，想赚钱的跟紧了，别说我没告诉你,05-29 08:52
123,1,嘴硬的人还是太多了，还得跌啊，唉，[滴汗][滴汗][滴汗],05-29 09:36
97,0,这成交量看了都会流眼泪,05-29 09:55
86,1,继续出,05-29 09:34
96,0,新诺威：连续5日融资净偿还累计4426.58万元（05-28）,05-29 09:02
102,0,石药吃了泻药，今天加速跌，业绩下滑票千万不能买，要讲故事都讲完了，千万远离钱不是,05-29 08:32
172,2,120天均线跌漏，我空仓天天看戏，每年11月是空仓1个月交易每年一只票最多3次可,05-28 03:22
198,5,会不会被st,05-28 02:17
179,1,明后天会有5%左右跌幅,05-28 05:48
159,5,这破逼股炒这么高还舍不得暴跌，还要一点一点的套人，真不是个东西。,05-28 04:41
105,1,新诺威：连续4日融资净偿还累计3936.56万元（05-27）,05-28 09:09
77,0,技术和量不会骗人，消息最会骗散户。股市里人话不要去信，我讲要听喽。,05-28 06:34
283,2,想不通，石药集团把百克这个厉害的儿子重组给威哥这个二儿子，谁来主导石药创新？,05-08 11:37
699,2,"为什么不改证券名称？新诺威证券简称""新诺威""没有更改的原因主要有以下几点:根据公",05-28 03:29
117,0,想问一下知道消息的到底会不会改名？,05-28 03:22
62,0,跑了，扛不住了,05-28 03:13
116,2,外资逃光一泻千里，最聪明是外资抢一把就逃，散户是亏钱的命。,05-28 01:42
156,1,本月还有四个交易日，大概率筑底完成，一出大戏在6月即将拉开帷幕,05-28 07:48
622,27,调整到位、加仓今天必拉红盘,05-27 09:41
88,0,12元左右涨到48元多点机构放弃票，都懂涨高了跑，,05-28 01:23
132,0,涨无量，跌无量，北向还在增持，差不多了吧,05-28 12:47
78,0,新诺威里的老董都吧,05-28 10:56
97,0,看多的比看跌的人多，那就还涨不了，[囧][囧][囧],05-28 11:36
56,0,电风扇行情都没有,05-28 11:30
85,0,12.50进48元卖光后就再也不会买入，天天创空。,05-28 11:03
84,0,新诺威只有跌的份，不会好了，清仓吧,05-28 10:53
66,1,每天这种阴跌真难受,05-28 10:27
91,0,到25是你的归宿，不用装，近期没戏。[微笑],05-28 10:46
55,0,奶奶的，温水煮青蛙，慢慢熬死了,05-28 10:37
83,2,新诺威咋还没从ICU里出来啊,05-28 09:52
46,0,远离股市改变人生，快乐幸福生活不香吗。,05-28 10:22
295,1,石药的新药开始发力了，今年还有几款新药要落地。,05-28 05:25
57,0,这波下来这么多套牢盘，有的磨了，[想一下][想一下][想一下]，,05-28 09:34
130,2,这是真有什么大利空呀深不见底,05-27 10:41
97,0,安静了许多,05-27 10:52
143,1,今天不是大盘强势反弹，这货最少3个点跌幅……明天接着补跌,05-27 07:00
154,0,连续阴跌，一有上涨迹象就不断打压，今天石药大涨，这家伙还是一动不动，说白了就是…,05-27 05:36
373,2,时间过的真快，再有5个交易日，就一晃来到了6月了,05-25 11:54
123,0,指数大涨你趴着不动,05-27 03:25
96,0,主力啊你不怕全身怨气啊。做药的都不怕吗,05-27 02:49
113,1,我是猜的，旱地拔葱,05-27 01:25
59,0,是哪里出问题了啊新诺威，要完蛋了吗天天资金跑路,05-27 02:42
71,0,是多么的不情愿上来啊！真是付不起的阿斗,05-27 02:41
54,0,看看你老子，再看看你，可笑死了,05-27 02:38
51,0,这拉几。又来摧毁人心，洗几次都被散户按水里,05-27 02:36
