阅读,评论,标题,最后更新
34,0,真不给力,06-05 10:06
85,2,我请问你要干什么？！有完没完？！,06-04 01:16
83,1,为什么一直卖不完？！！！！,06-04 02:48
95,1,为什么lj连跌三个月不反弹,06-04 02:56
42,0,太差劲了,06-04 02:13
66,0,这个fw跌了两三个月了,06-04 01:27
43,0,躺平陪你玩到你退市,06-04 01:11
39,0,真软,06-04 01:08
40,0,你量化够了吗？！大神,06-04 11:03
29,0,请问坏种哥，你要把联特砸到多少才是头？！,06-04 10:51
25,0,咱就不明白，都秃噜一个月了，怎么还在压,06-04 10:50
132,5,这lj涨一个点难于上青天，跌起来哗啦啦就是四五个点,06-04 09:32
28,0,究竟是造了什么孽了阿,06-04 10:29
67,2,真难受把这种lj从126拿到60块账户直接腰斩了,06-04 09:50
43,0,为什么嘶嘶摁着不让涨？！,06-03 02:55
44,0,谁能解释下这货为什么这么贱！！！！！！！！！！！,06-03 02:41
43,0,融券的也没几个了，难道除了融券的还有别的做空获利方式？！,06-03 02:38
40,1,龙头再高也别买杂毛，哎好累,06-03 11:55
38,0,谁能解释下，这个货咋回事？！,06-03 02:35
56,0,作呕啊股友们！,06-03 02:14
37,0,只跟大盘跌，不跟大盘涨，W,06-03 02:11
40,0,倒车接我,06-03 01:46
18,0,给易中天擦屁股都不配,06-03 10:27
22,0,这玩意啥也不跟,06-03 10:03
67,0,融资融券周汇总：联特科技本周融资净买入56.1万元,06-02 03:09
91,0,联特科技本周获深股通增持12.27万股 最新持股量100.89万股,06-02 02:15
292,4,如此优秀，为啥天天跌？,05-31 08:14
103,0,为什么没有深股通消息,06-01 07:48
175,4,散户已经干的差不多了，下周感觉要起飞,05-31 01:49
91,0,直接无望，量化无情，根本没什么可讲究的,05-31 03:51
147,0,哦耶，明后两天止跌，红了一天，周一又可以绿了,05-31 03:45
116,0,跌了两个多月的lj,05-31 03:26
104,2,涨还涨不过板块，跌的比谁都快。主力出逃，扶老太太下楼梯,05-31 09:46
121,0,大慨率带帽！,05-31 03:22
114,2,再也不来了,05-31 02:28
110,0,cao,05-31 02:40
107,1,嘻嘻~,05-31 01:56
96,0,谁能说说这个连续半个月打压是什么原因？！,05-31 02:30
108,0,温馨提示！散户们千万别买抓紧时间跑！破30早晚的事！信不信由你！,05-31 02:17
89,0,跌停算你牛逼,05-31 02:00
83,0,吗，有完没完？！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,05-31 01:36
113,0,我割肉了联特，转过来买了这个股,05-31 01:27
92,1,撤了拜拜,05-31 01:13
58,0,这股完了，直接量化操控，没有一点希望,05-31 01:01
59,0,这到底是一种什么邪恶力量在这里卖和压,05-31 11:23
38,0,真是逆天的股，彻底服了，看来这公司有问题,05-31 10:57
38,0,磨叽磨叽一天又过去了,05-31 10:55
59,1,收盘绿，先跑为妙,05-31 10:24
30,0,板块资金持续流入，可惜没有这苟货,05-31 10:54
29,0,不看大盘，不看板块，神股,05-31 10:53
26,0,这货跌起来太轻松了，涨1块都还有砸的,05-31 10:44
75,0,感觉只有今天深跌点，明天才可能会好,05-31 10:41
51,0,不放量拉撤，下跌中继,05-31 10:39
28,0,这股彻底废了，大资金没有瞧得上他的，完了,05-31 10:29
46,0,最后跑路机会,05-31 09:31
78,1,跌了两个月了还天天跌崩溃绝望了,05-30 02:40
61,0,联特科技：连续3日融资净偿还累计352.34万元（05-30）,05-31 09:07
80,2,明天会练成功吗？,05-30 05:12
68,0,朋友们，量化无底，你觉得是的时候，它会给你棒槌的,05-30 05:09
166,0,兄弟们快撑不住了吧我来了,05-30 04:05
190,2,已经到了支撑位的下轨,05-24 02:23
78,0,明天大功告成九阳真经练成。,05-30 03:17
83,1,货没拿够明天还要68低开,05-30 02:20
50,0,这么玩谁在赚钱呢？！原始股东？！卖公司？！,05-30 02:48
70,0,8跟阴线了，不指望你反弹了,05-30 02:38
67,0,30号联特科技，止跌，进场,05-30 02:04
63,0,起来做反弹龙头吧,05-30 01:46
110,2,连跌两个月了还天天跌真有你的,05-30 11:01
155,1,$联特科技(SZ301205)$,05-30 12:36
49,0,1分都不给你涨，牛13,05-30 11:24
36,0,丧神，板块都起来了,05-30 11:07
39,0,T吗的!不跟板块，不跟大盘涨只跟大盘跌，天煞的,05-30 10:55
44,0,药店速配送泻立停,05-30 10:50
95,2,今天可能会触底反弹,05-30 09:33
65,0,就红几分钟[捂脸],05-30 10:18
55,0,它到底怎么了,05-30 10:07
