阅读,评论,标题,最后更新
56,1,利润垫还有5个点，要不要先跑出来,06-05 02:59
80,2,49的本，顶不住了,06-05 03:09
32,0,43.241.5散会,06-05 04:46
924,16,极致地量，今天是分水岭,06-05 09:29
79,2,换手率下降了还跌。是不是要GG了。50的本割肉跑路吗？求解,06-05 03:23
86,1,44.88啥意思？？？,06-05 03:12
109,0,$威龙股份(SH603779)$$高新发展(SZ000628)$,06-05 04:14
251,1,5月9号成都高投对华鲲震宇的出资额增加了2000万，长虹的份额减少了,06-05 02:17
415,11,相信高新发展。,06-05 01:58
248,5,好像是在憋大招,06-05 10:35
183,1,实在是扛不住了，再见,06-05 03:30
53,1,大家定D。跌到30左右应该不跌了,06-05 03:26
74,1,坐等反弹,06-05 02:10
51,0,华为爸爸不喜欢它了,06-05 03:42
76,2,量化都割不动了,06-05 01:18
133,3,看好高新，涨,06-05 10:14
90,1,高新向新质生产力转型，趋势已经形成，看涨,06-05 10:26
86,1,跌了一周，该反弹了,06-05 01:58
417,2,哇，一字妖30年新低破净，千万夹单压不住。银座股份一季度营收17亿，市值才20亿,05-14 01:17
171,3,放量下跌了，赶紧撤，明天最少跌五个点,06-05 02:41
39,0,今天进来套我2个点,06-05 03:24
39,0,也许明天买更好,06-05 01:52
42,0,好爽好舒服呀[呲牙][呲牙][呲牙][牛][牛][牛][大笑][大笑][大笑],06-05 02:31
46,0,冲鸭，最后一跌，买买买[兴奋][兴奋][兴奋][兴奋][兴奋][兴奋][兴奋],06-05 02:41
68,0,我就不知道股吧里你们不是托就是傻，炒个股天天发。,06-05 02:54
207,9,54走不走到底,06-05 02:15
43,1,已经走弱了，撤,06-05 09:39
31,0,人气已经越来越低了，成交额继续萎缩，等着被ST吧，趁早割了远离股市，别到时候成了,06-05 03:14
11829,101,各位股友大家早上好，现在在股吧说点什么都不安全，波哥就随便记录一下先！注意：在这,06-03 10:18
75,0,踩着5日线跌，人气及其低迷，全部套牢盘，急跌近在眼前，急跌符合大股东增发利益，符,06-05 03:04
35,0,短期看36，长期看16,06-05 03:03
25,0,明天跌5个点。,06-05 03:02
81,3,都无底线啦,06-05 02:33
46,0,这双对子顶。神仙也救不了,06-05 03:02
38,0,就是喜欢这种只跌不涨的票,06-05 03:01
27,0,股崽来了,06-05 02:59
54,0,尾盘44.88，但是明天还有43，切记要跌的价很容易,06-05 02:56
42,0,肯定会破40，别抄底,06-05 02:53
51,0,多亏早上走了，其实昨天就该走，不要抱有涨得幻想了，此股只能越来越低！,06-05 02:53
154,5,如果今天不跌4.5个点，明天还得补跌，就算冲高也是出货。,06-05 01:10
113,2,估计再到90难，50应该还是会到,06-05 02:07
26,0,卖公司了,06-05 02:42
29,0,天天跌没完没了了,06-05 02:33
104,0,别指望他有第三浪，这股下跌趋势了，谁买套谁，除非是盈利一点点就赶快跑，可能不会吃,06-05 02:26
59,0,赶紧跌我还有8成仓，可以补，你不下来我没办法补,06-05 02:19
29,0,垃圾,06-05 02:07
91,1,明天早盘平开冲高5分钟回落235分钟？,06-05 01:49
91,5,跌吧，赔光不玩了大不了,06-05 01:09
32,0,还不走就真的去摸39了,06-05 01:58
29,0,相信高新发展。,06-05 01:57
56,2,有最低点卖的吗,06-05 01:20
32,1,就是一种地狱生活,06-05 01:32
19,0,远离问题股，讲故事股,06-05 01:54
43,0,不操作 就不给量化收割流动性的空间,06-05 01:53
23,0,反复收割，唉,06-05 01:53
24,0,无量阴跌,06-05 01:52
49,1,这股为啥没问询函啊？扇贝来了，不好着治治他，后面还会反复收购不收的,06-05 01:36
19,0,一样,06-05 01:49
23,0,这个票真的维修兄弟们跑吧,06-05 01:48
25,0,劳命伤财,06-05 01:44
35,1,散户数量越多，跌得越凶[捂脸],06-05 01:17
20,0,苦不堪言！,06-05 01:30
144,5,没人卖了，大家都躺平装死了[捂脸],06-05 10:55
140,6,真的就是买啥啥跌，以后还是奉劝身边的人，干什么都行，哪怕就是赌博，但是千万别炒股,06-05 11:14
57,0,开盘没卖后悔一天[哭],06-05 01:18
25,0,42,06-05 01:12
25,0,托单必破,06-05 01:10
41,0,太可怕了全是小单买,06-05 01:05
88,2,我在45等你！高新发展,06-05 11:08
31,0,换手率都没得了,06-05 12:52
151,3,45.9就卖掉了，不愿意从众，走自己的路。,06-05 11:25
188,8,卖出的票涨停！买入的票下跌[捂脸],06-05 09:46
77,2,再等等42就可以补仓了,06-05 11:37
84,2,下午两点半第四次加仓，真的最后一次了,06-05 11:24
83,2,极度缩量,06-05 10:10
152,0,5月中旬错失俩涨停，昨天进来了，这是又要喜提大跌呢？？,06-05 11:52
76,0,有利空消息，赶紧跑,06-05 11:33
28,0,本想着市场冲高卖的,06-05 11:28
29,0,感觉砸不动了,06-05 11:21
26,0,感觉都没人玩了,06-05 11:20
84,0,自从炒股后一直身心疲惫,06-05 01:28
60,1,全面抛售做空此股,06-05 11:20
73,1,开始大幅度抛售此股，有重大利空,06-05 11:23
73,0,还好早跑要量没量，没有炒作空间了多待一天多亏一天没意思，想稳妥一点去首创证券吧,06-05 11:17
32,1,感觉好的有个跌停,06-05 11:10
40,0,主力盘还是控得好,06-05 11:15
114,2,芯片疯涨了都！庄还没睡醒,06-05 10:57
38,0,再要跌，我喜欢了，能涨点不,06-05 11:13
29,0,太TM垃圾,06-05 11:10
34,1,这波38。,06-05 10:45
91,1,今天预计跌多少阿兄弟们有懂的分析一下吧什么价位止跌,06-05 10:41
28,0,芯片疯涨，桶！,06-05 10:47
20,0,这一波38。,06-05 10:45
83,1,这破股拿了三个月了，从来没回过本,06-05 10:27
33,0,这种垃圾股还有人买？,06-05 10:41
34,0,都跑呗让主力自己玩,06-05 10:39
44,0,不用相信自己的眼光和实力，已经开始缩量阴跌，该跑跑该割割吧,06-05 10:37
103,1,人们常说，没有只涨不跌的股票，也没有只跌不涨的股票，为什么天天跌的股票就让我遇到,06-05 10:14
23,0,玩股玩命,06-05 10:28
22,0,我在其他股票上赚的都被它亏下去了，[哭],06-05 10:27
31,0,跌吧、赔光不玩了，曹，就那么点钱，老子看开了,06-05 10:26
25,0,先看[看空]41,06-05 10:24
59,2,不到60坚决不抛,06-05 10:00
28,0,天天阴跌，made，垃圾,06-05 10:20
165,3,之前已经明确会进行科技转型了，拿着就对了,06-05 09:50
24,0,天天没戏,06-05 10:19
30,0,每天阴跌有意思，,06-05 10:13
67,3,涨5个点,06-05 09:53
3389,16,【待发转债】旭升集团及发债进度到了“第五步”的公司，5.30提前埋伏分析！,05-30 07:33
50,2,每天跌一两个点，made，拉稀了,06-05 09:31
115,0,"最新股东人数出来了，增加5500多韭菜[捂脸]增加5.4%,怪不得最近天天跌",06-05 10:01
50,1,天天跌，怎么回事啊！不让股东赚钱吗？,06-05 09:42
40,2,今天必涨停,06-05 09:45
111,2,每日一发，兄弟们坚持三天开启反弹,06-05 07:36
22,0,浙矿股份,06-05 09:59
