阅读,评论,标题,最后更新
138,2,人气全无，周一开始阴跌,06-02 12:25
54,0,即日起，看空北方铜业到8.3附近,06-02 08:26
106,1,铜不行了，消耗不完都量产了，还不如去炒锑,06-02 02:56
230,3,这些消息没用的 期货还是跌的涨不了的,06-02 05:53
417,6,五月盈利.21.80元，完美收官[捂脸],05-31 03:54
710,11,周一一字板跌停，周二低开5个点收-2，周三一字板跌停，周四地天板，周五红1个点。,06-01 06:23
368,1,深股通又买入达到高峰了，星期一涨,06-02 05:33
5870,174,603275众辰科技，构筑 工业智能化的基石！,03-03 05:22
652,14,周一低开3个点，然后杀猪盘，跌停,06-01 07:57
3804,28,继续拿着吗,05-31 02:43
181,0,3000点，不保了泻下就好，2600点，坚守，金属材料起礻？,06-02 03:19
276,0,北方铜业：本周深股通持股量环比增加128%，周内增仓幅度居有色金属板块第二,06-02 02:14
181,0,看来这货下周可以仔细观察了，看是从10.50、10.20开始就可以进点货了，当然,06-02 02:04
321,3,北铜一周内会不会走强有没有大师给点评一下,06-02 10:04
988,10,控制产能，对期货是利好，对公司是利空，很多人就是看不明白。期货涨股票涨，是建立在,05-30 09:13
40,0,既然这么掉毛口嗨，我祝愿北方铜跌倒一毛好不好，掉毛们一起鼓掌如何？,06-02 01:05
406,1,周一给个正2个点的机会谢谢,06-01 10:30
148,0,铜今年都可以做行情不好每天只能一个板块涨过几天就轮到有色板块了低吸就对那个股票都,06-02 01:00
572,4,~~~ 夜间看盘，北方铜业,05-21 09:57
1520,12,铜价再次迎重磅催化!,06-01 03:44
618,14,在科技股蹲守了几个月还亏10%，准备转移到北铜来了，各位股友有何建议？这波调整能,06-01 09:13
87,1,历史底！,06-01 01:35
940,3,A股：情况发生大变化！明天大盘，会怎么走！,05-20 03:20
6206,170,谁来跟我辨析，北方铜业不是真面目的龙头！,05-20 04:47
2612,4,短空长多：“铜博士”超级周期已经形成,06-01 01:52
56,0,看空多！好,06-01 09:52
388,6,炒股票买上以后是看两三天的吗.还年底能不能解套，年底能上15.能做梯做梯不能就拿,05-31 02:56
896,4,不论美铜还是伦铜期货昨天尾盘反弹整天跌幅不大从周线看已经回调到位看好下礼拜低位开,06-01 08:27
239,3,美国航母被打了，会影响期货吗[好困惑],06-01 06:52
275,0,又到了搓手的时候了！,06-01 06:00
245,0,看来周一还会大跌,06-01 05:01
265,4,明天还要跌期货跌的可怜,05-30 09:01
364,4,亏损了7%，,05-31 05:04
328,0,准备好了200个w，9元左右屮,06-01 01:40
417,13,听君实言者来；,05-20 10:49
302,6,[看多][上涨][上涨][上涨][上涨][上涨][上涨]大胆冲,05-31 09:37
77,0,就7％的人收盘获利，我就不信93的人不要钱了使劲砸,06-01 01:07
172,5,又要跌停了,05-31 11:20
202,1,不知道会不会跟金银美铜基本没怎么跌,06-01 09:08
110,1,升级了，铜还是要涨呀，兄弟，,06-01 11:36
318,0,铜价这商品，现在国际炒家定了算，他们说高估就高估，低估就低估，现在向上无空间了，,06-01 12:47
453,4,期货铜全部暴跌，下周至少三个板[下跌][下跌][下跌][下跌][下跌][下跌],06-01 11:40
423,0,没有天天涨的公司，贵州茅台，曾经也腰斩过，比亚迪，宁德时代，等等。没有不回调的，,06-01 12:28
928,6,最好是有上升趋势了再买，本金亏得越多越难回本，跌10个点需要涨是12个点才能回本,05-31 11:56
253,2,到10来，我买,06-01 10:13
73,2,$北方铜业(SZ000737)$,05-21 07:41
159,3,13的本到年底可以回本吗，买得不多，可以一直拿着,05-31 11:13
240,1,耐心等待沪铜破8w，北铜破10，我再回来。,05-31 10:44
843,12,不相信铜期货现在就是顶部，铜价后面肯定还会涨上去的，至少也能反弹回前阵子的高点，,05-31 11:22
159,0,股性活跃，下周涨停，,06-01 08:00
274,3,看来周一低开下杀一字了,05-31 11:33
342,3,期货大跌，周一要不要吃板子啊,05-31 10:53
156,0,朋友圈有老板加杠杆做空铜期货赚了600多万，铜期货越跌赚得越多。,06-01 07:27
174,2,期铜还在跌[囧]这可咋整,05-31 10:33
313,0,沪铜期货进入下跌趋势，赶紧加杠杆做空铜期货，铜期货还要大跌。,06-01 07:23
386,0,下周一收盘收中阳浅，这是最后入场时间，沪铜在8,06-01 02:45
243,3,尾盘资金有进入,05-31 02:46
79,0,散户其实更应该团结，该卖就卖，跟随趋势，让主力无从借力，就像打太极，主力卖，我们,05-31 11:52
175,1,群里消息，9.6见,05-31 10:50
151,0,今天本想进来的，但期货莫测，干脆算了，亏怕了！,05-31 10:08
4622,43,最近一些看法,05-28 07:03
1383,2,一夜惊变，上车的人是否已做好准备迎接未知的挑战？,05-31 08:20
92,1,退出来，歇歇脚，不能死扛，大势所趋向下,05-31 10:40
540,5,伦铜30日线看看能否守住，
930,4,12元净资产回到6元不过分吧[上涨][上涨][大笑][大笑][大笑][主力][主,05-22 12:36
161,0,14.5奶奶的,05-22 10:13
367,0,破净股数据[24/05/22],05-22 08:11
382,1,民生银行助力2024年国际中体联足球世界杯 盛大开幕,05-22 05:06
278,0,今天4.04没卖出去，明天感觉会调整了,05-22 06:19
344,0,银行股回升到10倍市盈率，才进入牛市行情。10倍市盈率股票\年回报永比存款利率和,05-22 04:28
417,0,港股从2.4到3.2涨8毛三分之一了。A只涨了4毛，十个点，严重落后啊,05-22 01:37
309,2,民生净资产都有12元，要翻倍,05-22 12:40
540,6,既来之，则安之，民生银行我来了。欢迎我们的从军带头大哥,05-17 03:13
81,0,今天吃错药了，这么硬,05-22 03:00
