阅读,评论,标题,最后更新
27,0,新技术淘汰其他汽车公司,06-05 09:51
38,0,这压力位毫无压力吗？都躺平了？,06-05 09:45
27,0,这波能到多少啊呀啊呀,06-05 09:44
180,4,今天收盘————260,06-05 09:22
29,0,换手率不高拿稳,06-05 09:43
192,0,一己之力带动整个板块，NB大了！,06-05 09:43
144,0,这波估计又能上300元，今年目标价格创新高400元，买买买,06-05 09:41
36,0,你们先干，我先撤退了,06-05 09:37
46,0,真的要300了，一年多了要来了,06-05 09:37
35,0,这一波可以，不要停～,06-05 09:37
30,0,撤了,06-05 09:36
33,0,神话一样的股[赞][赞][赞],06-05 09:36
50,0,在不确定的大环境里，唯一确定的就是比亚迪，尽然还会有人卖！,06-05 09:36
163,0,把大盘带起来，做总龙头。,06-05 09:36
52,0,今天是最后逃出机会,06-05 09:36
36,0,真牛啊迪王,06-05 09:35
28,0,加油干，干上去有人来抬轿子,06-05 09:34
27,0,兄弟们————今年过——————1000,06-05 09:34
39,0,冲冲。智能驾驶。L3,06-05 09:33
129,0,比亚迪解决了70万个工作岗位。,06-05 09:31
532,5,雷军：拿到新车的第一时间，你们会做什么？,06-04 11:32
25,0,加油干,06-05 09:27
25,0,唯一真神,06-05 09:26
37,0,万亿市值！,06-05 09:26
194,0,前几天卖飞了，坐等回调接人！,06-05 09:25
261,3,臭九菜们都是看好的[大笑],06-05 07:47
86,1,比亚迪：融资净偿还2.03亿元，两市排名第二（06-04）,06-05 09:07
965,20,余承东公开说比亚迪是价格卷王，并表示华为不卷价格卷价值,06-03 02:09
195,0,新能源车有可能走手机路线新能源车与手机都属于个人消费品，属于“玩”的范畴。都属于,06-05 09:17
143,1,再谈博实,06-05 08:38
486,66,毫不犹豫[偷笑],01-08 07:32
465,38,比亚迪有飞行汽车项目吗？,03-27 10:20
685,70,明天会不会涨,01-09 08:40
472,62,比亚迪天下第一,01-11 09:33
685,61,500[上涨],01-11 04:22
467,34,不要着急，今天上午就给你补上,03-05 02:46
8646,22,周鸿祎：再卷下去就要在车上涮火锅了,06-03 11:17
546,1,比亚迪(002594)2024年6月4日北向资金流入156.14万股在深股通流入资金中排名第1位,06-05 05:47
1208,41,一把直尺打天下 / 比亚迪,03-27 07:44
2201,44,比亚迪王传福：优胜劣汰是自然规律 未来或将兼并重组困难车企,03-27 05:48
515,38,涨停了明天,03-26 08:48
449,38,买中金黄金，赚比亚迪[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],03-29 12:11
572,40,起码涨到500,03-26 03:27
578,37,超预期，恭喜,03-26 08:18
288,34,[大笑][大笑][大笑],03-26 02:48
301,29,我用眼睛看，就看看,03-14 11:20
366,0,中信证券给出比亚迪买入评级，目标价365元,06-05 08:52
341,40,坚持，趁我们还年轻,03-22 10:41
599,34,比亚迪本月必有大阳，等待吃肉,03-21 12:21
357,27,周一宣言,03-11 04:04
325,37,比亚迪跟紧你,03-12 10:59
423,35,价值投资，潜伏，蛰伏，耐心等待,03-08 09:51
436,40,有仓位的可以加点,03-08 10:30
466,40,现在上车还有机会吗？,03-11 12:28
214,20,世界车企老大,03-11 10:37
325,37,牛逼plus,03-12 01:59
2480,33,比亚迪再推新车！汉唐荣耀版即将上市,02-26 03:18
29,0,#降碳行动方案来了，新能源赛道要爆发？#比亚迪。汽车的王。智能出征。寸草不生。雄,06-05 08:43
143,0,【2024.06.04】小幅下跌-涨指不涨股，中远涨上榜,06-05 08:41
1545,10,一定要拿住BYD基本盘，手痒就少量T,06-04 11:41
118165,275,老胡抄股1周年了！,06-04 01:50
47204,235,比亚迪：5月新能源汽车销量33.18万辆 上年同期24.02万辆,06-02 04:38
3828,26,历史上最大的比亚迪多头诞生了,06-03 09:25
75,0,比亚迪即将迎来一波上涨,06-05 07:42
176,0,欧盟对电动汽车加征关税将使中国损失近40亿美元贸易,06-05 07:14
1192,29,如果比亚迪第5代DMI再配上第2代刀片电池股价会是多少？5-31,05-31 12:55
2541,5,炒股不需要先知先觉，而是需要常识+耐力。今年大家觉得避风很重要，实际上就是选股的,06-04 06:03
4299,10,夜深了，来聊聊最近的市场，谈谈心得！,06-04 10:41
6356,128,第五代DM混合外加固态电池！比亚迪还让不让油车活啦？3-31,03-31 03:39
1084,14,向1000公里看齐 只有第2代刀片电池最有实用价值!4-27,04-27 07:07
7713,38,比亚迪在巴西卖爆！售后空运补货 巴西“紧急”调高关税 4-24,04-24 09:19
453,30,最恐怖的是从现在起到2030年比亚迪销量月月创历史新高！6-3,06-03 08:45
337,3,今年新能源最大增量就是插混车,06-04 05:39
2792,18,比亚迪：5月王朝系列销售172051辆 同比增长37%,06-03 10:02
401,0,技术上看有回调要求，小心点吧,06-05 02:12
7151,72,如果比亚迪混动充满油电能续航2000公里，而且价格15万，那全世界其它车企都会倒,06-04 09:50
217,6,6月3日复盘,06-03 08:28
161,0,明天高开低走之势，因为四部门的智驾人气抢不过国能局的新能源消纳[捂脸],06-05 01:14
2158,3,早评：深夜突发！首次跌破！,06-04 07:30
1749,7,比亚迪掀桌子，不给燃油车留活路？,06-04 05:42
603,65,今天能走五个点以上的涨幅吗,01-17 08:02
241,37,拿好了，哈哈,02-06 02:37
918,63,比亚迪明年比新车上市更值得期待的是,01-14 04:10
871,60,我敢打赌它会大涨,02-01 10:57
654,71,今天开盘大涨,01-02 08:58
1028,63,新能源汽车发张的现状与趋势,01-02 03:38
557,74,明天涨停,12-28 08:01
569,58,王传福比亚迪真行[666][666][666],01-05 10:20
2859,69,只要翻红就行,01-03 09:37
678,75,抄底抄底涨停涨停吃吃吃要发大财,01-03 09:51
523,44,明天涨停,03-03 10:33
634,65,高端化受市场欢迎，销量有望持续增长，短期回调已经见底,12-28 03:12
373,34,建议比亚迪把高合收购了吧,02-27 09:47
513,92,跟上大盘的节奏，冲,12-27 11:33
858,65,这么好的业绩，持股待涨。,01-30 01:09
210,36,带头冲啊,02-22 10:17
693,36,比亚迪下周4个涨停,02-25 07:25
359,36,明天投资比亚迪,02-26 03:34
718,38,今年股市赚了一个小目标，买了一辆比亚迪仰望开开,02-11 05:17
185,34,500[上涨],02-08 03:01
420,35,明天高开5个点,02-25 06:10
411,37,我去，涨停！,02-26 09:57
622,67,比亚迪还是很牛的，坚定持有不会错的家人们[鼓掌][鼓掌],01-30 11:26
170,36,涨停,02-07 10:00
305,36,涨停,02-26 09:26
404,38,又进了200股，相信半年有肉吃,02-05 09:36
395,34,比亚迪产品越来越亲民了,02-23 05:58
807,74,明天涨停,01-29 04:46
4540,30,致敬比亚迪！,02-21 10:09
243,38,但愿明天涨,02-06 02:56
8031,112,所有车企昨晚上注定彻夜难眠了！比亚迪到底有多少底牌？4-17,04-17 08:48
2484,28,比亚迪五代插混技术让很多汽车厂商产生绝望！4-1,04-01 04:14
1026,34,5月28日是比亚迪股价历史大反转的开始？,05-27 03:11
1268,46,比亚迪销量月月创造历史新高的状况至少要到2030年 那时股价会涨多高？,05-03 04:43
299,1,比亚迪是科技与制造的 NO.1,06-04 11:36
686,6,比亚迪股票目前走的主升浪。年底目标486元。启动的导火索与19年基本相同，几时发,06-04 03:25
213,2,欧盟貌似不加关税，明天板块要涨，迪王能否继续进行,06-04 10:24
54,0,牛逼,06-04 11:31
2442,7,我国开展智能网联汽车准入和上路通行试点 蔚来、如祺出行等透露更多细节,06-04 08:36
977,1,利好出来了，我又要离场了,06-04 08:08
450,0,看北向资金最近在比亚迪的操作，比韭菜还韭菜[捂脸],06-04 10:50
262,1,中国新能源车企5月销量强劲增长，政策助力市场回暖,06-04 09:23
106,0,转发,06-04 10:31
181,0,听说你要收购中电电机？是不是真的？,06-04 10:30
5903,40,宁德时代终将被比亚迪挤下神坛？是不是哗众取宠？？,06-03 08:00
231,1,5月汽车销量表现亮眼！以旧换新政策已产生效果,06-04 08:58
5595,32,比亚迪：第五代DM技术首搭秦L、海豹06亮相，插混油耗进入2L时代,06-02 05:47
276,0,特斯拉5月在中国销售超5.5万辆，环比增涨77,06-04 10:00
1664,0,新能源车企5月战绩：赛力斯跑得最快！比亚迪销量断层式领先,06-04 09:29
