阅读,评论,标题,最后更新
1112888,0,东方财富网股吧社区内容治理公告,05-22 09:43
217,0,招行现价红利再买增筹码6.02%,05-25 09:35
1321,11,如果我有20w股招商银行，我就跟别人说，在招行上班了。平时不用打卡，每天在办公室,05-26 09:39
3124,12,A股股东户数最多的15个公司：5个公司股东数超80万,05-25 01:39
566,1,"目标 -》三年内到1000W，立贴为证。每周记录(当前整体仓位8.5成, 市值 459W, 资产总计 539W)",05-25 11:43
154,3,最差的银行，以后除了招行，其他银行随便买,05-24 09:39
617,3,溢价50%再加上有去无回的200亿贷款，估计要砸到20,05-25 02:47
263,1,在低位以月为单位放量形式资金进来了，注意放量来的怎么离开，就是游戏结束的时候。,05-26 07:35
39,1,持有三年没动窝，坚定坚持再持有三年,05-26 09:49
1170,4,1 天赚了 10 年利息…,05-25 11:52
876,1,招商银行，曾经价值投资的典范，何时回归曾经的荣耀,05-24 05:19
103,1,一年为基民赚88亿元，这家“固收大厂”迎来新任总经理，未来如何布局？,05-26 08:07
837,2,从14年开始，各路资金开始热衷于炒招商银行，但没人愿意把真实的理由公之于众。虽然,05-26 12:39
204,3,招商银行：连续5日融资净买入累计6.7亿元（05-24）,05-25 07:37
96,0,和格力一样现在难挣钱了,05-26 07:16
4076,13,"沪深京5585家上市公司1月19日平均市净率2.36倍,平均市盈率45.57倍",01-20 05:38
16061,34,万亿美元的“富矿”，GPU的前景到底有多大？,05-23 03:53
2836,6,增持招商银行，两天擦掉三万利润。,05-24 08:36
710,10,贷款给万科到底是福还是祸？,05-25 08:51
2502,29,200亿银团贷款落定！万科获招行等金融机构力挺,05-23 03:41
100,0,九卦 | 招行CIO变动，信息技术部总经理周天虹或接任,05-25 10:15
246,1,哪天分红啊？,05-25 12:17
448,1,博时基金官宣 招行老将张东新任公司总经理,05-24 06:51
3777,43,5月股市不贪高，落袋为安！,05-23 01:45
456,5,股市自渡,05-25 10:28
5401,1,万科实现融资重大进展：获招行牵头200亿银团贷款,05-24 03:11
165,5,跌不停为什么呢,05-24 11:08
41274,134,被境外恶势力恶意唱空的银行股巳经跌到了下跌也能赚钱的超临界状态,07-06 09:44
150,2,与万科沾边就玩完,05-24 03:08
145,2,长期持有的银行股可以通过频繁买入卖出，做t套利吗？,05-25 03:04
208,1,利率趋下，缩量拿筹！股息率高筹码珍贵！,05-23 11:44
334,1,美股T+1结算时代”即将于下2024年5月29日周二正式开启,05-25 12:12
371,0,英伟达的极限是天空吗？天空不设限全球总龙头永不眠。,05-25 12:00
1121,0,招商银行高管层再“微调” 十年老将CIO江朝阳上调招商局集团 曾亲历招行金融科技投入大爆发,05-25 10:16
323,1,了，其他银行涨了一个星期，你跌了一个星期,05-24 02:18
315,0,大部分商业银行估值市净低于0.6.招商银行估值偏高了。,05-25 08:47
270,0,没有幻想，直接清仓,05-25 08:22
285,2,请问招商银行有中期分期的公告吗,05-24 09:01
2822,22,银行股现在有没有投资的必要，关键看银行的成长性！房地产已经不行了，银行躺着赚钱的,04-18 05:34
744,4,招行五连跌近6个点，前两天融资净买入，后几天融资净卖出，看融资流入流出不靠谱，看,05-24 05:48
1471,21,股票还是不要做套的好，今年来，我在招行上一直做套，都有小赚，但是，到现在算了下，,05-10 09:43
568,10,不骗大家，持仓不动到现在能赚18900*5.7=107730，而现在才赚5100,05-10 01:28
241,2,幸好36跑了，等接回,05-24 04:35
461,7,大V说了，招行要跌回28.,05-24 12:36
60,0,下来就是机会，随便上,05-25 12:59
245,0,周线不乐观,05-24 10:52
432,0,数日单边下跌，数月交易招行跑输城商行,05-24 11:05
1076,11,问题都不大，不用过度担心，顶多破一下3100就会收上来,05-24 11:52
1363,0,今天没有操作，账户浮亏了2%，我认为下周肯定有反抽，但是能反抽多高要看有没有增量,05-24 10:21
220,1,有能耐再跌一周，我就回来接,05-24 09:38
577,10,上周37时为了6%的股息没买，这周分分钟被教育，几天就跌了7个点,05-24 02:03
1124,6,招商银行中短线回调看跌,05-24 09:16
203,0,空头的风向标！！！,05-24 08:52
211,1,没跌6个点加一次，涨10个点出一次，买银行就是要有耐心,05-24 04:21
52,0,裤衩子都没了,05-24 08:12
51,0,A字下杀！快卖！,05-24 07:49
49,0,跌这么多,05-24 07:11
290,0,动不动就是连跌10天半月,05-24 07:08
139,0,下周低吸建仓，准备起飞我说的耶稣来了都不好使,05-24 06:47
104,0,周一大涨不要被人家看不起，不要让人家以为我们输不起,05-24 05:32
4423,7,2007年11月1日中证银行指数8512点2008年1月4日上证银行指数1091,02-02 04:51
182,0,31.35，缺口必补！！到了半仓,05-24 05:22
558,1,为啥？,05-24 04:50
3140,22,自助者他助！万科全力行动受市场认可 获招行牵头200亿银团贷款,05-23 12:45
408,0,数据赋能：MAXHUB以小数据聚能大模型，推动行业数字化新动能,05-24 04:58
1449,6,今天又是周五，亲爱的家人们这一周收益如何？昨天两市再度下杀，三大股指均跌超1%，,05-24 06:50
586,14,招商银行怎么啦？谁在砸盘？哪位大师介绍一下？,05-24 01:04
