阅读,评论,标题,最后更新
595,25,特锐德6月5日盘前提示:谨慎看多。第一支撑22.58，第二支撑22.50，第三支,06-05 08:39
1508,27,特锐德6月4日收评:金融护盘带电板块卷土重来风格转换火候不足持续性面临考验，特锐德放量大涨怒甩空头越过平台即将进入年内超级重压区,06-04 06:36
735,5,介入特锐德后的整个K线图，相信至暗时刻已经过去。耐心持股，中期目标27-30,06-01 08:50
772,29,这就是趋势的力量！,06-04 02:24
542,18,下午起加仓特锐德,05-31 11:02
548,18,特锐德6月4日盘前提示:看多。第一支撑21.50，第二支撑21.40，第三支撑2,06-04 07:33
266,15,做个小T,06-03 01:19
163,0,回踩才是机会！追高不易,06-04 03:05
237,7,买个短603960,06-04 10:13
235,12,盘子太大、性价比不如小市值的高、涨幅有限,06-04 12:03
158,3,看不懂了，下午不反弹危险了,05-23 01:09
278,0,创业板成分股走强，有人退市，有人就会创出新高。只有优质的公司不断坚持创新，产品服,06-04 02:49
64,0,不到500市值一股不卖。未到之前所有波动让我内心毫无波澜,06-04 02:48
195,0,现有持仓不动，留好子弹，上涨还是下跌都能从容应对,06-04 02:48
42,0,走了,06-04 02:47
54,2,为什么折磨我，将我扔出去,06-04 02:09
55,0,我了，昨天赚400走了。,06-04 02:43
32,0,吃错药了？,06-04 02:42
30,0,明天收用,06-04 02:39
55,2,该上车了[呲牙],06-04 02:02
43,1,要求不过分，打个新高即可,06-04 01:11
44,0,2.30后开始跳水,06-04 02:30
88,2,喊空就无法看到，要收盘后才能看到发言？,06-04 01:30
38,0,加油赶上其它电网设备股,06-04 02:29
62,0,长牛慢慢来还有很大空间！！！！,06-04 02:29
29,0,让你们上车非不上，让你们下车非不下[大笑],06-04 02:28
27,0,受不了折磨，怎么能成大事,06-04 02:28
26,0,今天总算跟了把板块，。。。,06-04 02:26
30,0,3字头的票，搞得跟主板ST似的，至于吗？,06-04 02:19
22,0,来了,06-04 02:14
25,0,冲动是魔鬼,06-04 02:09
412,13,月线转多，日线3浪中，业绩目前一般，概念可以。中线跟踪。,05-27 01:44
60,2,冲不动啊，主力不给力,06-04 01:17
42,0,兜兜转转又回到22附近了怕什么？,06-04 01:29
41,0,静心等你下来，不要扭扭捏捏,06-04 01:26
41,0,$特锐德(SZ300001)$,06-04 12:54
3089,26,特锐德最新索讯,05-08 05:53
58,1,21.74是谁在把守着,06-04 11:11
57,1,等大家都看好的时候，我就跑路走人………………,06-04 11:06
26,0,还是不行,06-04 11:21
23,0,加油、加火,06-04 11:18
42,0,半晌不夜的这是打算干什么,06-04 11:16
26,0,起飞,06-04 11:14
77,2,大家都不看好的时候，我贪婪加仓……………,06-04 10:07
43,1,电网设备股还不错，充电桩个股惨不忍睹！,06-04 10:06
22,0,点火,06-04 10:39
40,0,老乌龟在爬,06-04 10:36
51,0,不要急，洗盘不必理会静等拉升,06-04 10:36
26,0,你有山东汉的气质吗,06-04 10:31
30,0,这叫惨啊,06-04 10:29
43,0,这批烦人,06-04 10:27
27,0,请大家关注,06-04 10:21
553,1,特锐德联手ENEOS布局充电网 年度研发费近5亿驱动业绩增长,06-04 08:18
118,5,今天不跌5点之上才叫怪,06-04 07:56
33,0,坚持你给我坚持到极致,06-04 10:04
38,0,太弱了，都调整多久了,06-04 10:03
30,0,笑……………3千阵地保卫战又要开始了……………,06-04 09:47
27,0,看看许继和南瑞,06-04 09:46
27,0,脱单一出必跌无疑啊。哈哈,06-04 09:45
25,0,没救了,06-04 09:38
57,0,特锐德：融资净买入1852.12万元，融资余额11.16亿元（06-03）,06-04 09:00
335,5,明天会不会有个暴跌？[怒][怒][怒],06-03 03:25
474,7,记得特锐德之前也收到过问询函让其解释业绩调整的合理性！不知道会不会翻旧账啊，挺吓,06-03 06:43
1130,14,特锐德6月3日收评:超级大盘股护盘市场恐慌杀跌风险得到短期释放，特锐德逆市偏强震荡寻求突破上攻态势依然保持完好,06-03 06:03
201,2,充电行业的业务能力依旧,06-03 08:48
190,0,快看，据说巴菲特公司收到问询函，因为美股没有涨跌幅限制，直接185.1开盘,06-03 10:51
102,3,是我们让主力跑，还是主力让我们跑？,06-03 01:38
365,17,Z和畅快气死了，又给人做t了，[囧][韭菜],05-21 09:51
844,6,基本突破了。不太看好该股的发展逻辑，极有可能3年内突然倒闭，原因很简单，硅碳负极,06-03 08:01
130,1,全是业绩不行的，业绩好的特锐德明天涨不过份把,06-03 09:35
41,0,明天大阳线,06-03 09:26
478,2,T1液冷超充终端：行业唯一“0”噪音、体积最小的液冷超充终端//@喝着冷饮充着电,06-01 08:18
130,2,随时一地鸡毛！,06-03 01:50
90,1,静等20以下，快点吧，你没有继续红的基因,06-03 01:49
112,3,板块大涨，你不敢涨，要压着杀跌。现在板块回调，你又不敢顺势杀跌做空，这玩的啥玩意,06-03 01:15
7689,19,聚焦深市先进制造②：以技术打造“硬产品” 深市电力设备企业国际化渐露峥嵘,05-27 08:12
64,3,真是纠结啊,06-03 01:03
143,1,这是真的,06-03 01:52
42,0,快跑啊，要暴跌啦，跑跑跑！,06-03 02:59
104,0,五日线拐头向下，明天看跌,06-03 02:57
56,2,利好满满,06-03 10:57
55,2,俩回了，高开回落，看来上方做多挺难，每次利好都这样，轻仓操作吧,06-03 10:20
124,6,利好消息拿来出货，有什么救呢，散了吧,06-03 10:28
484,8,特锐德6月3日盘前提示:看多。第一支撑21.50，第二支撑21.40，第三支撑2,06-02 05:01
306,13,特锐德即将启动！,06-03 10:02
1921,5,特锐德投资成立充电网运营新公司,06-03 10:21
66,0,静等20以下，快点吧，你没有继续红的基因,06-03 01:48
57,0,没阻力没压力,06-03 01:44
49,0,是我们让主力跑，还是主力让我们跑？,06-03 01:39
39,0,反复上攻测试失败，没有人跟庄,06-03 01:37
35,0,这种行情下已经很不错了，没有大亏,06-03 12:59
373,3,昨天没有涨上，今天就不要想了。,05-31 11:26
616,12,这个,06-02 07:32
80,0,随着光伏、风力发电的迅猛发展，国内电价能时常出来负电价，油价永远至少7、8块。,06-03 11:46
22,0,NB,06-03 11:37
45,0,阳线没有破一半,06-03 11:26
26,0,雄起一回,06-03 11:22
35,0,买入叮当响,06-03 11:18
36,0,能收个十字星就心满意足了………,06-03 11:12
31,0,洗的差不多了，在洗散户就多啦[大笑],06-03 11:09
35,0,只要能涨1点,06-03 11:03
356,6,明天不知道能不能大涨,06-02 02:45
38,0,所谓的利好，只不过是释放了一波收割散户的信号,06-03 10:43
24,0,一个字、跌，四个字、跌跌不休。,06-03 10:43
16,0,敢下到20线，我就反抽勾脏[大笑],06-03 10:42
43,0,一个字跌、四个字、跌跌不休。,06-03 10:41
72,2,无视一切利好，就是一个字“跌”,06-03 09:39
2939,23,特锐德:关于特来电与ENEOS拟设立合资公司的公告,05-31 03:43
27,0,潜水了,06-03 10:20
36,0,，利用利好出货，被玩坏了这个股，缺少强有力的庄，,06-03 10:14
30,0,还活在贫困线下,06-03 10:11
1533,26,为什么公司在公告中表术对外投资的目的和对公司的影响时只强调在中国？公司与ENEO,05-31 07:05
52,0,目标就一个，把仓加满。,06-03 10:00
74,0,可以启动了，散户这几天几乎跑没了[大笑],06-03 09:28
50,0,今天大跌，因为出利好了,06-03 09:19
67,0,特锐德：融资净偿还567.94万元，融资余额10.97亿元（05-31）,06-03 09:07
83,2,你想听吗,06-03 08:42
