阅读,评论,标题,最后更新
135,4,0.2层仓，24.01继续参与下圣龙嘿嘿,06-04 01:57
36,0,垃圾,06-04 11:03
41,0,垃圾,06-04 11:03
139,3,妈的，追高了,05-30 09:45
43,0,拉稀了,05-30 10:05
58,0,圣龙股份：融资净买入52.43万元，融资余额1851.42万元（05-29）,05-30 07:43
59,0,但有敢碰此股者，自作孽，不可活也！,05-29 04:59
264,4,23.77买入。看看下午拉起来吗,05-29 11:28
37,0,没量散了吧,05-29 01:50
41,0,龙头,05-29 01:06
502,1,圣龙股份:圣龙股份2023年年度股东大会决议公告,05-28 06:08
88,0,呵～tui！,05-29 11:22
90,0,此等恶劣的股说垃圾都是抬举,05-29 10:41
49,0,要触到市值退市了吗,05-29 10:19
199,0,2024－5－29晨曦闲聊杂说(原创),05-29 08:56
52,0,圣龙股份：融资净偿还13.66万元，融资余额1798.99万元（05-28）,05-29 07:49
88,0,到底能不能涨了，真服了天天在跌,05-28 06:34
47,0,垃圾的很。,05-28 06:27
256,0,圣龙股份:上海市锦天城律师事务所关于圣龙股份2023年年度股东大会的法律意见书,05-28 06:08
101,0,有种要划进深渊的感觉,05-28 04:35
93,1,明天不会来个跌停吧,05-28 03:09
924,1,“捕牛者”李胜军，在正丹股份、圣龙股份、华明装备获得高浮盈？,05-28 03:04
266,3,$圣龙股份(SH603178)$,10-23 02:40
39,0,动物,05-28 02:56
43,0,减持了,05-28 02:54
61,0,开始减持了吗,05-28 02:53
175,6,说一个让你们高兴的事。我的本是32,05-27 09:06
75,0,今天起不来了逃得快,05-28 02:41
41,0,，,05-28 02:18
42,0,每天来一句垃圾,05-28 02:10
38,0,……,05-28 02:08
3152,5,板洗？久横必板，久横必板。罕见30年新低破净。加仓银座股份了，营收53亿，仅市值,02-07 10:35
70,0,华为汽车有关吗,05-28 01:27
48,0,已投反对,05-28 01:12
146,4,股东减持要不要出,05-28 11:20
222,8,48块的本，怎么办,05-27 09:38
37,0,巨型垃圾,05-28 11:26
106,1,收到短信投票,05-28 10:34
120,0,走了看看破不破23.1,05-28 10:51
151,4,33的本，多久能回来[哭],05-28 09:39
1331,3,圣龙股份:圣龙股份关于控股股东及一致行动人减持股份计划的补充公告,05-27 05:57
45,0,牛,05-28 09:46
57,0,圣龙股份：融资净买入51.02万元，融资余额1812.65万元（05-27）,05-28 07:42
822,0,风险预警！这些公司昨日出现利空事件[24/05/28],05-28 07:21
89,0,股价最多值5元零头！！！清仓大处理,05-28 06:55
99,0,发行价7块多，这是还要跌的节奏啊,05-27 10:00
66,1,真恶心，如此暴跌下减持竟然不跌停还企稳了,05-27 06:35
78,0,还减持，没底了，能止损的速度了,05-27 07:54
248,0,圣龙股份公司（股票代码：603178）将在2024年5月28日召集2023年度股,05-27 06:47
170,3,23.7买入2层仓位。看你跌破23.1嘛。,05-27 03:03
254,15,37的本是不是回不了了,05-27 09:30
108,1,机构扫货开心赚了1倍的钱在这里随便买回来,05-27 02:28
79,0,减持周期蛮长,05-27 02:20
97,0,虽然只有100股了。。。还是痛心疾首,05-27 02:10
74,0,股东卖公司了[囧],05-27 01:36
82,1,也就亏百分之37而已,05-27 11:46
206,1,7w手也不多啊减持在底部减嘛肯定是高位融券卖出，底部减持买回来。套路都明白。需要,05-25 02:03
92,0,公司配合减持可见多想要散户手中血筹？高位不减，股价跌去一半才减？股东了。,05-27 12:58
208,5,30的本2000，咋搞啊兄弟们,05-24 03:10
75,1,远离减持股票！,05-27 10:36
68,0,厉害，终于从55块钱打压到23块。,05-27 11:33
1140,0,风险预警！这些公司昨日出现利空事件[24/05/27],05-27 11:30
53,0,我喜欢闪闪发光的男孩子，比如财神和如来。求求你们了[哭],05-27 11:20
50,0,亏一万多快跑吧垃圾,05-27 11:07
439,2,28.8买了二十万，赔了一万八，今天走了。人气越来越低不想熬了,04-25 02:44
92,0,这货是不是要到20元才有反弹？,05-27 10:33
66,0,上个礼拜5割肉还是好的少亏几千块,05-27 10:31
45,0,干脆ST,05-27 10:30
54,0,20块指日可待,05-27 10:26
43,0,我子不玩了,05-27 10:19
61,0,5.24发布减持规则条例，贵公司5.25就减持，和法律对这干吗？,05-27 10:17
39,0,一群亏了30-40%涨不了哦,05-27 10:15
39,0,还圣龙呢，烂蛆一条啊,05-27 10:14
112,0,我可以怀疑公司坚持已经提前坚持2个多月了，只不过现在才公告出来，,05-27 09:43
49,0,垃圾迫不及待减持套现，说明股东都不看好公司圈钱跑路,05-27 09:23
185,0,从人形机器人到柔性生产 宁波新能源汽车产业链超前布局,05-27 08:44
65,0,都跌成狗了，还顶风作案，跟风减持，今天无论涨跌都跑了,05-27 08:37
1650,12,圣龙股份:圣龙股份关于控股股东及一致行动人减持股份计划公告,05-24 06:57
46,0,禁止减持,05-27 05:08
81,0,炒作完，开始卖公司了,05-27 12:55
46,0,无敌大垃圾,05-27 09:38
160,2,心烦，35.81买的，跌成这蛤蟆样，心情郁闷,05-25 03:32
157,3,顶风作案啊还敢减持?,05-26 06:53
66,0,大龙头,05-26 09:41
87,0,明天跑不跑？这些消息，受不了了，明天割肉,05-26 09:03
113,0,可见是烂公司,05-26 07:04
115,0,比谁跑的快哈哈哈,05-26 05:36
76,0,退市跑路吧,05-26 05:35
111,0,退市退市这种公司在干嘛,05-26 05:25
1755,16,圣龙股份控股股东方面拟减持不超2.96%公司股份,05-24 08:33
165,2,不是不盈利不能减持吗,05-25 10:54
1433,9,圣龙股份：圣龙集团、圣达尔拟减持不超过2.96%公司股份,05-24 07:07
149,0,股东赚发了，三倍减持了，高位减持是利空啊！,05-26 01:36
122,0,好好查查，明天一字跌停[捂脸][捂脸],05-26 12:06
112,0,吓死了，赶紧减持，不然卖不掉了，哈哈哈,05-26 08:37
2183,2,卧龙解读，今日股票公告,05-25 10:32
105,0,顶风减持，好好查查这个破公司,05-26 05:32
118,0,不对呀！怎么没有收到问询函？？,05-26 05:31
124,1,这不是当年的龙头么可笑[大笑],05-22 01:22
157,1,还有谁敢投圣龙？还有谁？[大笑],05-25 06:59
290,0,圣龙股份公司（股票代码：603178）定于2024年5月28日召开上一财年的年度,05-25 06:21
205,4,此股从高位亏了32个点了还能回本吗,05-23 12:38
99,0,是否违规减持，查查吧,05-25 12:22
134,0,龙头就是龙头，减持新规刚出，它就发减持公告，这就是龙头的魄力，试问谁敢？,05-25 11:49
110,1,这也要减持了，握草，当时，55块没减持，这股东也算良心了，[偷笑][偷笑][偷笑,05-25 10:51
95,0,大股东完全就是趁火打劫！！！,05-25 10:23
96,2,还减持,05-24 09:02
92,1,散户玩这种公司就是活该，别怪别人，就怪自己[憨笑],05-25 06:40
122,1,昨天差不多两个点进来也被套,05-25 07:17
87,1,证监会刚发管理减持规范公告，这破公司就顶风作案[捂脸][捂脸],05-25 07:13
131,1,这不，减持公告一发把这个人气的带上来不少诶。也是奇葩了礼拜一等着爆锤了[捂脸][,05-25 07:16
81,2,买了这股两个多月了。一路加仓可一路跌。亏得海大。,05-24 11:47
