阅读,评论,标题,最后更新
59,3,那些冲高，卖了，尾盘再买回来的才是电测铁粉，等一下下午跌下来，一个个又傻眼了，不,06-05 10:26
86,2,今天大盘必上3100，我说的，椰树来了，电测也要跌下来，我去其他股打野了，尾盘见,06-05 10:59
73,0,航空航天军工大行情来了,06-05 11:00
59,0,今天大盘必上3100，我说的，椰树来了，电测也要跌下来，我去其他股打野了，尾盘见,06-05 10:59
7335,55,关于中航电测仪器股份有限公司申请发行股份购买资产的审核问询函的几个问题，巅峰人气技术大哥不聊技术来聊消息面,12-15 03:52
265,2,就守着你这只被遗弃的电测,06-04 04:04
2081,3,技术哥睡前拿算盘来帮多方实时敲敲预测下周中航电测低位第一个价格,01-27 11:12
191,1,看好就留着，不看好就走,06-04 07:51
381,4,沈飞当年重组，横盘了三年才暴涨的,06-04 03:16
620,6,中航电测：您好，非常感谢您对公司的关注。截至2024年5月31日，公司股东总数为,06-03 03:20
167,2,$中航电测(SZ300114)$,06-04 04:01
255,0,游资圈，目前风声鹤唳，所以这两天有几支经融股出现了莫名其妙的跌停，在严监管下，那,06-05 12:27
581,6,目标价短期上43-45没问题。出公告最少60。中期80.长期120以上[上涨][,05-15 09:22
264,1,真正相信成飞重组的人应该发看空的帖子，不然怎么能拿到低价筹码。这票游资肯定不会来,06-04 09:53
235,13,此轮下跌，估计要破前低31.88元？,06-04 01:39
114,1,估计凶多吉少。,06-03 11:27
63,2,还得一年,06-04 05:44
161,5,这股反应中航一帮人的工作作风！,06-04 02:51
109,0,自己在过程中拖呀拖呀拖，拖出了大华又拖出了数据过期，最后拖垮了事,06-04 11:49
339,1,现手中握有的电测已锁仓，不看了。本来想跌下去时再补一点仓，下午将这点碎银去买了1,06-04 09:01
169,0,聪明跟智慧是天敌，好股不需要太多聪明人[呲牙],06-04 09:25
52,1,涨到56元,06-03 01:09
149,0,发财了,06-04 08:31
270,4,就这吹的比f22强？,06-04 05:37
188,0,富贵险中求，看好的留下，看空的！,06-04 06:53
362,12,历史上罕见！重组了一年多了还没有个所以然？,06-04 02:12
223,1,为什么要向交易所申请中止？何时申请重新审核？,06-04 03:45
51,0,丢人现眼,06-04 05:25
250,7,这不妥妥的向下的仙人指路吗,06-03 08:14
901,13,重组已经获得主管部门的批复,06-03 08:41
84850,108,双底形态已成，大数据ETF或将触底反弹,06-03 04:19
518,15,中航电测是血的教训，因为下跌趋势的股，绝对不能买。没有主力。还会持续阴跌。何况中,05-28 12:06
191,0,大信突然接太多单子了...忙不过来,06-04 03:49
106,1,又出对子这玩斗地主呢,06-04 03:04
178,0,为什么要向交易所申请中止？何时申请重新审核？,06-04 03:44
129,2,感觉还没跌透，一直阴跌诱多，没有放量大跌之前，不能抄底买入[大笑],06-04 01:47
96,1,效率低下能干什么,06-04 03:08
134,2,别把自己当成大神,06-04 02:10
611,7,成飞不如沈飞啊，歼20不如歼16，中航电测股价一直领先中航沈飞，2023年14号,06-04 10:46
173,5,普华永道是恒大帮凶，那大华是电厕什么那，刚刚普华永道被罚了10个亿，那大华罚多少,06-03 02:49
30228,288,中航电测:关于发行股份购买资产暨关联交易的进展公告,05-17 07:13
908,8,尊敬的董秘你好，公司的资产评估报告有效期为2024年1月31日，即将到期，请问月,05-09 03:47
35,0,大家好,06-04 02:08
60,0,比亚迪还是有两把刷子的。否则，老巴也不会买。,06-04 01:49
39,0,怎么天天出来卖？,06-04 01:47
37,0,天天跌没完没了啊，万恶资本不给散户活路啊,06-04 01:45
1134,18,定心丸已到！已提前安排加期审计，保证重组项目正常推进。这个定心丸还不够吗？留给造,06-03 06:44
40,0,你走成了这个熊样，难道你也财务造假快被ST了不成？,06-04 01:33
81,0,知道什么是量化交易吗？你钓鱼，人家扔石头，你猜还能钓到鱼吗？,06-04 01:21
85,0,知道什么是量化交易吗？你钓鱼，人家扔石头，你猜还能钓到鱼吗？,06-04 01:21
268,5,"小伞们这么多人不看好,怎么股东人数下降了363户,大户都在偷偷加仓,好多人不懂在",06-03 08:50
318,5,公司已聘请大信会计师事务所作为本次重组的审计机构并开展审计工作，公司将继续全力推,06-03 06:54
85,0,歼20，下一代战机都出来了，这货还在磨洋工。,06-04 01:08
27,0,都这么不看好，应该远离，让这个吧彻底冷下来。为什么这么多人叽里哌啦。当救世主了,06-04 01:06
1231,10,难得的逃生窗口，还不抓住？,05-20 01:26
41,0,风浪越大越贵,06-04 12:14
88,2,今天高点绝对不会超40！,06-04 11:20
125,1,公司重组事项会严格按照相关规定合法合规开展，关于财务数据到期的问题，相关机构已提,06-03 06:51
74,0,都知道电测是垃圾垫底，谁让你们买了，当韭菜当上瘾了，很有前途，不服来辩。,06-04 11:38
70,0,已经被远远甩开,06-04 11:38
66,0,都知道电测是垃圾垫底，谁让你们买了，当韭菜当上瘾了，很有前途，不服来辩。,06-04 11:38
95,1,看看沈飞，看看西飞，再看看你还成飞呢！了色堆吧,06-04 11:17
128,0,有这么的国之处重器？,06-04 11:29
104,2,"笑话,资料都要重新来过,咋加期,真是胡说.",06-03 07:50
90,1,应该是大利空吧，不然不会这么个走势,06-04 09:59
134,0,中航重机也是中止，还后聘大信。,06-04 11:05
31,1,冲高回落,06-04 10:22
97,2,沈飞都反超，电厕？,06-04 10:09
35,0,今天航空股大涨啊！,06-04 10:58
63,0,下午实破有人信吗,06-04 10:55
70,0,这里面都是些什么投资客,06-04 10:50
97,3,今天挂1/3仓38.01，看能不能买得到,06-04 08:56
55,0,今天补个半仓，等待一飞冲天,06-04 10:44
22,0,这个真不是好东西,06-04 10:43
341,3,维信诺这个啥时候换的审计机构？3月31日财务数据过期，后面又因为大华中止，刚刚更,06-04 12:05
36,0,电测的量化庄家太恶心了，反正就是不让你起来，一直摩擦…,06-04 10:31
72,0,今天跟着低空经济，沈飞西飞的反弹没电测啥事，现在的电测给他俩提鞋都不配，希望尽快,06-04 10:20
41,0,"从国家战略角度想.成飞终将并入沈飞,试目以待吧",06-04 10:06
97,1,"底部加仓机会不多了,股东人数又下降了",06-04 09:37
228,4,现在对审计机构管得严，会不会大信的审计结果和大华不一致有偏差，然后发函让解释审计,06-04 01:08
120,4,嫦娥六号完成月背“挖土”！6月4日7时38分，嫦娥六号上升器携带月球样品自月球背,06-04 09:16
105,2,热烈祝贺[献花][献花][献花][献花][献花][献花][献花][献花][献花],06-04 09:13
85,0,产融会影响这个票，今天跌3个点以上就说明有关系,06-04 09:22
1478,10,中航电测股东户数减少363户，户均持股61.46万元,06-03 03:55
3320,34,公司受大华处罚影响，提交的财务资料也到期了，公司对后期重新提交资料目前是什么安排,06-03 05:30
108,0,中航电测：融资净偿还1004.31万元，融资余额9.18亿元（06-03）,06-04 09:04
121,1,没有恢复审核前都应该观望一下了,06-04 04:43
145,2,产融跌停不知道会不会影响电测，中止，换审计，财务资料过期，产融又出问题，看下一条,06-03 11:58
184,0,大信主要任务是审计成飞的2023年度财务报告和电测的财务报告，故时间不会很长！,06-04 06:36
261,0,董秘已讲得很明白，还不理解语句的可能真的要去启智学校重修，明天会大涨！,06-04 02:47
774,22,此次香会底气很足，制空权在我，心中不慌，我在成飞，成飞在威龙。国家战略不可阻挡。,06-02 03:46
221,2,不懂就问，晚上观察了一下，主机厂似乎有资金在抱团:600760、600893、0,06-03 10:18
2756,72,想让广西南宁人闭嘴非常简单，请董秘正面回答中航电测此次重组收到国防科工局批复没有,05-09 04:57
162,1,个人看法3天之内吃不掉这根阴线那就还要跌明天来个反包则不用担心了,06-03 09:14
1045,20,5.31不是已经中止了吗？为什么不公告呢,06-03 09:28
145,2,越是双底形态越可怕，你看到的就是庄家想让你看到的。很可能这是一个假双底，后期不排,06-03 06:45
2975,7,习酒借壳风云再起 目标会是谁？,06-02 12:10
500,7,预知的5月底财报到期，都知道的信息还能被发酵成利空，说明主力早就控盘…利用所谓的,06-03 04:17
921,4,请问大信所与公司签订对重组标的财务审计时间要求是多久？重组标的上期财务数据过期，,06-03 05:27
81,2,",所有的资料和数据都必须重新来过.何来加期",06-03 07:45
79,3,"上午又洗了不少小伞,或认为重组不成功的小伞,大户在偷加仓",06-03 11:09
301,7,越是双底形态越可怕，你看到的就是庄家想让你看到的。很可能这是一个假双底，后期有大,06-03 06:44
38,0,[滴汗],06-03 09:08
376,4,今天错过加仓良机，只是破40按照习惯加了两笔，后续跌破39就一直不在深跌，后续资,06-03 05:39
45,0,已换300811,06-03 09:01
99,3,吃相太难看,06-03 02:52
965,11,先补充提交审核，再继续走完上市程序！,06-02 06:00
54,0,搞的自己寝食难安，炒股超成了神经,06-03 08:21
48,0,明天反包喽杀个回马枪,06-03 08:21
133,0,本月中旬前上证50调仓，配置了它的ETF必须卖了它，卖出金额不低于六亿,06-03 08:07
240,2,截至5月31日，股东总数为38796户，9个交易日减少363户。,06-03 06:56
779,2,在此次重组过程中，因大华其自身原因而被替换，请问你们还会付给它审计费吗？由此而造,06-03 05:28
1100,3,董秘您好，公司回复证监会问询函，修改资料是否是已准备完毕？跟换会计事务所，新的会,06-03 05:29
260,4,今天这么多加仓的，看来以后大家都可以发财啦，我也加仓啦，满仓满融。哈哈，非常看好,06-03 03:19
108,0,公司及相关各方正在全力推动本次重组的各项工作，将在满足恢复审核条件后及时提交本次,06-03 06:52
29,0,一个重组喊几年，真够恶心的。最后来个重组失败就笑话了,06-03 06:33
141,6,被沈飞追上了！,05-30 11:20
257,11,谢谢南宁人发贴，我又加仓了,06-03 10:49
499,1,5月已经结束了，6月开启，请问，重组事项是继续推进，还是即将终止？,06-03 05:27
24,0,明天好不好跌停啊,06-03 05:47
117,0,户均63万应该是历史最高值吧。广西人如果不够这个数，我可以替你填补亏空,06-03 05:40
159,1,就问一个问题财务报表到期是明牌吧大华被处罚是5月中旬吧如果重组失败了为什么还要请,06-03 05:05
112,3,屋漏偏逢连夜雨.船破又遇打头风呐.大集那样我认.没多少.电测这跌的疼.上午执行充,06-03 11:57
467,0,尊敬的董秘，你好深交所重组委即将开工，中航电测重组资料什么时候可以上交？,06-03 05:29
243,0,尊敬的领导，贵公司研发制造的产品，在卫星导航产业上主要有哪些产品参与，该产品市场,06-03 05:28
190,0,尊敬的各位领导，贵公司在“中国星链”的建设项目上，主要计划或参与哪些前沿科技项目,06-03 05:28
184,0,公司业务与贵航股份有无协同与合作，有无考虑收购重组贵航？,06-03 05:28
210,0,尊敬的各位领导，公司什么条件下可以向深交所申请恢复审核？,06-03 05:27
232,0,你好，更换会计事务所后，最新计划是什么时候出报告,06-03 05:26
186,7,国之重器重组也这么儿戏吗,06-03 11:46
4537,45,成飞财报有效期至24年5月底。根据23年重组新规，上市公司收购重组，标的资产财报,04-03 04:50
442,4,来电好料，兴奋一下,06-03 01:47
91,2,哪位给分析下中航这个操盘的轨迹意欲何为。,06-03 01:59
59,2,低位起来翻了好几倍了，怎么有些人这么贪,06-03 02:12
497,9,每次问时候他们都说审计到期会提前做好安排，公司有各种预案不会影响重组，现在到好了,06-03 10:28
341,4,尊敬的董秘您好，请问公司到五月底的股东人数，谢谢,06-03 03:04
424,16,终止？？？？,06-03 10:59
192,1,请问截止5月31日盘后公司登记在册的股东人数是多少？谢谢,06-03 03:04
132,1,中航产融突然跌停，目前不知道什么原因，产融是目前电测三股东，会不会抛售电测股票去,06-03 11:31
135,2,关健时刻露个下脚水，继续砸，原计划37等你,06-03 02:00
534,3,去看了一下分时，38.18，挂单都来不及。。。,06-03 01:00
109,4,为什么跳了？,06-03 11:34
64,0,大盘不行，不利重组,06-03 03:19
265,1,最新股东人数多少啊？,06-03 03:04
114,3,利好消息来了,06-03 01:08
961,7,今天割肉了，以后不来了，祝各位战友旗开得胜。51过后深交所通过,04-30 04:36
32,0,骗局能维持多久？靠拖能解决问题吗？脓包总是要穿头的。[滴汗],06-03 03:09
71,1,马上发公告了,06-03 01:22
62,0,收盘带8，明天还要跌,06-03 03:01
76,0,这种大环境下，不买军工还能买啥,06-03 02:56
89,1,难道重组有问题，又来了所谓的先知先觉吗？不明白，啥时信息能对称一下。,06-03 01:21
60,0,今天有人电话打通吗？,06-03 02:47
60,0,大盘调整结束，你的调整也该结束。,06-03 02:46
500,8,好好的一盘菜，炒的稀巴烂，不知是有意为之还是就是能力不行，要真打起来，就这个效率,06-01 11:37
46,1,怎一个惨字了得……,06-03 12:35
60,0,喊狼来了，结果狼一直没来。,06-03 02:37
51,2,蛇吞象，可能吗？,06-03 11:13
319,2,外媒频繁报道，彰显巨大价值,06-02 03:53
71,0,中航产融跌停,06-03 02:13
652,37,空军兄弟们！今天拜托努力砸两个点，让我完美T一下。,05-27 08:55
