阅读,评论,标题,最后更新
1112888,0,东方财富网股吧社区内容治理公告,05-22 09:43
1529,4,"18元时122万户,11元时75万户,3.3元时40万户,涨到4元33万户",05-06 10:49
663,4,民生银行一季度营收净利润双降：今年被罚超600万，合规备受考验,05-17 12:48
548,8,中国的银行股，稳定的股息，得到越来越多投资者的认可。多年以来，在舆论的错误引导下,05-25 10:19
1740,6,2020年开始巳经将逾期60天以上的贷款全部纳入了不良贷款,01-19 09:14
5160,8,买银行股前需要读懂的一些重要财务知识,03-14 08:04
1371,1,"4月5日在美丽坚上市银行的市盈率,市净率,每股收益,每股净资产 印度私营HDFC",04-08 04:42
1619,15,民生银行底部磨了一年一年又一年，整整三年，新行长任职资格也确认，可以放手大干了，,05-02 06:04
2563,20,民生银行正走在正确的道路上,05-19 07:19
192,0,泛海的股份会被强制拍卖吗？净资产12.4，如果拍卖成交价只有4元不到，对泛海来说,05-26 07:24
1188,5,"1浪涨9.65倍,3浪1涨3.6倍,3浪2跌89个月后盘16个月又将怎样?",04-18 07:11
1892,10,3.92元买的每股净资产12.43元+拨备2.23+应收款8.22+商誉1.22,04-11 10:05
3489,11,发行新股时的市净率10倍的民生银行现在的市净率0.31,10-21 12:14
50,0,就未分配利润而言。这股价没有任何风险。长线持有分红比存银行强太多,05-26 06:23
152,1,民生银行跟兴业银行、浦发银行没法比！,05-25 05:15
5294,22,"外国资本可以持有银行100%股权,民生银行具备外资收购概念",01-26 09:17
2008,13,回血失败，民生银行困兽犹斗,05-24 09:10
400,5,民生银行中期分红0.3，，然后特别分红0.4,05-25 09:34
5715,7,让3年半收益率冠军的成都银行收购兼并3年半倒数后3名的民生银行,01-30 06:47
130,1,留存收益，如果不能转化为市值，将利润留下，对股东来说，就没有任何意义。应该提高分,05-17 09:29
195,2,3月底4元附近卖了10%，一直等回调3.7到3.6，就没等到[滴汗][滴汗][滴,05-25 11:43
244,0,每次来这里咋心如刀割，买了十几个银行股个个都吃一口红烧肉，肥牛离开的，就你让咋带,05-25 06:51
1123,4,民生银行“老将”丛军拟接棒民生理财董事长 民生理财管理产品规模已破1万亿,05-22 09:14
237,2,下周见到4.1+,05-25 10:29
2603,15,巴菲特提醒投资者说了,05-14 09:06
2259,11,民生银行:H股公告-董事会会议召开日期,05-21 08:40
3755,17,民生银行:中国民生银行关于诉讼事项进展的公告,04-26 06:56
222,0,民生银行潜力在哪？国家大力支持跨境支付必成热点,05-25 01:19
4723,6,“515”后银行继续压降“高息”对公协定存款 民生银行最新调整三类产品 后续或有更多银行跟进,05-23 01:12
409,3,大宗交易：民生银行成交1194万元，成交均价3.98元（05-24）,05-24 05:18
91,0,民生银行：融资净买入210.69万元，融资余额38.9亿元（05-24）,05-25 07:35
137,0,4.51[吃瓜],05-25 07:02
698,1,又一家银行对协定存款下手！银行压降负债成本进入“深水区”,05-24 09:31
486,2,破净股数据[24/05/23],05-23 08:11
222,1,[大笑]150050010004900下周见，大家一起做T,05-24 03:02
477,6,4.1买了一万股，你们呢？,05-23 08:26
361,0,钱在民生手里没什么效益，不如早点分红大家算了,05-24 06:44
