阅读,评论,标题,最后更新
142,0,不跌停就是奇迹,06-03 02:12
55,0,无语,06-03 11:28
49,0,真垃圾,06-03 11:23
67,0,快挂单跑,06-03 09:28
403,0,贵公司生产经营一切正常？,05-31 08:32
158,1,为什么你们公司的货款很难收！采购电话都不敢接！是真的没钱了吗,05-31 02:02
212,2,22.22元上了1手,05-31 01:01
166,1,越亏越涨！定了！,05-31 10:59
160,1,今天来了涨停板吧,05-31 11:15
556,1,2023 年的四倍大牛股捷荣技术，近日突发重大人事变动。,05-31 09:44
120,1,前段时间哪些捷吹呢？,05-31 09:56
134,0,真不容易啊终于硬气一把了希望你能保持到3点啊,05-31 10:02
82,0,比板块还差,05-31 09:59
134,0,亏损3年ST吧什么鬼股,05-31 12:03
215,3,捷荣技术，还会不会涨到30往上，大神指点指点，谢谢，散户就别乱说了,05-30 02:49
22532,31,上任仅仅4个月！大牛股总裁突然辞职 连续三年亏损,05-30 07:51
265,0,捷荣技术总裁上任仅4个月便辞职，公司已经连续亏损三年,05-30 04:59
1840,6,总裁等三人突然离职 捷荣技术应尽快打消投资者疑虑,05-30 02:24
639,5,捷荣技术(002855.SZ)：董事、总裁牟健因个人原因辞职,05-29 10:30
423,11,差不多可以干一把了19.6准备开始布局入场建仓一手,05-28 08:05
261,0,捷荣技术：牟健辞去总裁等职务,05-30 03:36
113,0,温水煮青蛙式下跌,05-30 02:56
59,1,会不会t,05-30 01:14
67,0,你可真优秀啊、你红一点是不是会死啊,05-30 01:46
105,0,垃圾股2哆块钱的股价[俏皮],05-30 11:29
74,1,捷荣是被人遗忘咯,05-30 10:34
50,0,跑,05-30 11:09
113,0,这就是长期投资的价值。呵呵。,05-30 11:03
101,0,这股应该st,05-30 10:29
850,0,捷荣技术：牟健辞去公司总裁、董事及董事会下设相关专门委员会委员职务,05-29 10:15
339,3,32入手的还有机会吗,05-29 10:14
259,5,套的死死的，垃圾中的ZDJ,05-17 10:44
129,1,真，短小无力,05-29 01:05
505,2,捷荣技术：财务总监唐建光辞职,05-27 07:52
250,0,捷荣技术(002855.SZ)：财务总监唐建光辞职，不再担任任何职务,05-29 11:55
97,1,没人买也没人卖，这股完蛋了！,05-29 09:42
76,0,、趁早退市吧,05-29 10:30
794,3,捷荣技术:关于财务总监辞职的公告,05-27 07:27
251,1,捷荣技术：唐建光辞去财务总监职务,05-28 03:26
148,0,参见曾经的妖王,05-28 10:48
649,0,捷荣技术(002855.SZ)：唐建光辞任财务总监,05-28 08:42
445,2,将于2024年5月17日召开的捷荣技术公司（股票代码：002855）2023年度,05-14 10:25
84,1,将于2024年5月17日召开的捷荣技术公司（股票代码：002855）2023年度,05-14 12:25
131,2,不行了，给捷荣害死了！每天跌几个点，要破产了,05-28 05:47
101,3,以割。垃圾,05-28 02:09
82,0,这是真垃JI，全股市最拉的，路过,05-28 04:56
185,2,这股很拉几的，你们看他的排名就知道了，说不定那天就退市了，其他的你们自己去琢磨，,05-28 10:40
1730,39,捷荣技术一个蹭热点的亏损垃圾股，就知道吹，今天已是强弩之末，马上面临大幅调整，中,09-25 08:47
686,8,我朋友在这个厂上班，工资都发不出来，兄弟们要注意啦,05-22 06:29
128,2,一个多月了，天天这鸟样,05-28 01:15
74,0,没辙了！,05-28 10:03
72,0,永远不会红的垃圾、恶心,05-28 09:45
375,2,2.43港元买跌了8年的她净资产+拨备=14.32元8年赚7.78元是铂金价,02-01 11:34
137,0,这股是真废了,05-28 09:37
72,0,牛啊牛啊,05-28 09:36
324,6,33的本，今年还有希望吗？,05-27 10:51
79,1,抄底了,12-15 01:46
257,0,很荣幸参与了历史牛股,05-27 07:44
135,0,利好半导体产业，就是利好华为，利好华为就是利好捷荣,05-27 07:04
179,0,每天都是早盘跌，尾盘拉，每天重复，下一个金桥信息可以参考一下,05-27 02:42
179,3,这么跌，谁敢进,05-27 10:10
165,0,洗的差不多了，下午可以开始拉了,05-27 11:31
