Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
605499.SH,2024-02-27,177.37,3975.61,70200.891,176.12,178.04,175.52
605499.SH,2024-02-28,173.1,6817.68,119511.974,176.76,177.76,172.93
605499.SH,2024-02-29,178.98,7259.35,127643.472,171.66,179.0,171.66
605499.SH,2024-03-01,179.75,6781.9,121935.389,178.98,180.87,178.0
605499.SH,2024-03-04,179.99,15134.95,274811.847,180.08,186.88,176.88
605499.SH,2024-03-05,181.3,8091.66,146398.957,179.05,182.82,178.5
605499.SH,2024-03-06,182.44,5711.7,104242.352,181.3,183.52,180.41
605499.SH,2024-03-07,182.1,4457.36,81127.98,182.44,183.0,180.69
605499.SH,2024-03-08,180.63,3812.98,69287.687,180.1,182.78,179.5
605499.SH,2024-03-11,185.0,7377.69,136193.523,180.63,186.5,180.63
605499.SH,2024-03-12,185.46,6504.56,120598.328,185.0,186.31,183.77
605499.SH,2024-03-13,185.5,4952.43,91819.231,184.81,186.28,183.66
605499.SH,2024-03-14,183.11,4767.0,87848.558,185.5,185.73,182.0
605499.SH,2024-03-15,183.86,3713.77,68289.78,182.4,184.55,181.5
605499.SH,2024-03-18,187.0,8657.19,160765.308,183.86,187.5,182.5
605499.SH,2024-03-19,189.36,7731.7,146330.102,186.35,190.72,186.0
605499.SH,2024-03-20,188.29,4851.98,91682.556,188.0,190.35,187.6
605499.SH,2024-03-21,188.8,3445.76,65196.701,188.0,190.3,187.61
605499.SH,2024-03-22,180.41,8965.18,164630.168,176.0,189.33,176.0
605499.SH,2024-03-25,185.28,8930.55,166576.361,183.4,188.62,183.27
605499.SH,2024-03-26,187.5,6368.18,119330.851,184.95,188.76,184.95
605499.SH,2024-03-27,185.23,3747.51,70022.025,186.05,188.28,184.66
605499.SH,2024-03-28,188.33,6262.89,117761.676,184.6,188.98,184.6
605499.SH,2024-03-29,186.73,6066.4,113710.774,187.67,189.89,185.5
605499.SH,2024-04-01,186.5,7191.4,134443.573,187.38,188.7,185.15
605499.SH,2024-04-02,189.45,10499.91,197880.953,187.0,190.07,185.52
605499.SH,2024-04-03,189.62,6750.4,128376.998,189.75,191.44,188.01
605499.SH,2024-04-08,190.24,9783.4,186179.314,189.43,191.8,188.26
605499.SH,2024-04-09,187.59,4888.7,92522.736,190.67,191.38,187.59
605499.SH,2024-04-10,188.64,8227.17,155210.653,188.0,189.75,186.45
605499.SH,2024-04-11,186.6,6431.38,120169.783,190.0,190.0,185.65
605499.SH,2024-04-12,184.78,8001.79,149666.684,186.8,188.89,184.78
605499.SH,2024-04-15,193.0,19131.52,365489.351,184.8,194.47,184.8
605499.SH,2024-04-16,192.52,12046.32,233631.208,193.02,196.42,191.52
605499.SH,2024-04-17,190.95,11220.4,214366.739,193.97,194.2,188.5
605499.SH,2024-04-18,193.35,15904.84,306084.71,188.73,193.57,188.73
605499.SH,2024-04-19,192.45,7720.59,148300.065,192.99,194.8,190.0
605499.SH,2024-04-22,195.6,15044.8,293159.621,191.47,196.69,191.47
605499.SH,2024-04-23,195.0,23727.11,464981.882,198.1,201.95,191.88
605499.SH,2024-04-24,197.88,11411.0,223195.949,195.1,197.89,192.18
605499.SH,2024-04-25,201.6,12799.13,256580.631,197.6,202.0,196.42
605499.SH,2024-04-26,199.22,11297.07,224486.856,201.79,201.79,197.07
605499.SH,2024-04-29,205.99,18328.14,374217.648,199.99,207.66,199.1
605499.SH,2024-04-30,212.88,16771.72,353613.334,205.28,212.99,203.45
605499.SH,2024-05-06,220.31,30482.37,676878.028,217.77,227.77,217.13
605499.SH,2024-05-07,224.52,18940.27,431091.875,220.33,231.11,220.31
605499.SH,2024-05-08,224.8,18335.76,413836.003,225.67,228.5,224.55
605499.SH,2024-05-09,229.68,14350.04,329493.289,226.08,232.67,225.03
605499.SH,2024-05-10,228.5,14394.21,331325.396,230.0,233.8,228.12
605499.SH,2024-05-13,224.74,15264.49,342946.983,227.0,228.06,222.03
605499.SH,2024-05-14,225.65,8432.7,191433.073,224.95,229.61,223.2
605499.SH,2024-05-15,224.39,5885.79,132083.105,224.73,226.7,223.2
605499.SH,2024-05-16,224.46,10421.43,235674.302,224.96,229.0,224.0
605499.SH,2024-05-17,225.33,9815.16,220567.329,224.46,227.98,222.45
605499.SH,2024-05-20,220.3,11202.28,248480.951,225.99,226.6,220.0
605499.SH,2024-05-21,224.21,12355.52,277213.643,219.99,227.47,219.0
605499.SH,2024-05-22,226.53,9276.68,209275.489,224.13,227.85,221.01
605499.SH,2024-05-23,225.01,7033.09,158935.665,226.14,228.35,224.3
605499.SH,2024-05-24,222.0,7872.0,176706.856,224.3,226.5,222.0
605499.SH,2024-05-27,222.98,5275.76,117194.646,221.39,223.3,220.3
605499.SH,2024-05-28,220.95,7018.49,155088.603,221.99,223.98,219.79
605499.SH,2024-05-29,219.02,6852.79,150002.987,218.6,221.5,218.1
605499.SH,2024-05-30,217.95,4603.0,100225.198,219.02,219.35,216.25
605499.SH,2024-05-31,213.97,6738.43,145970.651,217.81,219.86,213.97
605499.SH,2024-06-03,229.15,22608.54,511681.238,218.2,229.52,217.0
605499.SH,2024-06-04,228.77,13262.35,303292.023,229.0,232.0,226.64
605499.SH,2024-06-05,227.0,6466.45,147267.818,227.08,230.68,225.5
605499.SH,2024-06-06,228.67,10079.44,231385.516,227.2,231.88,226.0
