Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
002594.SZ,2024-02-27,193.7,206342.65,3958101.887,187.45,193.93,187.2
002594.SZ,2024-02-28,188.0,168291.53,3223632.043,196.0,196.52,188.0
002594.SZ,2024-02-29,191.2,122362.89,2323915.657,187.01,191.61,186.19
002594.SZ,2024-03-01,192.18,122158.28,2336111.334,190.9,192.98,188.77
002594.SZ,2024-03-04,189.27,126865.1,2401200.046,190.0,191.7,188.1
002594.SZ,2024-03-05,190.82,149624.43,2826124.074,187.5,191.65,185.5
002594.SZ,2024-03-06,191.65,100100.4,1914828.109,190.0,192.98,189.0
002594.SZ,2024-03-07,188.89,101326.88,1935953.172,192.06,193.96,188.8
002594.SZ,2024-03-08,188.09,67149.68,1263993.368,188.3,190.15,187.25
002594.SZ,2024-03-11,198.74,278080.46,5440726.383,188.0,199.9,188.0
002594.SZ,2024-03-12,205.1,245028.92,4958824.423,201.0,206.66,197.77
002594.SZ,2024-03-13,206.36,177812.91,3691839.469,206.92,210.4,205.83
002594.SZ,2024-03-14,212.08,211352.19,4497086.17,208.42,215.36,208.42
002594.SZ,2024-03-15,209.47,146628.02,3057950.744,210.0,211.38,206.18
002594.SZ,2024-03-18,218.03,196981.82,4250885.884,211.85,218.25,211.61
002594.SZ,2024-03-19,216.8,146972.68,3194716.173,218.03,219.85,214.39
002594.SZ,2024-03-20,218.48,96805.23,2118610.339,217.01,220.78,217.01
002594.SZ,2024-03-21,218.95,88667.09,1938901.108,218.92,219.8,217.0
002594.SZ,2024-03-22,216.95,104671.61,2266796.544,218.95,218.97,215.2
002594.SZ,2024-03-25,214.2,99109.4,2133902.462,216.37,217.79,212.85
002594.SZ,2024-03-26,219.6,131346.27,2864082.717,216.0,219.99,215.27
002594.SZ,2024-03-27,211.98,188848.98,4058093.22,219.61,219.7,210.01
002594.SZ,2024-03-28,208.38,159435.31,3327175.192,209.85,211.84,206.01
002594.SZ,2024-03-29,203.06,141381.08,2873380.486,208.43,208.52,201.17
002594.SZ,2024-04-01,212.01,142909.27,2995671.851,203.06,212.98,203.06
002594.SZ,2024-04-02,212.34,107584.79,2301699.126,212.01,217.3,211.8
002594.SZ,2024-04-03,208.16,83633.79,1747159.207,210.5,211.11,207.55
002594.SZ,2024-04-08,212.0,128227.18,2722271.578,207.0,215.0,206.39
002594.SZ,2024-04-09,212.08,84208.46,1791256.313,211.75,214.99,211.35
002594.SZ,2024-04-10,211.84,72410.85,1537375.543,214.3,214.5,210.0
002594.SZ,2024-04-11,212.98,100853.95,2130444.828,209.0,215.44,207.8
