Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
002594.SZ,2024-04-12,210.6,114917.89,2453371.047,212.0,217.19,209.54
002594.SZ,2024-04-15,213.62,113331.92,2418635.357,210.0,215.5,209.09
002594.SZ,2024-04-16,211.63,98323.04,2090984.65,212.4,215.35,210.71
002594.SZ,2024-04-17,213.0,96921.62,2046775.945,211.0,213.18,209.6
002594.SZ,2024-04-18,213.6,133997.56,2863779.538,212.0,216.5,209.4
002594.SZ,2024-04-19,210.13,111770.43,2342512.356,212.19,212.87,207.06
002594.SZ,2024-04-22,208.56,64694.78,1353615.963,210.0,211.53,208.1
002594.SZ,2024-04-23,205.04,87299.94,1793533.843,208.55,208.56,203.99
002594.SZ,2024-04-24,207.42,74978.92,1546983.916,206.89,208.8,204.5
002594.SZ,2024-04-25,208.94,94683.84,1980120.669,207.4,211.51,206.62
002594.SZ,2024-04-26,219.37,253453.78,5502292.294,210.0,219.76,210.0
002594.SZ,2024-04-29,221.38,191675.93,4256800.048,221.08,225.4,218.73
002594.SZ,2024-04-30,218.5,115559.66,2542063.035,223.5,224.38,218.5
002594.SZ,2024-05-06,226.3,186778.87,4226418.539,225.0,228.39,223.5
002594.SZ,2024-05-07,229.88,144190.48,3301364.34,226.3,231.99,224.04
002594.SZ,2024-05-08,226.23,91131.78,2070673.827,228.54,228.88,226.0
002594.SZ,2024-05-09,228.15,79007.35,1796491.173,226.3,228.4,226.15
002594.SZ,2024-05-10,227.8,80613.3,1833828.036,227.0,229.52,226.0
002594.SZ,2024-05-13,225.7,82481.16,1857506.899,225.2,227.36,222.58
002594.SZ,2024-05-14,224.91,62618.53,1414943.425,225.71,227.57,224.11
002594.SZ,2024-05-15,219.14,99733.51,2204936.673,224.5,226.0,218.3
002594.SZ,2024-05-16,218.31,87157.22,1901165.662,219.15,219.96,216.61
002594.SZ,2024-05-17,219.59,71486.66,1564639.158,219.39,220.33,217.66
002594.SZ,2024-05-20,222.87,75958.57,1688534.368,218.48,224.0,218.48
002594.SZ,2024-05-21,218.78,84080.43,1838619.341,221.98,221.99,217.42
002594.SZ,2024-05-22,216.92,88398.17,1916325.81,218.19,219.5,215.16
002594.SZ,2024-05-23,214.95,62287.23,1336506.237,215.85,215.85,213.51
002594.SZ,2024-05-24,209.3,102875.52,2166851.356,213.98,214.0,208.8
002594.SZ,2024-05-27,208.35,76045.51,1580461.907,210.0,210.8,206.6
002594.SZ,2024-05-28,207.38,60946.46,1265112.511,208.8,208.91,206.58
002594.SZ,2024-05-29,224.7,302647.77,6633165.251,211.0,226.0,210.99
002594.SZ,2024-05-30,227.86,223791.81,5070762.671,224.42,229.38,223.9
002594.SZ,2024-05-31,229.02,185429.84,4264400.522,228.8,231.6,226.99
002594.SZ,2024-06-03,237.1,270145.89,6370453.739,229.01,240.48,225.99
002594.SZ,2024-06-04,238.15,157429.16,3744672.01,236.9,239.8,235.95
002594.SZ,2024-06-05,240.79,194433.95,4732184.009,238.48,246.3,238.48
002594.SZ,2024-06-06,238.5,175865.42,4227834.836,241.2,243.8,237.5
