Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
600036.SH,2024-02-27,32.18,543491.54,1746108.592,32.24,32.4,31.99
600036.SH,2024-02-28,32.02,683707.52,2186677.932,32.29,32.29,31.6
600036.SH,2024-02-29,32.04,498928.29,1595634.178,31.89,32.2,31.85
600036.SH,2024-03-01,31.94,427173.92,1361853.701,31.92,32.08,31.75
600036.SH,2024-03-04,31.52,591350.15,1868022.544,31.76,31.87,31.47
600036.SH,2024-03-05,32.18,894028.67,2850224.114,31.42,32.21,31.31
600036.SH,2024-03-06,31.87,516101.77,1655425.115,32.14,32.26,31.87
600036.SH,2024-03-07,32.0,519491.97,1659111.449,31.87,32.13,31.78
600036.SH,2024-03-08,31.67,441071.17,1399732.269,31.89,32.01,31.55
600036.SH,2024-03-11,31.48,738537.94,2318402.185,31.55,31.75,31.2
600036.SH,2024-03-12,31.95,769253.75,2447163.517,31.42,32.15,31.28
600036.SH,2024-03-13,31.52,469387.14,1482651.384,31.96,31.99,31.43
600036.SH,2024-03-14,31.25,508174.98,1595073.269,31.46,31.72,31.16
600036.SH,2024-03-15,31.18,520780.63,1621589.213,31.24,31.42,31.0
600036.SH,2024-03-18,31.13,461897.7,1436837.36,31.15,31.34,31.0
600036.SH,2024-03-19,30.8,547025.3,1688506.946,31.1,31.11,30.73
600036.SH,2024-03-20,31.18,498272.25,1544956.631,30.8,31.2,30.66
600036.SH,2024-03-21,31.55,646761.08,2040298.376,31.17,31.76,31.05
600036.SH,2024-03-22,31.2,552878.52,1722145.156,31.53,31.55,30.9
600036.SH,2024-03-25,31.35,483759.02,1514858.505,31.11,31.51,30.92
600036.SH,2024-03-26,32.4,1244307.91,4014510.51,31.8,32.66,31.73
600036.SH,2024-03-27,32.3,782084.88,2539984.05,32.29,32.65,32.21
600036.SH,2024-03-28,32.18,694744.92,2242513.222,32.34,32.5,32.07
600036.SH,2024-03-29,32.2,514001.31,1663236.764,32.1,32.64,32.07
600036.SH,2024-04-01,32.64,570152.32,1861582.316,32.18,32.85,32.18
600036.SH,2024-04-02,32.55,536618.99,1753251.097,32.7,32.92,32.44
600036.SH,2024-04-03,32.23,498081.63,1612691.616,32.54,32.63,32.23
600036.SH,2024-04-08,32.4,477291.23,1544564.957,32.24,32.56,32.03
600036.SH,2024-04-09,32.31,384772.07,1248965.235,32.5,32.63,32.31
600036.SH,2024-04-10,32.49,504013.72,1638691.786,32.19,32.68,32.19
600036.SH,2024-04-11,32.3,443747.73,1432073.801,32.31,32.42,32.13
600036.SH,2024-04-12,32.12,478204.14,1540845.216,32.28,32.47,32.06
600036.SH,2024-04-15,32.83,764644.73,2503221.029,32.1,33.0,32.09
600036.SH,2024-04-16,32.75,741556.1,2429469.045,32.71,32.97,32.45
600036.SH,2024-04-17,33.3,948211.96,3131202.074,32.69,33.49,32.47
600036.SH,2024-04-18,33.65,1006574.01,3393695.785,33.26,34.1,33.19
600036.SH,2024-04-19,33.62,540383.5,1818443.521,33.56,33.84,33.42
600036.SH,2024-04-22,33.34,607535.07,2034006.573,33.78,34.19,33.05
600036.SH,2024-04-23,33.38,512452.44,1717681.682,33.3,33.82,33.23
600036.SH,2024-04-24,33.46,443383.53,1480785.929,33.38,33.55,33.1
600036.SH,2024-04-25,34.4,919481.8,3136628.386,33.44,34.4,33.38
600036.SH,2024-04-26,34.48,954898.83,3292052.902,34.4,34.87,34.22
600036.SH,2024-04-29,34.88,818064.12,2854804.596,34.4,35.16,34.2
600036.SH,2024-04-30,34.31,868041.8,2982962.844,34.4,34.58,34.05
600036.SH,2024-05-06,34.88,1000704.94,3501168.456,35.1,35.36,34.72
600036.SH,2024-05-07,34.87,473848.57,1649813.221,34.88,34.95,34.63
600036.SH,2024-05-08,34.57,412861.58,1434042.865,34.82,34.96,34.55
600036.SH,2024-05-09,34.84,512391.31,1782846.432,34.6,34.93,34.6
600036.SH,2024-05-10,35.62,940365.7,3331360.84,34.84,35.85,34.8
600036.SH,2024-05-13,35.91,747800.26,2674602.938,35.44,36.07,35.33
600036.SH,2024-05-14,35.34,687778.84,2440460.309,35.89,36.13,35.2
600036.SH,2024-05-15,35.05,674944.06,2361226.415,35.33,35.44,34.69
600036.SH,2024-05-16,36.25,1291475.53,4659047.071,35.08,36.45,35.0
600036.SH,2024-05-17,36.85,916879.44,3342837.158,36.3,36.9,36.06
600036.SH,2024-05-20,36.38,914250.0,3337501.051,36.85,37.0,36.09
600036.SH,2024-05-21,36.24,445999.44,1620630.88,36.36,36.52,36.13
600036.SH,2024-05-22,36.06,664477.39,2398900.244,36.22,36.38,35.76
600036.SH,2024-05-23,35.5,924584.95,3284073.837,35.9,36.01,35.32
600036.SH,2024-05-24,34.74,870440.0,3051224.758,35.3,35.48,34.66
600036.SH,2024-05-27,35.14,570938.14,1997775.669,34.85,35.21,34.75
600036.SH,2024-05-28,34.83,476190.58,1660811.058,35.1,35.33,34.72
600036.SH,2024-05-29,34.57,491041.18,1703567.318,34.75,35.06,34.46
600036.SH,2024-05-30,34.34,559244.84,1928489.154,34.45,34.9,34.18
600036.SH,2024-05-31,34.28,508932.48,1752657.846,34.53,34.6,34.28
600036.SH,2024-06-03,34.15,608111.35,2071791.245,34.22,34.38,33.92
600036.SH,2024-06-04,34.54,533788.42,1840296.169,34.15,34.68,34.1
600036.SH,2024-06-05,33.99,691041.22,2359792.656,34.68,34.7,33.89
600036.SH,2024-06-06,34.0,677240.66,2302856.624,34.09,34.2,33.78
