Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
000767.SZ,2024-02-27,2.73,129822.0,35221.659,2.71,2.74,2.68
000767.SZ,2024-02-28,2.66,298456.91,81679.605,2.73,2.8,2.66
000767.SZ,2024-02-29,2.72,150534.0,40508.516,2.66,2.72,2.64
000767.SZ,2024-03-01,2.7,152111.59,41191.959,2.73,2.75,2.68
000767.SZ,2024-03-04,2.69,120304.0,32223.877,2.71,2.71,2.66
000767.SZ,2024-03-05,2.66,137968.22,36966.477,2.68,2.71,2.65
000767.SZ,2024-03-06,2.7,156437.59,42253.006,2.67,2.72,2.66
000767.SZ,2024-03-07,2.73,221783.0,60553.061,2.71,2.77,2.69
000767.SZ,2024-03-08,2.75,158749.4,43278.708,2.72,2.76,2.69
000767.SZ,2024-03-11,2.85,408234.0,116806.604,2.8,2.95,2.79
000767.SZ,2024-03-12,2.79,222569.26,62201.594,2.83,2.85,2.77
000767.SZ,2024-03-13,2.81,200362.22,56336.058,2.78,2.86,2.77
000767.SZ,2024-03-14,2.81,204185.0,57193.59,2.79,2.83,2.77
000767.SZ,2024-03-15,2.86,220591.0,62693.813,2.8,2.86,2.79
000767.SZ,2024-03-18,2.86,232242.0,66240.169,2.87,2.89,2.82
000767.SZ,2024-03-19,2.82,188580.05,53473.72,2.85,2.87,2.81
000767.SZ,2024-03-20,2.82,118007.01,33228.794,2.81,2.83,2.8
000767.SZ,2024-03-21,2.81,107607.0,30255.631,2.82,2.83,2.8
000767.SZ,2024-03-22,2.78,112105.46,31149.991,2.8,2.81,2.76
000767.SZ,2024-03-25,2.75,127217.57,35253.881,2.78,2.8,2.72
000767.SZ,2024-03-26,2.76,153818.41,42037.106,2.75,2.77,2.7
000767.SZ,2024-03-27,2.68,115222.31,31385.578,2.76,2.77,2.67
000767.SZ,2024-03-28,2.71,122295.71,33109.823,2.69,2.74,2.67
000767.SZ,2024-03-29,2.76,116895.0,32003.692,2.7,2.76,2.7
000767.SZ,2024-04-01,2.77,109558.0,30407.182,2.76,2.79,2.75
000767.SZ,2024-04-02,2.81,181072.7,50636.782,2.77,2.81,2.76
000767.SZ,2024-04-03,2.81,144504.89,40437.501,2.81,2.83,2.78
000767.SZ,2024-04-08,2.87,386250.27,110070.945,2.8,2.88,2.78
000767.SZ,2024-04-09,2.85,260533.42,74131.869,2.85,2.89,2.82
000767.SZ,2024-04-10,2.86,308813.15,88611.746,2.84,2.9,2.83
000767.SZ,2024-04-11,2.9,296827.54,85554.043,2.85,2.93,2.81
000767.SZ,2024-04-12,2.84,189443.0,54148.421,2.88,2.9,2.83
000767.SZ,2024-04-15,2.8,248971.14,69528.859,2.82,2.85,2.72
000767.SZ,2024-04-16,2.52,387098.0,98630.987,2.54,2.64,2.52
000767.SZ,2024-04-17,2.52,345271.57,86072.349,2.43,2.53,2.43
000767.SZ,2024-04-18,2.45,267319.53,66450.41,2.51,2.53,2.45
000767.SZ,2024-04-19,2.42,195274.69,47794.447,2.44,2.49,2.42
000767.SZ,2024-04-22,2.38,137795.88,32939.069,2.41,2.44,2.36
000767.SZ,2024-04-23,2.35,121028.95,28761.447,2.38,2.4,2.35
000767.SZ,2024-04-24,2.41,145871.0,34786.409,2.36,2.42,2.35
000767.SZ,2024-04-25,2.41,126029.0,30538.849,2.41,2.45,2.38
000767.SZ,2024-04-26,2.48,202608.0,49495.252,2.41,2.49,2.39
000767.SZ,2024-04-29,2.54,183051.64,46158.183,2.46,2.55,2.46
000767.SZ,2024-04-30,2.5,130122.0,32804.536,2.54,2.57,2.49
000767.SZ,2024-05-06,2.57,197506.3,50616.071,2.54,2.58,2.52
000767.SZ,2024-05-07,2.55,144325.0,37040.456,2.57,2.59,2.55
000767.SZ,2024-05-08,2.53,201407.42,51607.141,2.55,2.61,2.53
000767.SZ,2024-05-09,2.57,159535.0,41049.06,2.53,2.6,2.52
000767.SZ,2024-05-10,2.63,292134.97,76212.071,2.58,2.65,2.57
000767.SZ,2024-05-13,2.67,412179.85,110339.792,2.64,2.72,2.6
000767.SZ,2024-05-14,2.71,348032.79,93819.187,2.66,2.74,2.61
000767.SZ,2024-05-15,2.63,218743.26,58412.605,2.71,2.73,2.62
000767.SZ,2024-05-16,2.61,240094.53,63275.631,2.64,2.7,2.6
000767.SZ,2024-05-17,2.63,197362.0,51634.616,2.6,2.64,2.6
000767.SZ,2024-05-20,2.65,191842.41,50870.183,2.62,2.68,2.62
000767.SZ,2024-05-21,2.62,139153.01,36574.597,2.66,2.66,2.61
000767.SZ,2024-05-22,2.62,105830.08,27812.48,2.61,2.65,2.61
000767.SZ,2024-05-23,2.56,158662.93,40793.32,2.61,2.62,2.55
000767.SZ,2024-05-24,2.62,232846.93,61166.659,2.55,2.65,2.55
000767.SZ,2024-05-27,2.62,220576.63,57881.466,2.64,2.67,2.6
000767.SZ,2024-05-28,2.88,720076.09,200540.04,2.63,2.88,2.61
000767.SZ,2024-05-29,2.88,1125153.16,317771.149,2.88,2.97,2.75
000767.SZ,2024-05-30,2.71,648943.73,177915.86,2.8,2.83,2.68
000767.SZ,2024-05-31,2.67,411532.37,109400.973,2.68,2.71,2.63
000767.SZ,2024-06-03,2.5,438048.44,111276.042,2.64,2.65,2.48
000767.SZ,2024-06-04,2.52,310233.0,76638.634,2.48,2.53,2.41
000767.SZ,2024-06-05,2.44,223398.04,55066.828,2.5,2.51,2.43
000767.SZ,2024-06-06,2.39,214461.0,51748.702,2.42,2.46,2.38
