Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
000788.SZ,2024-02-27,5.4,67436.22,35844.792,5.26,5.4,5.21
000788.SZ,2024-02-28,5.03,165390.0,87892.033,5.41,5.61,5.03
000788.SZ,2024-02-29,5.23,109237.0,55911.565,4.99,5.23,4.96
000788.SZ,2024-03-01,5.24,74830.0,39157.933,5.23,5.28,5.18
000788.SZ,2024-03-04,5.33,89398.01,47343.461,5.27,5.35,5.23
000788.SZ,2024-03-05,5.18,62192.0,32392.075,5.33,5.33,5.16
000788.SZ,2024-03-06,5.16,59739.0,30819.171,5.2,5.23,5.08
000788.SZ,2024-03-07,5.11,55299.01,28541.324,5.14,5.21,5.1
000788.SZ,2024-03-08,5.14,37680.01,19314.595,5.11,5.17,5.08
000788.SZ,2024-03-11,5.22,52313.0,27056.243,5.17,5.22,5.12
000788.SZ,2024-03-12,5.38,82269.0,43932.17,5.24,5.38,5.23
000788.SZ,2024-03-13,5.31,56202.0,29901.82,5.38,5.41,5.27
000788.SZ,2024-03-14,5.34,74419.0,39921.601,5.34,5.46,5.26
000788.SZ,2024-03-15,5.38,53434.32,28640.153,5.33,5.39,5.31
000788.SZ,2024-03-18,5.47,73169.71,39724.212,5.39,5.47,5.36
000788.SZ,2024-03-19,5.53,105098.0,58260.759,5.48,5.65,5.47
000788.SZ,2024-03-20,5.57,78721.24,43606.954,5.52,5.59,5.5
000788.SZ,2024-03-21,5.56,69082.0,38269.669,5.58,5.6,5.48
000788.SZ,2024-03-22,5.45,75343.56,41081.845,5.56,5.56,5.38
000788.SZ,2024-03-25,5.33,64646.0,35034.439,5.39,5.48,5.33
000788.SZ,2024-03-26,5.28,66811.32,35241.601,5.33,5.37,5.19
000788.SZ,2024-03-27,5.2,68498.0,36299.132,5.29,5.36,5.19
000788.SZ,2024-03-28,5.33,62668.0,33068.862,5.2,5.37,5.17
000788.SZ,2024-03-29,5.44,71572.0,38465.531,5.32,5.45,5.28
000788.SZ,2024-04-01,5.48,54137.0,29485.025,5.46,5.49,5.41
000788.SZ,2024-04-02,5.5,55260.0,30292.471,5.47,5.52,5.43
000788.SZ,2024-04-03,5.51,61005.0,33448.725,5.46,5.53,5.4
000788.SZ,2024-04-08,5.4,62758.32,34182.561,5.51,5.51,5.39
000788.SZ,2024-04-09,5.46,61373.0,33083.665,5.4,5.46,5.3
000788.SZ,2024-04-10,5.34,62376.0,33366.159,5.45,5.47,5.29
000788.SZ,2024-04-11,5.28,91214.0,48708.912,5.3,5.43,5.26
000788.SZ,2024-04-12,5.2,69441.24,36406.368,5.3,5.36,5.19
000788.SZ,2024-04-15,4.9,121152.02,60059.551,5.18,5.2,4.83
000788.SZ,2024-04-16,4.51,152491.82,70633.102,4.83,4.88,4.48
000788.SZ,2024-04-17,4.9,103517.01,49507.76,4.54,4.9,4.54
000788.SZ,2024-04-18,4.78,77866.54,37553.82,4.88,4.95,4.78
000788.SZ,2024-04-19,4.74,62431.0,29771.554,4.78,4.85,4.71
000788.SZ,2024-04-22,4.75,58347.51,27605.712,4.69,4.81,4.6
000788.SZ,2024-04-23,4.88,81862.05,39774.602,4.81,4.99,4.75
000788.SZ,2024-04-24,4.88,52006.0,25218.595,4.88,4.9,4.8
000788.SZ,2024-04-25,5.01,63752.0,31809.578,4.88,5.03,4.85
000788.SZ,2024-04-26,5.39,305862.0,165228.189,5.3,5.51,5.28
000788.SZ,2024-04-29,5.37,201317.66,107889.572,5.33,5.6,5.3
000788.SZ,2024-04-30,5.91,290970.23,164559.279,5.35,5.91,5.34
000788.SZ,2024-05-06,6.11,478746.01,293801.314,6.2,6.28,6.02
000788.SZ,2024-05-07,6.0,319296.51,191553.464,6.07,6.15,5.92
000788.SZ,2024-05-08,6.43,555807.71,348610.968,6.0,6.6,5.95
000788.SZ,2024-05-09,6.21,373073.54,230324.816,6.19,6.26,6.05
000788.SZ,2024-05-10,6.0,297379.54,180028.975,6.2,6.2,5.96
000788.SZ,2024-05-13,5.9,183466.55,109111.479,5.93,6.05,5.87
000788.SZ,2024-05-14,5.92,129991.0,77123.954,5.88,5.99,5.85
000788.SZ,2024-05-15,5.76,137061.06,79959.512,5.9,5.92,5.74
000788.SZ,2024-05-16,5.79,95914.01,55622.952,5.79,5.84,5.77
000788.SZ,2024-05-17,5.84,93616.0,54433.915,5.8,5.88,5.75
000788.SZ,2024-05-20,5.88,70904.55,41554.186,5.85,5.89,5.81
000788.SZ,2024-05-21,5.87,67768.36,39508.536,5.86,5.88,5.78
000788.SZ,2024-05-22,5.82,66568.05,38902.368,5.84,5.9,5.8
000788.SZ,2024-05-23,5.67,83436.01,47687.87,5.8,5.82,5.66
000788.SZ,2024-05-24,5.68,60337.55,34387.25,5.68,5.74,5.65
000788.SZ,2024-05-27,5.73,52339.83,29704.571,5.66,5.74,5.62
000788.SZ,2024-05-28,5.65,42840.0,24348.031,5.7,5.74,5.65
000788.SZ,2024-05-29,5.64,55148.01,31186.28,5.62,5.7,5.61
000788.SZ,2024-05-30,5.65,40209.0,22715.384,5.63,5.69,5.59
000788.SZ,2024-05-31,5.64,51169.0,28873.029,5.62,5.7,5.62
000788.SZ,2024-06-03,5.53,81030.01,45161.658,5.63,5.68,5.48
000788.SZ,2024-06-04,5.48,57172.0,31150.678,5.54,5.55,5.4
000788.SZ,2024-06-05,5.33,73686.97,39858.695,5.46,5.5,5.31
000788.SZ,2024-06-06,4.96,151561.0,76692.584,5.32,5.37,4.93
