Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
000777.SZ,2024-02-27,13.8,83498.48,113593.991,13.49,13.83,13.35
000777.SZ,2024-02-28,13.15,98347.6,134048.662,13.77,14.04,13.15
000777.SZ,2024-02-29,13.92,81736.46,111103.64,13.17,13.99,13.15
000777.SZ,2024-03-01,13.92,68837.75,96140.967,14.05,14.15,13.81
000777.SZ,2024-03-04,14.33,92888.24,129798.175,13.97,14.34,13.66
000777.SZ,2024-03-05,13.95,72374.52,101783.893,14.24,14.29,13.9
000777.SZ,2024-03-06,14.44,142813.64,205621.155,13.9,14.8,13.85
000777.SZ,2024-03-07,14.3,95728.65,137795.202,14.4,14.57,14.23
000777.SZ,2024-03-08,14.31,58243.62,82926.651,14.26,14.39,14.12
000777.SZ,2024-03-11,14.42,66164.46,94630.679,14.3,14.43,14.17
000777.SZ,2024-03-12,14.26,68748.09,98515.767,14.44,14.52,14.2
000777.SZ,2024-03-13,14.23,81968.92,117558.114,14.23,14.55,14.15
000777.SZ,2024-03-14,14.32,61794.2,88528.286,14.3,14.44,14.16
000777.SZ,2024-03-15,14.36,56781.0,80977.108,14.3,14.36,14.1
000777.SZ,2024-03-18,14.56,64946.0,93836.554,14.37,14.57,14.33
000777.SZ,2024-03-19,14.41,78343.94,113771.009,14.58,14.63,14.38
000777.SZ,2024-03-20,15.85,187960.14,292891.125,14.49,15.85,14.49
000777.SZ,2024-03-21,16.68,524491.7,887636.228,16.17,17.44,16.11
000777.SZ,2024-03-22,16.46,363843.92,608911.848,16.61,17.28,16.28
000777.SZ,2024-03-25,15.62,275215.61,440293.527,16.31,16.79,15.52
000777.SZ,2024-03-26,15.34,172666.7,264962.789,15.59,15.75,14.98
000777.SZ,2024-03-27,15.28,175307.73,269158.974,15.28,15.58,15.08
000777.SZ,2024-03-28,15.46,152121.85,235351.997,15.1,15.73,15.05
000777.SZ,2024-03-29,16.29,215834.16,345632.976,15.48,16.42,15.44
000777.SZ,2024-04-01,16.43,202675.13,330718.83,16.32,16.73,15.99
000777.SZ,2024-04-02,16.58,174029.14,288496.683,16.41,16.9,16.2
000777.SZ,2024-04-03,16.19,121012.37,196005.888,16.46,16.5,15.97
000777.SZ,2024-04-08,16.27,136844.29,222434.873,15.92,16.68,15.86
000777.SZ,2024-04-09,15.94,93234.41,149026.424,16.3,16.32,15.78
000777.SZ,2024-04-10,15.59,106329.11,166150.442,15.93,16.08,15.31
000777.SZ,2024-04-11,15.68,87600.48,138176.943,15.52,15.99,15.35
000777.SZ,2024-04-12,15.56,98075.32,154224.568,15.68,15.99,15.5
000777.SZ,2024-04-15,16.23,206553.88,328910.382,15.44,16.35,14.95
000777.SZ,2024-04-16,17.85,369137.3,647767.477,16.42,17.85,16.24
000777.SZ,2024-04-17,19.07,667712.66,1257473.058,18.39,19.59,18.18
000777.SZ,2024-04-18,18.45,464576.36,870001.215,18.79,19.23,18.39
000777.SZ,2024-04-19,18.8,524964.69,1001622.776,18.15,19.75,18.1
000777.SZ,2024-04-22,20.68,290079.62,582696.85,19.23,20.68,19.06
000777.SZ,2024-04-23,18.7,762587.67,1522161.051,20.71,21.36,18.61
000777.SZ,2024-04-24,19.45,589735.57,1096454.904,18.2,19.55,17.6
000777.SZ,2024-04-25,17.92,536026.12,981891.007,18.9,19.01,17.72
000777.SZ,2024-04-26,18.37,353648.11,648274.998,17.85,18.64,17.83
000777.SZ,2024-04-29,18.41,280327.32,513233.261,18.15,18.59,18.0
000777.SZ,2024-04-30,18.5,393282.05,737662.952,18.42,19.18,18.24
000777.SZ,2024-05-06,19.11,317808.31,597985.427,18.52,19.15,18.17
000777.SZ,2024-05-07,18.85,236944.04,447592.113,18.94,19.33,18.66
000777.SZ,2024-05-08,18.05,239095.85,435817.077,18.65,18.65,17.94
000777.SZ,2024-05-09,18.35,150037.27,273573.904,18.04,18.45,18.0
000777.SZ,2024-05-10,19.06,347508.91,655545.562,18.64,19.12,18.33
000777.SZ,2024-05-13,18.52,200430.27,371865.015,18.68,18.85,18.28
000777.SZ,2024-05-14,18.67,204108.17,383988.377,18.55,19.07,18.53
000777.SZ,2024-05-15,17.1,374802.44,655076.587,18.43,18.44,17.06
000777.SZ,2024-05-16,17.47,218121.75,379889.137,17.38,17.8,17.16
000777.SZ,2024-05-17,17.47,147905.17,258916.282,17.36,17.88,17.2
000777.SZ,2024-05-20,17.78,150109.0,264851.847,17.36,17.86,17.3
000777.SZ,2024-05-21,17.81,112406.95,199342.9,17.66,18.04,17.5
000777.SZ,2024-05-22,17.31,155901.66,272932.852,17.86,18.03,17.19
000777.SZ,2024-05-23,16.77,141830.06,240324.337,17.3,17.3,16.7
000777.SZ,2024-05-24,16.81,87418.0,147886.963,16.71,17.11,16.71
000777.SZ,2024-05-27,16.96,101364.04,170469.66,16.91,17.24,16.5
000777.SZ,2024-05-28,17.82,316072.42,557190.965,16.95,18.54,16.72
000777.SZ,2024-05-29,17.7,184960.19,324163.42,17.7,18.05,17.22
000777.SZ,2024-05-30,17.57,108210.31,190802.088,17.54,17.87,17.46
000777.SZ,2024-05-31,17.13,133010.7,230728.601,17.75,17.84,17.1
000777.SZ,2024-06-03,17.03,109233.01,186203.468,17.0,17.36,16.82
000777.SZ,2024-06-04,17.12,134489.93,225942.518,17.03,17.14,16.44
000777.SZ,2024-06-05,16.22,189805.63,312869.194,17.3,17.34,16.1
000777.SZ,2024-06-06,15.81,153487.48,243696.735,16.0,16.2,15.67
