Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
600016.SH,2024-02-27,4.04,612789.0,247057.62,4.02,4.06,4.01
600016.SH,2024-02-28,4.05,968689.17,392196.531,4.04,4.08,4.01
600016.SH,2024-02-29,4.04,1032669.6,417304.495,4.04,4.06,4.02
600016.SH,2024-03-01,4.06,957588.75,387803.087,4.04,4.07,4.03
600016.SH,2024-03-04,4.02,829798.34,334233.89,4.05,4.06,4.01
600016.SH,2024-03-05,4.07,1237953.77,502674.527,4.02,4.09,4.01
600016.SH,2024-03-06,4.07,687520.32,280325.765,4.08,4.1,4.06
600016.SH,2024-03-07,4.08,734688.25,299553.493,4.06,4.1,4.05
600016.SH,2024-03-08,4.07,580814.7,236741.379,4.08,4.1,4.06
600016.SH,2024-03-11,4.05,776537.6,314308.586,4.07,4.09,4.03
600016.SH,2024-03-12,4.02,843115.37,339227.136,4.04,4.05,4.01
600016.SH,2024-03-13,3.97,660939.41,263642.831,4.01,4.02,3.97
600016.SH,2024-03-14,3.95,661427.87,262433.148,3.97,3.99,3.95
600016.SH,2024-03-15,3.99,761982.65,302892.416,3.96,3.99,3.95
600016.SH,2024-03-18,3.98,641965.71,256024.74,3.98,4.01,3.97
600016.SH,2024-03-19,3.95,550907.93,218184.634,3.98,3.99,3.95
600016.SH,2024-03-20,3.96,625592.99,246816.775,3.95,3.97,3.92
600016.SH,2024-03-21,3.96,634321.21,251916.739,3.96,4.0,3.95
600016.SH,2024-03-22,3.96,794847.04,313708.164,3.97,3.97,3.92
600016.SH,2024-03-25,3.97,746687.52,296236.253,3.96,3.99,3.93
600016.SH,2024-03-26,4.01,920810.98,367320.088,3.97,4.01,3.96
600016.SH,2024-03-27,4.07,1561572.44,634044.331,4.01,4.1,4.0
600016.SH,2024-03-28,4.06,1302473.42,527398.745,4.07,4.09,4.02
600016.SH,2024-03-29,4.05,1145287.61,466618.022,4.04,4.12,4.03
600016.SH,2024-04-01,4.02,999637.29,402828.361,4.05,4.07,4.01
600016.SH,2024-04-02,4.06,1099158.41,445847.638,4.02,4.08,4.02
600016.SH,2024-04-03,4.03,699962.39,282515.896,4.06,4.07,4.01
600016.SH,2024-04-08,4.01,938461.71,378029.788,4.03,4.05,4.01
600016.SH,2024-04-09,3.98,1071543.48,427319.159,4.02,4.03,3.96
600016.SH,2024-04-10,3.97,755821.72,301503.938,3.97,4.01,3.96
600016.SH,2024-04-11,3.94,819961.28,323630.142,3.96,3.97,3.92
600016.SH,2024-04-12,3.91,851417.28,334866.049,3.95,3.98,3.9
600016.SH,2024-04-15,3.98,1166888.72,460845.199,3.92,3.98,3.88
600016.SH,2024-04-16,3.95,1323731.63,524612.213,3.98,3.99,3.93
600016.SH,2024-04-17,4.03,1515884.47,603338.486,3.95,4.03,3.92
600016.SH,2024-04-18,4.06,1664801.33,677123.335,4.02,4.1,4.01
600016.SH,2024-04-19,4.03,929685.39,375896.394,4.05,4.08,4.02
600016.SH,2024-04-22,3.99,1206207.7,483933.756,4.04,4.07,3.97
600016.SH,2024-04-23,3.96,941368.08,375316.596,3.99,4.02,3.96
600016.SH,2024-04-24,3.97,767976.8,304058.54,3.97,3.98,3.94
600016.SH,2024-04-25,3.98,766038.58,303903.89,3.96,3.99,3.94
600016.SH,2024-04-26,3.95,1362933.18,538525.702,3.98,4.0,3.92
600016.SH,2024-04-29,3.98,1413449.66,561429.878,3.95,4.0,3.92
600016.SH,2024-04-30,3.95,1252639.38,497066.792,3.96,4.0,3.95
600016.SH,2024-05-06,3.92,2228356.94,878412.744,3.97,3.99,3.91
600016.SH,2024-05-07,3.9,1627462.4,634267.032,3.92,3.93,3.88
600016.SH,2024-05-08,3.88,862516.28,336090.354,3.9,3.92,3.88
600016.SH,2024-05-09,3.89,1168158.6,454091.896,3.88,3.9,3.88
600016.SH,2024-05-10,3.91,1287363.11,502121.896,3.9,3.92,3.89
600016.SH,2024-05-13,3.9,1157423.89,451164.518,3.9,3.92,3.88
600016.SH,2024-05-14,3.89,1097499.04,427294.755,3.9,3.92,3.88
600016.SH,2024-05-15,3.88,888602.63,344685.277,3.89,3.9,3.87
600016.SH,2024-05-16,3.9,1747881.19,681996.605,3.88,3.92,3.87
600016.SH,2024-05-17,3.96,1951195.12,768236.164,3.91,3.96,3.9
600016.SH,2024-05-20,3.97,1959063.61,779866.174,3.97,4.01,3.96
600016.SH,2024-05-21,3.99,1485160.35,591695.218,3.98,4.0,3.96
600016.SH,2024-05-22,4.03,2024862.12,814579.458,3.99,4.04,3.99
600016.SH,2024-05-23,3.99,1457333.46,583830.748,4.03,4.04,3.98
600016.SH,2024-05-24,3.98,1103711.54,440997.975,3.99,4.02,3.97
600016.SH,2024-05-27,3.98,1335784.1,530950.748,3.98,4.0,3.96
600016.SH,2024-05-28,3.94,1298766.21,513511.272,3.98,3.99,3.93
600016.SH,2024-05-29,3.91,1288325.19,507225.429,3.94,3.97,3.91
600016.SH,2024-05-30,3.89,1281647.91,500433.467,3.91,3.93,3.88
600016.SH,2024-05-31,3.91,1287699.24,503360.985,3.9,3.92,3.89
600016.SH,2024-06-03,3.86,1928024.44,745420.117,3.9,3.92,3.84
600016.SH,2024-06-04,3.86,948137.22,365899.682,3.85,3.87,3.84
600016.SH,2024-06-05,3.84,863640.15,332264.396,3.87,3.87,3.83
600016.SH,2024-06-06,3.81,1109103.9,423541.754,3.84,3.85,3.8
