Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
300001.SZ,2024-02-27,19.49,132151.45,255387.034,19.1,19.49,18.95
300001.SZ,2024-02-28,18.87,187643.32,364705.909,19.48,19.86,18.87
300001.SZ,2024-02-29,19.86,207760.12,406403.936,18.88,19.86,18.88
300001.SZ,2024-03-01,20.44,341264.01,700429.065,19.97,21.55,19.61
300001.SZ,2024-03-04,20.2,244894.25,493975.466,20.19,20.55,19.96
300001.SZ,2024-03-05,20.25,158154.45,320303.716,20.06,20.45,19.92
300001.SZ,2024-03-06,20.52,185289.73,379789.725,20.13,20.8,20.0
300001.SZ,2024-03-07,19.88,164394.16,331962.662,20.4,20.65,19.88
300001.SZ,2024-03-08,20.13,110876.65,222827.677,19.81,20.22,19.81
300001.SZ,2024-03-11,20.74,193460.28,397820.42,20.15,20.82,20.12
300001.SZ,2024-03-12,20.45,157689.0,322285.93,20.8,20.85,20.26
300001.SZ,2024-03-13,20.55,138166.93,283990.565,20.42,20.78,20.29
300001.SZ,2024-03-14,20.37,113331.58,231192.889,20.46,20.59,20.22
300001.SZ,2024-03-15,20.38,107932.91,218707.617,20.33,20.55,20.1
300001.SZ,2024-03-18,20.77,169952.12,352025.23,20.35,20.88,20.35
300001.SZ,2024-03-19,20.38,119516.15,245223.685,20.7,20.7,20.35
300001.SZ,2024-03-20,20.28,134554.71,272867.679,20.35,20.62,20.08
300001.SZ,2024-03-21,20.0,111604.02,225085.44,20.3,20.38,19.97
300001.SZ,2024-03-22,19.85,99132.5,197028.268,19.97,20.14,19.7
300001.SZ,2024-03-25,19.52,87138.89,172425.171,19.79,19.97,19.49
300001.SZ,2024-03-26,19.65,112383.0,221017.711,19.51,20.0,19.44
300001.SZ,2024-03-27,18.83,123506.5,236662.487,19.64,19.7,18.82
300001.SZ,2024-03-28,18.95,118328.0,226265.668,18.9,19.33,18.84
300001.SZ,2024-03-29,19.31,76319.67,146925.592,19.05,19.43,19.0
300001.SZ,2024-04-01,19.82,110332.75,218321.59,19.36,20.03,19.32
300001.SZ,2024-04-02,19.75,83752.08,165719.39,19.82,19.95,19.62
300001.SZ,2024-04-03,19.5,74843.0,146427.821,19.72,19.83,19.46
300001.SZ,2024-04-08,19.11,87549.51,168937.536,19.4,19.54,19.1
300001.SZ,2024-04-09,19.38,79244.0,153071.917,19.3,19.48,19.06
300001.SZ,2024-04-10,18.95,81330.0,154586.609,19.36,19.43,18.81
300001.SZ,2024-04-11,19.06,81665.53,156256.508,18.7,19.39,18.7
300001.SZ,2024-04-12,18.93,63031.08,120067.493,19.09,19.32,18.87
300001.SZ,2024-04-15,19.24,133711.46,256712.137,19.05,19.46,18.88
300001.SZ,2024-04-16,18.61,133470.01,252972.69,19.08,19.41,18.61
300001.SZ,2024-04-17,19.26,108181.76,206527.29,18.84,19.26,18.84
300001.SZ,2024-04-18,19.73,143222.18,281005.287,19.26,19.86,19.07
300001.SZ,2024-04-19,19.39,127512.82,248564.12,19.73,19.94,19.21
300001.SZ,2024-04-22,19.0,123564.65,233772.331,19.15,19.3,18.4
300001.SZ,2024-04-23,18.96,93725.38,177918.483,19.11,19.38,18.72
300001.SZ,2024-04-24,19.8,191306.88,375323.991,19.13,19.8,19.13
300001.SZ,2024-04-25,19.99,205991.21,406647.711,19.75,20.03,19.4
300001.SZ,2024-04-26,20.12,213592.52,425387.511,19.99,20.18,19.69
300001.SZ,2024-04-29,19.95,301719.79,603596.577,20.09,20.24,19.74
300001.SZ,2024-04-30,19.4,204524.69,398638.056,19.95,19.95,19.28
300001.SZ,2024-05-06,20.63,334983.62,679057.76,19.7,20.66,19.7
300001.SZ,2024-05-07,20.46,169972.58,346469.291,20.51,20.57,20.23
300001.SZ,2024-05-08,20.07,129171.21,261439.638,20.46,20.51,20.02
300001.SZ,2024-05-09,20.59,191274.44,392193.542,20.13,20.66,20.03
300001.SZ,2024-05-10,21.15,295757.97,620512.07,20.68,21.25,20.51
300001.SZ,2024-05-13,21.16,233191.8,490949.676,20.95,21.39,20.7
300001.SZ,2024-05-14,20.91,174393.9,366749.246,21.13,21.37,20.82
300001.SZ,2024-05-15,20.5,157499.38,325347.234,20.82,20.99,20.47
300001.SZ,2024-05-16,20.42,111640.26,229235.787,20.63,20.76,20.31
300001.SZ,2024-05-17,20.65,101559.63,208813.96,20.45,20.79,20.35
300001.SZ,2024-05-20,20.7,125394.31,259251.274,20.6,20.87,20.48
300001.SZ,2024-05-21,20.21,136133.57,276716.272,20.62,20.68,20.16
300001.SZ,2024-05-22,20.34,96903.78,196153.439,20.3,20.4,20.05
300001.SZ,2024-05-23,19.84,109577.32,218323.001,20.2,20.3,19.7
300001.SZ,2024-05-24,20.07,110527.18,222973.35,19.84,20.37,19.84
300001.SZ,2024-05-27,21.97,487326.7,1041468.607,20.2,22.0,20.18
300001.SZ,2024-05-28,21.68,240355.56,524919.81,21.77,22.28,21.64
300001.SZ,2024-05-29,21.61,187906.71,402847.951,21.55,21.69,21.2
300001.SZ,2024-05-30,21.49,146266.24,316124.799,21.97,22.11,21.41
300001.SZ,2024-05-31,21.55,152990.52,329471.795,21.55,21.73,21.29
300001.SZ,2024-06-03,21.58,165872.0,357059.035,21.8,21.88,21.34
300001.SZ,2024-06-04,22.68,299068.25,661068.142,21.52,22.84,21.25
300001.SZ,2024-06-05,21.98,210747.09,468217.225,22.48,22.6,21.92
300001.SZ,2024-06-06,21.88,184871.89,407141.028,21.92,22.29,21.74
