Stkcd,Trddt,Clsprc,Dnshrtrd,Dnvaltrd,Opnprc,Hiprc,Loprc
000737.SZ,2024-02-27,5.35,82938.0,44190.24,5.29,5.39,5.24
000737.SZ,2024-02-28,5.11,126403.0,66641.578,5.35,5.43,5.11
000737.SZ,2024-02-29,5.29,136735.27,71915.711,5.1,5.38,5.1
000737.SZ,2024-03-01,5.3,95902.94,50598.991,5.29,5.35,5.22
000737.SZ,2024-03-04,5.27,97720.09,51799.871,5.34,5.38,5.24
000737.SZ,2024-03-05,5.21,67256.0,35284.664,5.25,5.36,5.19
000737.SZ,2024-03-06,5.28,82649.47,43237.016,5.2,5.3,5.1
000737.SZ,2024-03-07,5.53,223562.2,123753.608,5.33,5.68,5.29
000737.SZ,2024-03-08,5.76,224463.0,126332.154,5.52,5.79,5.49
000737.SZ,2024-03-11,5.67,207405.11,117353.714,5.8,5.85,5.57
000737.SZ,2024-03-12,5.57,146642.12,81735.769,5.67,5.68,5.51
000737.SZ,2024-03-13,5.63,105547.0,58945.63,5.55,5.64,5.52
000737.SZ,2024-03-14,6.19,172000.22,106468.136,6.19,6.19,6.19
000737.SZ,2024-03-15,6.81,1006939.65,645893.822,6.49,6.81,6.04
000737.SZ,2024-03-18,7.12,1461238.11,1062080.171,7.23,7.49,7.03
000737.SZ,2024-03-19,6.97,1169303.2,834618.582,6.99,7.38,6.87
000737.SZ,2024-03-20,7.67,1525385.78,1123242.693,6.83,7.67,6.83
000737.SZ,2024-03-21,8.1,1624141.53,1270937.566,7.81,8.43,7.46
000737.SZ,2024-03-22,7.57,1127541.89,863145.691,7.7,7.85,7.46
000737.SZ,2024-03-25,7.86,1164622.35,905778.819,7.28,8.17,7.24
000737.SZ,2024-03-26,7.53,827330.51,623961.621,7.69,7.84,7.33
000737.SZ,2024-03-27,7.18,665301.37,491987.219,7.43,7.63,7.17
000737.SZ,2024-03-28,7.59,785554.09,580492.572,7.18,7.6,7.15
000737.SZ,2024-03-29,8.35,984618.01,794226.071,7.73,8.35,7.66
000737.SZ,2024-04-01,8.92,1815330.18,1638978.517,8.73,9.19,8.65
000737.SZ,2024-04-02,9.81,1181910.31,1129905.175,9.13,9.81,8.9
000737.SZ,2024-04-03,10.79,1970503.44,2062002.632,10.16,10.79,9.76
000737.SZ,2024-04-08,11.61,2330284.3,2713288.941,11.43,11.87,11.21
000737.SZ,2024-04-09,11.39,1851429.98,2094792.688,11.31,11.71,11.04
000737.SZ,2024-04-10,11.4,1923123.1,2200251.167,11.47,11.8,11.05
000737.SZ,2024-04-11,11.15,1717444.54,1902095.049,11.0,11.44,10.79
000737.SZ,2024-04-12,10.37,1865473.16,1951410.345,10.78,10.95,10.12
000737.SZ,2024-04-15,9.33,1514624.75,1437912.776,9.99,10.1,9.33
000737.SZ,2024-04-16,9.02,1513377.98,1408526.246,9.14,9.62,8.93
000737.SZ,2024-04-17,9.36,1303161.78,1207678.963,8.91,9.42,8.86
000737.SZ,2024-04-18,10.3,1790762.32,1774296.767,9.38,10.3,9.28
000737.SZ,2024-04-19,10.9,2092104.76,2269520.122,10.7,11.1,10.52
000737.SZ,2024-04-22,10.63,2315736.87,2670978.242,11.29,11.99,10.58
000737.SZ,2024-04-23,9.57,198830.0,190280.31,9.57,9.57,9.57
000737.SZ,2024-04-24,10.13,1989225.14,1913128.043,9.09,10.23,9.09
000737.SZ,2024-04-25,10.58,1606275.88,1620528.554,10.0,10.59,9.6
000737.SZ,2024-04-26,10.96,1750352.49,1901745.201,10.45,11.43,10.31
000737.SZ,2024-04-29,10.55,1428476.75,1513555.168,10.63,10.98,10.34
000737.SZ,2024-04-30,10.15,1548956.75,1616641.506,10.92,11.09,9.7
000737.SZ,2024-05-06,10.4,1130773.03,1140223.67,9.86,10.4,9.69
000737.SZ,2024-05-07,10.27,1346087.51,1408147.686,10.4,10.92,10.2
000737.SZ,2024-05-08,9.96,947873.11,951652.896,9.99,10.33,9.82
000737.SZ,2024-05-09,10.22,1088418.31,1107677.697,9.85,10.5,9.81
000737.SZ,2024-05-10,10.52,1374802.57,1420378.428,10.43,10.64,9.95
000737.SZ,2024-05-13,10.25,938833.25,951165.005,10.11,10.36,9.92
000737.SZ,2024-05-14,11.28,1754464.83,1882809.81,10.4,11.28,10.34
000737.SZ,2024-05-15,11.6,2139019.42,2444814.088,11.12,11.99,10.8
000737.SZ,2024-05-16,11.12,1512935.94,1726255.876,11.7,11.82,11.0
000737.SZ,2024-05-17,11.8,1646048.94,1864632.8,10.99,11.9,10.8
000737.SZ,2024-05-20,12.98,1573138.39,2002300.54,12.58,12.98,12.4
000737.SZ,2024-05-21,12.77,2289230.26,2970558.245,13.53,13.59,12.34
000737.SZ,2024-05-22,12.39,1294327.23,1615407.151,12.48,12.85,12.2
000737.SZ,2024-05-23,11.42,1318384.86,1522955.242,11.54,11.89,11.23
000737.SZ,2024-05-24,11.88,1377263.95,1611069.245,11.43,12.19,11.22
000737.SZ,2024-05-27,11.95,1018505.18,1214646.345,11.58,12.21,11.53
000737.SZ,2024-05-28,12.01,1257130.98,1544193.748,12.26,12.55,12.0
000737.SZ,2024-05-29,12.18,1138092.57,1367353.147,11.83,12.39,11.56
000737.SZ,2024-05-30,11.11,1211790.22,1386960.626,11.83,11.89,11.0
000737.SZ,2024-05-31,11.01,948967.29,1037898.594,10.96,11.22,10.72
000737.SZ,2024-06-03,10.62,766134.4,818906.098,10.83,10.95,10.52
000737.SZ,2024-06-04,10.79,710507.2,761033.371,10.73,10.89,10.5
000737.SZ,2024-06-05,10.22,738329.06,761525.369,10.35,10.44,10.2
000737.SZ,2024-06-06,10.31,745613.85,776160.927,10.45,10.56,10.26
