标题
中国核电，中国广核，中广核技都在不断新高啊
核电板块长成啥了，屮
近期可能有涨停走势出现！大家可以拭目以待！
中核科技：融资净偿还2711.33万元，创近一年新高（06-03）
60日均线生命线支撑，看紧补仓，小心求证
这个怪股票。
这也是股票呀。
提前挂单，买定离手
会红的垃圾呀。
短线买点
世界在建海拔最高风电项目进度条更新——40台风机基础浇筑完成
越吹越跌，越出利好越跌，炒股必须反着来。[大笑][大笑][大笑]
一卖就涨，一买就套。信不信。
这个票没多少人了
开始砸盘了。跑啊
这个月要发力了！
今年第一次冲击2016~2017年压力区失败，暂时按兵不动，做好大不了坐一次过山
中国核电那么大的盘子都涨了四个多点，你还跌啊。
这股利好越多跌的越历害哈哈真奇葩！
买这种等套吧。不i是小资金玩的，半导体，低空电池多好。
你笑大哥位置高，大哥笑你起不来
今天随便出个3千万，哈哈，欢迎进来接盘
真的没用，中国核电都涨了五个多点了。
$中核科技(SZ000777)$
中核科技：融资净偿还254.35万元，融资余额4.43亿元（05-31）
跑。你一买就砸跌。走z啊。管他涨跌，也没你什么事的。跑
割肉的股已涨停，然鹅买进的股还在亏损，这心情真的是没谁了
连续拉涨停你们就会后悔的
这么多人看空应该安全了[笑哭]
靠，刚割….[滴汗]
一群老6哈哈
中核科技本周融资净买入7317.5万元，居通用设备板块第一
中核科技本周深股通持股市值减少2149.02万元，居通用设备板块第五
中核科技“国和一号”示范项目燃料运输通道闸阀完成出厂试验
中共国家能源局党组6月1日在《求是》杂志发布文章《加快建设新型能源体系提高能源资
控制情绪；做自己的主人
尊重盘面，我认了，但我会盯死你的，赚钱不走是我的错，但你有种就放量下跌
目标价30
下个月不准备看盘了，真跌到止损线我就清仓先不玩，等大盘跌到2800再说。
三个月翻倍第四个月开始回调属于正常回调现在买入都是接盘看好走二波不过需回调16元
好多托子呀，哈哈，短时间出不去啦
今天跌我可以理解，涨我也可以理解，但高开往下跌我是没有想到。反正今天的下跌，我按
三个涨停板！拿好了别掉下来了！[大笑][大笑][大笑]
日周月都均线多头排列，日线放量突破后的缩量回踩，主升浪还没来，拿住，那几个无脑唱
感觉有点不太妙呀，起床一看我丢全是利好
非常明显的量化高频收割
万万没想到，这个位置发利好竟然下杀
昨晚17.65元竞价买了几手，不知能否成交，后悔该多输几分才好。此股近期应该会有
还是那句话，跌停就梭哈，否则这个走势还是阴跌出货！
哈哈，韭菜脑袋瓜嗡嗡响了
把想象力打开至少80个点
走了走了走了
中核科技：连续5日融资净买入累计8094.08万元（05-30）
买入买入
