标题
PE34，近900多亿，减持专用提款机这么搞最后是一地鸡毛。
900亿市值，利益透支的泡。
长阴将至！血本无归！
$东鹏饮料(SH605499)$
快讯丨传三得利将收购波士顿啤酒；东鹏饮料回应减持担忧；物美创始人回应“实体店是否消失”；苏崇铭退任统一非执行董事……
远离减持的股票，高管、大股东、二股东们比我们更加了解自己的企业，他们都不看好未来
大股东高位卖公司
远离庄股，10年股民的忠告
东鹏饮料：融资净买入43.35万元，融资余额7927.5万元（05-31）
东鹏饮料回应减持担忧 新品“东鹏补水啦”异军突起|直击业绩会
月k杀，小心收盘集合竞价跌停板
市值八百多亿，严重虚胖，打完一折再打个对折都还是有点虚
这种减持服务的票一有风吹草动，瞬间翻脸不认人，能跌光你全布！诀不危言耸听，也不吓
每天跌那么点太慢了
总股本61％解禁，减持[怒]
人在做天在看！股市反其道而行，普通人难赚到钱。血汗钱请远离，下月很xx！！一句人
天天刮风下雨，饮料没人买了。小心在历史大顶上坐大劳
等着看
量价扭曲！大跌降临。
东鹏饮料散户无论赢亏都该走了，珍爱血汗钱
这么丑恶的成交！是风险巨大化！托不住就塌
这个财报太难看了，不好
东鹏饮料：连续3日融资净偿还累计513.21万元（05-30）
百润股份(002568)估值分析：4家机构认为“低估”——24Q1收入高基数下降速，静待新品驱动
东鹏饮料遭二股东减持超1000万股 后者套现近19亿元
东鹏饮料第大二股东君正投资减持套现约19亿元
解禁公告后的股东减持，东鹏饮料第二大流通股东天津君正频繁减持
特饮已经打出规模优势，在国内的功能饮料市场已经基本无敌了，而且公司的新品增速也快
涨到天了，现在不走等什么
【东鹏饮料股东天津君正套现超19亿元 】
慢慢跌到21块
这么明显的出货盘口[捂脸][捂脸][捂脸]
这是一个庄股
东鹏饮料：融资净偿还80.63万元，融资余额8024.62万元（05-29）
只要公司产品继续维持这种高增长态势，我的持股不会减持一股
最贵St
东鹏饮料:东鹏饮料(集团)股份有限公司股东减持股份结果公告
东鹏饮料第二大股东完成减持超1000万股 占总股本2.7085%
东鹏饮料(605499.SH)：君正投资完成减持2.71%股份
这么个名不经传的饮料竟然维持二百多元股价真是中国股票市场的奇迹！
大家都要注意，提高警惕，可能会有一些媒体或者是水军频发利好来配合股东们的减持计划
明天是5.30了！记住历史。长阴将至，久盘不是办法。该减持必减持！该回归必回归！
价值洼地，赶紧买
东鹏减持上头条了
周k三连阴刀，月线告别线。缺口必补184见
阴跌模式
东鹏饮料：融资净偿还292.12万元，融资余额8105.25万元（05-28）
前脚解禁 后脚东鹏饮料频遭股东减持
 百亿东鹏饮料的背后：林木勤的专注与坚守 
 从技术员到“功能饮料第一股”掌舵人，林木勤的“创业”之路 
 2024中国品牌价值评价信息发布，东鹏饮料入选轻工榜 
从面临倒闭到创收百亿，林木勤如何靠东鹏特饮逆风翻盘
品牌价值再获认可，东鹏饮料上榜2024中国品牌价值金榜
2024中国品牌价值评价信息发布，东鹏饮料入选轻工榜
创新赋能品牌活力，东鹏饮料品牌价值持续提升
【君正投资减持东鹏饮料29.53万股】
里面还有差不多一万股东，真不知道他们脑子里装的是什么。等那些股东减持完毕，可能他
之前是员工和资本减持，这都是正常现象，但这次解禁的是实控人和两兄弟，这涉及到自己
东鹏只能给30块，真不能更多了[大笑][大笑]
总市值相当于一半的伊利，比蒙牛还高不少，这真的有点离谱。
大家不要去接盘，一一旦被套这辈子都很难解套
建议公八司来个10送20连续两年把股价压在20/30元，这样起码可以割多好几倍的
154一233这段80元涨幅，注意变盘风险。五粮液，泸州老窖，舍得酒，上涨滞重，
人云亦云，在利益面前没有底线！资本都是逐利的。分红结束，由于个人资金需要的减持披
上市公司的业绩不是公司经营的成果而是大股东及管理层的需要，想多少就多少
要减持了，来几个跌停看看。
抖音一个说车这个还是翻两倍他的粉丝疯狂的买入是不是叫来接盘啊
现在是不好意思跌，平稳了好跌
东鹏饮料：融资净买入45.58万元，融资余额8397.36万元（05-27）
“功能饮料第一股”东鹏饮料超500亿市值限售股解禁 去年14位重要股东都在减持
786.44亿元市值限售股今日解禁 东鹏饮料解禁市值534.44亿元居首
东鹏饮料:东鹏饮料(集团)股份有限公司拟关于持股5%以上股东减持至5%的权益变动提示性公告
下周一34股解禁 东鹏饮料、浙江新能解禁市值居前
东鹏饮料2.41亿股534亿市值限售股解禁 解禁比例超60%
东鹏饮料(605499.SH)股东君正投资大宗交易减持29.53万股 持股降至5%
东鹏饮料:东鹏饮料简式权益变动报告书【君正投资】
东鹏饮料解禁2.41亿股 市值534.44亿元
“功能饮料第一股”东鹏饮料超500亿市值限售股解禁，去年14位重要股东都在减持
稍微有点脑子的都应该要远离了。抛开它的巨量解禁不说，它现在的股价已经没有了投资价
公司股东减持到公募基金接手期间不会有太大的波动。真正漫长阴跌的开始是从散户接盘正
没想到东鹏饮料居然能到万亿市值，想不到
解禁也涨，不服也得扶[赞][赞][赞][赞][赞]
快跑吧这段时间的拉伸就是为了大股东限售解禁减持做准备的
这是关系董事长对公司掌控权的问题，不可能减持的，小空子们看着吧
终将会一地鸡毛
历史高位不减持是
大解禁不跌，牛逼公司
三十倍市盈率，大股东蠢蠢欲动，这捡的钱，落袋为安。
祝你平安！
不是公墓接盘，正常人会这样高的价格去买股票哇，要么就是超幕的资金
张开血盆大口
假北向捣鼓，每天揉搓机械线，没人上钩，很难受吧
市值80亿都嫌贵
我不认为董事长会为了这点蝇头小利就减持退出 林总是个有魄力的人
大股东根本不缺钱，公司发展势头这么猛，营收现在已经破百亿了，而且妥妥的现金奶牛，
这数，888，222，减持新规落地之日，功能饮料调整之时。长阴将至，注意安全。透
泡沫很大
这饼，可真大丫
这种不是公墓接盘，难道这样都还看不出来不算的话，那就真没有了，高价发行，高价分，
大股东明天卖股票发财了
明天就让你们知道厉害[愉快]
拉这么高，就是为了给大股东解禁套现的
只要小散不买，让券商和基金干瞪眼。
都迫不及待了
要我解禁这么多，不先砸为敬都对不起各位这么捧。
下周解禁市值近千亿 饮料巨头解禁超500亿元
从轮胎到医院、饮料，玲珑集团隆起大健康板块
“鹏”勃桃源，“骑”妙六一——南山区桃源街道开展爱心公益活动
"对潮汕籍的上市公司大家要当心哟，康美，柏堡龙，鸿达兴业，星辉娱乐,安奈儿…"
减持后业绩立刻变脸。股价高的离普，股百分之八十在大股东手里，每股一元。
减持后业绩立刻变脸。股价高的离普，股百分之八十在大股东手里，每股一元。
可口可乐都百年老牌了股价才62美金，东鹏饮料股价32人民币才合理
拉这么高迎接减持，服了[想一下]
将来此企业卖给国外，警惕饮料行业大洗牌，关呼百姓健康。
为什么这么多人唱空
解禁就是结束！发套了
东鹏饮料：融资净偿还107.23万元，融资余额8351.78万元（05-24）
股东发财了，早卖早点享受，不在乎价格了，利润可以了，30+的市盈率已经提前透支了
222真的是在诅咒222
等我出来就退市
减持后业绩立刻变脸。股价高的离普，股份百分之八十在大股东手里，每股一元。
才买
沪深两市5月24日49只个股发生65笔大宗交易 共成交6.73亿元
大家对大解禁不必过度恐慌，分红不达标，董监高不能随便减持股份，大家学习一下减持新
大宗交易：东鹏饮料成交6313.29万元，折价3.70%（05-24）
长阴将至！久盘必跌！2.407亿大限，别侥幸，敬畏之心！
看到超市有一款能量饮料叫猎兽的产品，500毫升售价3.5元比东鹏特饮还便宜，会不
十三这老兄还坚守在……
东鹏饮料：融资净买入82.13万元，融资余额8459.01万元（05-23）
从产品到渠道全面发力，东鹏饮料品牌价值一路狂飙
请问公司，东鹏特饮功效成分及含量里，为啥不标注含钠多少，标示含钠量多少，可以提升
上市挺猛，结果拉太高扯到蛋了，出不了货[笑哭][笑哭][笑哭][笑哭][笑哭][
解禁股是大股东林家的，光分红就够几辈子花的，减持是不可能减持的。[胜利]
从亏损到“双百亿”，让东鹏饮料走上逆袭巅峰的商业传奇——林木勤
五月二十七日之前，我先撤了，祝你们好运。[微笑]
