阅读,评论,标题,最后更新
109,1,中国核电，中国广核，中广核技都在不断新高啊,1900-06-05
315,9,核电板块长成啥了，屮,1900-06-04
213,9,近期可能有涨停走势出现！大家可以拭目以待！,1900-06-04
79,0,中核科技：融资净偿还2711.33万元，创近一年新高（06-03）,1900-06-04
70,0,60日均线生命线支撑，看紧补仓，小心求证,1900-06-04
58,0,这个怪股票。,1900-06-04
57,1,这也是股票呀。,1900-06-04
47,0,提前挂单，买定离手,1900-06-04
40,0,会红的垃圾呀。,1900-06-04
5172,7,短线买点,1900-06-03
665,0,世界在建海拔最高风电项目进度条更新——40台风机基础浇筑完成,1900-06-03
182,1,越吹越跌，越出利好越跌，炒股必须反着来。[大笑][大笑][大笑],1900-06-03
166,1,一卖就涨，一买就套。信不信。,1900-06-03
134,2,这个票没多少人了,1900-06-03
127,1,开始砸盘了。跑啊,1900-06-03
123,1,这个月要发力了！,1900-06-03
120,0,今年第一次冲击2016~2017年压力区失败，暂时按兵不动，做好大不了坐一次过山,1900-06-03
115,0,中国核电那么大的盘子都涨了四个多点，你还跌啊。,1900-06-03
107,3,这股利好越多跌的越历害哈哈真奇葩！,1900-06-03
103,0,买这种等套吧。不i是小资金玩的，半导体，低空电池多好。,1900-06-03
96,0,你笑大哥位置高，大哥笑你起不来,1900-06-03
95,0,今天随便出个3千万，哈哈，欢迎进来接盘,1900-06-03
84,1,真的没用，中国核电都涨了五个多点了。,1900-06-03
73,0,$中核科技(SZ000777)$,1900-06-03
67,0,中核科技：融资净偿还254.35万元，融资余额4.43亿元（05-31）,1900-06-03
48,0,跑。你一买就砸跌。走z啊。管他涨跌，也没你什么事的。跑,1900-06-03
48,0,割肉的股已涨停，然鹅买进的股还在亏损，这心情真的是没谁了,1900-06-03
297,1,连续拉涨停你们就会后悔的,1900-06-02
203,2,这么多人看空应该安全了[笑哭],1900-06-02
191,1,靠，刚割….[滴汗],1900-06-02
181,1,一群老6哈哈,1900-06-02
149,0,中核科技本周融资净买入7317.5万元，居通用设备板块第一,1900-06-02
110,0,中核科技本周深股通持股市值减少2149.02万元，居通用设备板块第五,1900-06-02
2176,17,中核科技“国和一号”示范项目燃料运输通道闸阀完成出厂试验,1900-06-01
805,5,中共国家能源局党组6月1日在《求是》杂志发布文章《加快建设新型能源体系提高能源资,1900-06-01
257,0,控制情绪；做自己的主人,1900-06-01
219,0,尊重盘面，我认了，但我会盯死你的，赚钱不走是我的错，但你有种就放量下跌,1900-06-01
133,2,目标价30,1900-06-01
444,11,下个月不准备看盘了，真跌到止损线我就清仓先不玩，等大盘跌到2800再说。,1900-05-31
436,11,三个月翻倍第四个月开始回调属于正常回调现在买入都是接盘看好走二波不过需回调16元,1900-05-31
