阅读,评论,标题,最后更新
368,1,深股通又买入达到高峰了，星期一涨,1900-06-02
321,3,北铜一周内会不会走强有没有大师给点评一下,1900-06-02
276,0,北方铜业：本周深股通持股量环比增加128%，周内增仓幅度居有色金属板块第二,1900-06-02
230,3,这些消息没用的 期货还是跌的涨不了的,1900-06-02
181,0,看来这货下周可以仔细观察了，看是从10.50、10.20开始就可以进点货了，当然,1900-06-02
148,0,铜今年都可以做行情不好每天只能一个板块涨过几天就轮到有色板块了低吸就对那个股票都,1900-06-02
138,2,人气全无，周一开始阴跌,1900-06-02
106,1,铜不行了，消耗不完都量产了，还不如去炒锑,1900-06-02
54,0,即日起，看空北方铜业到8.3附近,1900-06-02
2612,4,短空长多：“铜博士”超级周期已经形成,1900-06-01
1520,12,铜价再次迎重磅催化!,1900-06-01
896,4,不论美铜还是伦铜期货昨天尾盘反弹整天跌幅不大从周线看已经回调到位看好下礼拜低位开,1900-06-01
710,11,周一一字板跌停，周二低开5个点收-2，周三一字板跌停，周四地天板，周五红1个点。,1900-06-01
652,14,周一低开3个点，然后杀猪盘，跌停,1900-06-01
453,4,期货铜全部暴跌，下周至少三个板[下跌][下跌][下跌][下跌][下跌][下跌],1900-06-01
423,0,没有天天涨的公司，贵州茅台，曾经也腰斩过，比亚迪，宁德时代，等等。没有不回调的，,1900-06-01
406,1,周一给个正2个点的机会谢谢,1900-06-01
386,0,下周一收盘收中阳浅，这是最后入场时间，沪铜在8,1900-06-01
328,0,准备好了200个w，9元左右屮,1900-06-01
318,0,铜价这商品，现在国际炒家定了算，他们说高估就高估，低估就低估，现在向上无空间了，,1900-06-01
313,0,沪铜期货进入下跌趋势，赶紧加杠杆做空铜期货，铜期货还要大跌。,1900-06-01
275,0,又到了搓手的时候了！,1900-06-01
253,2,到10来，我买,1900-06-01
245,0,看来周一还会大跌,1900-06-01
159,0,股性活跃，下周涨停，,1900-06-01
156,0,朋友圈有老板加杠杆做空铜期货赚了600多万，铜期货越跌赚得越多。,1900-06-01
110,1,升级了，铜还是要涨呀，兄弟，,1900-06-01
87,1,历史底！,1900-06-01
77,0,就7％的人收盘获利，我就不信93的人不要钱了使劲砸,1900-06-01
56,0,看空多！好,1900-06-01
928,6,最好是有上升趋势了再买，本金亏得越多越难回本，跌10个点需要涨是12个点才能回本,1900-05-31
843,12,不相信铜期货现在就是顶部，铜价后面肯定还会涨上去的，至少也能反弹回前阵子的高点，,1900-05-31
417,6,五月盈利.21.80元，完美收官[捂脸],1900-05-31
364,4,亏损了7%，,1900-05-31
342,3,期货大跌，周一要不要吃板子啊,1900-05-31
302,6,[看多][上涨][上涨][上涨][上涨][上涨][上涨]大胆冲,1900-05-31
274,3,看来周一低开下杀一字了,1900-05-31
243,3,尾盘资金有进入,1900-05-31
240,1,耐心等待沪铜破8w，北铜破10，我再回来。,1900-05-31
175,1,群里消息，9.6见,1900-05-31
174,2,期铜还在跌[囧]这可咋整,1900-05-31
172,5,又要跌停了,1900-05-31
151,0,今天本想进来的，但期货莫测，干脆算了，亏怕了！,1900-05-31
92,1,退出来，歇歇脚，不能死扛，大势所趋向下,1900-05-31
79,0,散户其实更应该团结，该卖就卖，跟随趋势，让主力无从借力，就像打太极，主力卖，我们,1900-05-31
988,10,控制产能，对期货是利好，对公司是利空，很多人就是看不明白。期货涨股票涨，是建立在,1900-05-30
265,4,明天还要跌期货跌的可怜,1900-05-30
4622,43,最近一些看法,1900-05-28
930,4,12元净资产回到6元不过分吧[上涨][上涨][大笑][大笑][大笑][主力][主,1900-05-22
417,0,港股从2.4到3.2涨8毛三分之一了。A只涨了4毛，十个点，严重落后啊,1900-05-22
382,1,民生银行助力2024年国际中体联足球世界杯 盛大开幕,1900-05-22
367,0,破净股数据[24/05/22],1900-05-22
344,0,银行股回升到10倍市盈率，才进入牛市行情。10倍市盈率股票\年回报永比存款利率和,1900-05-22
309,2,民生净资产都有12元，要翻倍,1900-05-22
278,0,今天4.04没卖出去，明天感觉会调整了,1900-05-22
161,0,14.5奶奶的,1900-05-22
81,0,今天吃错药了，这么硬,1900-05-22
572,4,~~~ 夜间看盘，北方铜业,1900-05-21
73,2,$北方铜业(SZ000737)$,1900-05-21
6206,170,谁来跟我辨析，北方铜业不是真面目的龙头！,1900-05-20
417,13,听君实言者来；,1900-05-20
540,6,既来之，则安之，民生银行我来了。欢迎我们的从军带头大哥,1900-05-17
5870,174,603275众辰科技，构筑 工业智能化的基石！,1900-03-03
