阅读,评论,标题,最后更新
815,0,对于高盛、摩根大通等外资看好A股的理由，主要有多方面：一、A股股息率依然不高，上,1900-05-26
538,1,中远海控从2021一季度至2024年一季度资产质量的飞跃增长,1900-05-26
349,0,ZIM海运股大涨,1900-05-26
49,0,转发,1900-05-26
1126,6,很少发言了，不爱发言了，能持仓的都不是一般人，什么蜗牛什么星辰大海，什么唱多什么,1900-05-25
576,2,中远海控，周一基本上会跳空高开，有持仓的今天可以去吃个大鸡腿。,1900-05-25
502,2,这股看好的散户太多了，可以需要来一根进行充分洗洗了,1900-05-25
449,0,高位盘整K线呈一字形,1900-05-25
424,0,海皇又到了最熟悉的周五收盘利好，周六涨停，周日回调，周一平开低走的节奏。,1900-05-25
418,0,外围航运股大涨，下周海控16见,1900-05-25
409,0,周一涨不涨不知道，但一个月必定过16，这轿子坐定了，不抬也得抬，就是这么拽[大笑,1900-05-25
395,0,ZIM继续大涨8.37%,1900-05-25
381,2,昨晚ZIM大涨8%，已经突破形态了,1900-05-25
379,0,涨不涨不知道，反正比外面500个st股强多了,1900-05-25
359,0,海控80%、石化10%、长电10%，5月份总体盈利16.3%，跑赢大盘。,1900-05-25
346,0,5月旺季来了了预计第二季度业绩1.5元,1900-05-25
345,7,高点跑了大部分[坏笑]周一杀一杀让我接回来,1900-05-25
342,4,星期一红我就买绿我就卖,1900-05-25
333,5,高位震荡都是熊的语言，留1000股先撤了，估计没半个月调整不会到位，挣了4块多了,1900-05-25
328,0,洗到14以下会被抢,1900-05-25
314,10,等你回调到11,1900-05-25
312,0,大师，我觉得周一还会盘一个十字星。这样上涨就很完美了。双叉十字斩,1900-05-25
299,0,下周一大涨！！！,1900-05-25
294,0,海控，现价买入是绝对正确的，无他,1900-05-25
277,1,永辉超市供应链再升级，提升商品价格竞争力,1900-05-25
228,1,海控股友们，当死多头五年！！结果一定出乎意料，过百时候不要说你早卖了！,1900-05-25
136,0,中远海控：融资净偿还103.14万元，融资余额43.83亿元（05-24）,1900-05-25
133,1,$中远海控(SH601919)$,1900-05-25
120,0,如果不是大盘这么烂，中远涨停没毛病[赞][赞][赞],1900-05-25
115,1,散户在念经,1900-05-25
105,0,$中远海控(SH601919)$,1900-05-25
99,1,唱多没用股票没涨只能说躲过了外面的大跌,1900-05-25
4271,22,中远海控:中远海控关于股票期权激励计划限制行权期间的提示性公告,1900-05-24
4082,52,认准价值回归大势，咬定青山不放松，管尔东南西北风,1900-05-24
2117,57,找点小乐趣，既不唱多，也不唱空,1900-05-24
1722,8,大摩：上调中远海控AH股至平配,1900-05-24
1670,12,2024年一季报点评：集运市场回归常态，综合服务商展现经营韧性,1900-05-24
1469,14,中远海控助力中国车企抢滩墨西哥和巴西市场,1900-05-24
933,15,股价每一次走高多是依靠运价的提升，如果运价一直维持稳定或小幅下跌，股价会不会回到,1900-05-24
930,20,海控应该很快要冲击一下15了,1900-05-24
795,6,外围很久没这么酣畅淋漓的涨过了[奸笑][奸笑]，海控下周冲击一下15不过分吧[旺,1900-05-24
698,1,格隆汇5月24日｜摩根士丹利：将中远海控(01919.HK)H股评级上调至平配，,1900-05-24
621,7,美股航运龙头大涨,1900-05-24
463,5,按现在的运价，第二季度利润会不会有300亿呢,1900-05-24
369,6,下周满上猛干15,1900-05-24
367,5,行情没得说，基本面也没有什么说！人家继续狂,1900-05-24
364,5,海控密码1414,1900-05-24
305,2,海运费翻了一倍了,1900-05-24
304,1,下周一起飞！,1900-05-24
265,1,2024-5-24你们太在乎一城一地的得失，而且总只看眼前的，看的稍微远一点都难,1900-05-24
211,2,1414，牛牛哇,1900-05-24
154,4,来来来，战友们预测收盘价喽！,1900-05-24
90,3,太磨蹭了,1900-05-24
74,1,买港股,1900-05-24
5856,17,中远海控14.00的价格还能不能长投以最悲观的态度和以较乐观的态度预测长期回报，,1900-05-23
3777,43,5月股市不贪高，落袋为安！,1900-05-23
1382,14,今天大盘暴跌啊，盘中跌幅最大到达了1.7%，咱们手里头的票那是全红啊，又是吃肉的,1900-05-23
857,4,链动“港航货”，中远海控助力客户打通汽车出海新通道,1900-05-23
1112888,0,东方财富网股吧社区内容治理公告,1900-05-22
3611,10,【调研快报】中远海控接待中信建投等多家机构调研,1900-05-22
5765,11,中远海控和大秦铁路Q2经营预测,1900-05-20
4749,24,中远海控2024年分红可期！……,1900-05-20
30627,63,海运价格再迎上涨“加速度”：相关期货半年翻5倍,1900-05-17
4307,52,买入点已经萎缩状态,1900-05-17
2601,15,海航科技是龙头,1900-05-16
30084,43,这是一份不能碰的股票名单,1900-05-13
6264,59,中远海控2024年Q1财报除净利润以外的看点,1900-04-29
