阅读,评论,标题,最后更新
167,4,什么叫煤电一体化，公司在同投资者玩文字游戏，大家往上面反应反应,1900-06-05
93,0,$晋控电力(SZ000767)$,1900-06-05
59,0,[图片],1900-06-05
50,2,$晋控电力(SZ000767)$,1900-06-05
28,0,$晋控电力(SZ000767)$,1900-06-05
221,4,本以为是妖股，没想到是臭股！,1900-06-04
152,4,[图片],1900-06-04
76,1,明星电力是你爷,1900-06-04
73,0,还有韭菜在买，666！,1900-06-04
62,0,跌破2元不用等到st再跑,1900-06-04
36,0,别上当！,1900-06-04
859,44,大盘亏损股大跌，把晋控带下来，今天加了三笔，以收盘计价，再次如愿成为雷峰，一月来,1900-06-03
309,0,股市的本质是与自己对抗,1900-06-03
271,2,庄家已经为st做了充分准备,1900-06-03
218,16,等吧，等到st你们就舒服了。,1900-06-03
212,6,牛回头了，快抢！！,1900-06-03
208,6,晋控电力6月3日盘中跌幅达5%,1900-06-03
136,5,太恶心了这样子,1900-06-03
123,0,"勇士们，锦州港年年分红都能st,躺着也中枪，哈哈！",1900-06-03
117,0,割肉绝对正确,1900-06-03
116,0,完了，大概率晋控退,1900-06-03
108,0,目前没有看到止跌，还要下探寻支撑，2.35有强支撑，等出现小阳线再进场，目前逢高,1900-06-03
104,0,电力没有人看好,1900-06-03
101,0,1000家st绝对有晋控电力信不信。,1900-06-03
91,1,不跌到1块别卖,1900-06-03
78,0,1000家st肯定有他,1900-06-03
78,0,这种亏损严重股，最好不要碰，持有的赶紧走人，随时退市风险太大！,1900-06-03
73,0,低价亏损股碰不得,1900-06-03
68,0,早晚会有一个跌停等着吧,1900-06-03
68,0,会不会反弹,1900-06-03
62,0,晋控电力：融资净偿还297.14万元，融资余额1.82亿元（05-31）,1900-06-03
57,0,低价亏损股，有些危险,1900-06-03
56,0,会不会被ST呀，是不是主力提前拉高跑路了[可怜][可怜][可怜],1900-06-03
48,0,有些话还不准说，767割肉三年来血亏,1900-06-03
48,0,今天什么原因,1900-06-03
45,0,就这价位还跌，不是庄跑路，就是太黑,1900-06-03
44,0,股，从来就这臭德性，恶心至极！今后小散们千万不要买这脏货，太臭了！,1900-06-03
40,0,跌停,1900-06-03
39,0,应该会涨停吧,1900-06-03
37,0,此股看着就恶心，已经被活埋3年了,1900-06-03
36,0,清仓销户,1900-06-03
33,0,看不懂，今天，这么小的量，砸破位。,1900-06-03
33,0,真恶心,1900-06-03
33,0,爽,1900-06-03
32,0,垃圾东西,1900-06-03
31,0,st的征兆,1900-06-03
29,0,哈哈,1900-06-03
28,0,加油跌,1900-06-03
24,0,头顶生疮脚底流脓，坏透啦,1900-06-03
139,0,晋控电力：本周深股通持股量环比减少51%，周内减仓幅度居电力行业板块第三,1900-06-02
112,0,晋控电力本周融资净买入2473.92万元，居电力行业板块第十四,1900-06-02
67,0,哈哈,1900-06-02
405,0,照这个趋势，会有牛市，代价是一堆央企国企民企st，就看哪支股票会翻倍，哪支股票有,1900-06-01
267,1,自己看着办吧,1900-06-01
188,0,主力学学中泰化学和锦州港吧，好事多做些,1900-06-01
67,0,跌停,1900-06-01
400,4,砸到两块五毛八，能抢一个，反抽，嗯，注意节奏,1900-05-31
358,4,真想抽自己，涨停的时候跑了，想低点进，结果才2天，昨天水下2个点就忍不住进了，到,1900-05-31
332,1,具备妖股的潜力,1900-05-31
234,0,风电和光伏发电代替不了火电，核电就是控制污染水电也不如火电稳定,1900-05-31
203,0,我今天尾盘加仓,1900-05-31
182,2,看看多久回本，又加了两笔[怒][怒][怒][怒],1900-05-31
181,0,767是电力板块唯一今年还是亏的票,1900-05-31
176,0,兄弟们不要慌，多拿几年，等给公司员工发不了工资的时候就开涨了,1900-05-31
158,0,000767,1900-05-31
151,0,吃饭钱都投进来了，给力啊,1900-05-31
129,0,横久不是什么好事,1900-05-31
114,0,亏损股现在都怕暴雷，不过有可能机构在之前会拉升出货。,1900-05-31
89,0,电力必涨哈……,1900-05-31
86,0,又要盘几周了，干，加油,1900-05-31
84,0,垃圾,1900-05-31
80,0,真是个，变态，垃圾货色,1900-05-31
74,0,不拉高想出货勾庄想的到美[捂脸][捂脸][捂脸][捂脸],1900-05-31
73,0,干，越跌越买，买到一块7,1900-05-31
71,0,扶不起的阿斗熊到家了,1900-05-31
71,0,这货太不争气了，涨的不多，跌的很快，新能源里有它，也是不中用，,1900-05-31
64,1,一个涨停板跌没了，你们这帮人来凑什么热闹！,1900-05-31
64,0,牢牢套住！卡个跟头,1900-05-31
61,0,晋控电力：融资净偿还1619.06万元，融资余额1.85亿元（05-30）,1900-05-31
56,0,搞吧。搞吧，,1900-05-31
54,0,A杀,1900-05-31
46,0,这就是啦拉几的表现,1900-05-31
43,1,泰拉鸡啦,1900-05-31
43,0,……,1900-05-31
40,0,恶意做空,1900-05-31
39,0,历来就是这臭德性。恶心！,1900-05-31
35,0,这玩意就是,1900-05-31
377,5,有没有可能st啊,1900-05-30
310,2,明天还得埋，跌下来再进场,1900-05-30
249,5,我早上2.81元进的，早上2.81元进的，早上2.81元进的，刚睡醒一看现在咋办,1900-05-30
245,6,跌一个点加一万，跌一个点加一万，加三次了，[怒][怒][怒],1900-05-30
202,0,主力是不折不扣的情绪大师。服！,1900-05-30
200,0,晋能控股集团党委理论学习中心组（扩大）新质生产力学习研讨暨实施推进会举行 李国彪,1900-05-30
182,3,主力也真是的，今年4月跌过一波了，要跑的早跑了，下一波估计要调整一段时间了,1900-05-30
177,4,销户，退出，愿赌服输。,1900-05-30
174,0,此股应该破一退市或ST了。,1900-05-30
169,0,纯纯的讨吃庄,1900-05-30
146,1,要走好煤炭与煤电、煤电与新能源一体化发展路子，推动产业协同发展。用好集团内部煤电,1900-05-30
125,2,明天继续活埋,1900-05-30
117,0,此股电力涨时跟它没关系，电力跌时比指数还跌的多，典型的做空主力啊,1900-05-30
116,0,这个货出的爽歪歪啊,1900-05-30
108,2,这老庄老狠了，游资过来就被埋,1900-05-30
104,0,跑不跑埋了又得磨,1900-05-30
99,0,挺扛跌的，加油吧，欧里给,1900-05-30
94,0,都说了国泰君安成都北一路的柚子已经昨日黄花,1900-05-30
93,2,跌破2.60准备割肉了，怕又遭ST。,1900-05-30
86,0,别的电都涨了那么多，不长反而跌的跟狗丝一样,1900-05-30
85,0,哎吆，奔10个点去了[666][666][666],1900-05-30
81,0,晋控电力：融资净买入2343.84万元，融资余额2.01亿元（05-29）,1900-05-30
78,0,死了，没救了，我的钱啊啊啊啊啊啊,1900-05-30
75,0,风电光伏火电都有，让听些wL了，走人。,1900-05-30
72,1,冲牙！冲牙！,1900-05-30
66,0,没法搞了，又要等[捂脸],1900-05-30
62,0,再跌一天,1900-05-30
55,0,严查大股东融券做空！,1900-05-30
50,0,，昨天抄底，今天被埋汰,1900-05-30
44,0,买啥啥跌，害了同志们[囧],1900-05-30
38,0,完了，跑,1900-05-30
1408,5,晋控 分享,1900-05-29
914,2,5.29的策略，交易自主决定。,1900-05-29
509,7,这个十字星，明白人解释一下[抱拳][抱拳],1900-05-29
322,3,全仓，年底看，命里有钱翻三倍，命里无钱ST.,1900-05-29
318,0,这位置收黑十字有点尴尬，近阶段主力一直在吸筹，如果是别的股票应该是看多，晋控还是,1900-05-29
269,1,电力板块年内仍下跌的仅此一只，别无分号，可见市场对它的嫌弃程度了。,1900-05-29
213,0,十几条新闻全是电力板块国家级利好,1900-05-29
189,0,今天是在前面压力位置洗洗盘，明天主升浪开始,1900-05-29
176,0,山西省政府为了推动煤矿企业发展，鼓励露天煤矿开采。对电力也是利好！,1900-05-29
161,0,3块钱强压力，2块97就是这波反弹的高点了。,1900-05-29
156,0,明天有可能低开高走[吃瓜],1900-05-29
154,0,突破三元。我加入,1900-05-29
133,2,真的恶心,1900-05-29
121,0,尾盘进的你，大佬明天别套我[抱拳],1900-05-29
104,3,4月上海入境游客同比暴增142.4%，今年有望突破500万人次,1900-05-29
98,1,拉尾盘明天又完蛋了,1900-05-29
75,2,广西九个点了,1900-05-29
55,0,我来抄底了,1900-05-29
5164,12,晋控电力(000767)龙虎榜数据(05-28),1900-05-28
666,1,)今天跨境电商和食品加工都走了，早盘入场了电力和医疗器械。,1900-05-28
2870,18,煤机质量（二）,1900-05-26
1490,7,晋控电力：2024年一季度发电量111.12亿千瓦时 2023年一季度发电量112.03亿千瓦时,1900-05-20
1669,17,成功取得了集团公司大力支持，为晋控电力打了一支“强心剂”，增强了我们的扭亏的信心,1900-05-14
2548,26,晋控电力最大优势条件是，就地就近燃煤供应，也就是煤矿坑口就近保供，减少运输环节，,1900-05-12
1803,10,晋控电力：公司燃煤业务均为自晋能控股集团公司采购的长协保供煤 仅对内服务所属火电企业发电供热用煤,1900-04-18
