阅读,评论,标题,最后更新
41274,134,被境外恶势力恶意唱空的银行股巳经跌到了下跌也能赚钱的超临界状态,1900-07-06
1321,11,如果我有20w股招商银行，我就跟别人说，在招行上班了。平时不用打卡，每天在办公室,1900-05-26
837,2,从14年开始，各路资金开始热衷于炒招商银行，但没人愿意把真实的理由公之于众。虽然,1900-05-26
96,0,和格力一样现在难挣钱了,1900-05-26
39,1,持有三年没动窝，坚定坚持再持有三年,1900-05-26
3124,12,A股股东户数最多的15个公司：5个公司股东数超80万,1900-05-25
1170,4,1 天赚了 10 年利息…,1900-05-25
1121,0,招商银行高管层再“微调” 十年老将CIO江朝阳上调招商局集团 曾亲历招行金融科技投入大爆发,1900-05-25
617,3,溢价50%再加上有去无回的200亿贷款，估计要砸到20,1900-05-25
566,1,"目标 -》三年内到1000W，立贴为证。每周记录(当前整体仓位8.5成, 市值 459W, 资产总计 539W)",1900-05-25
456,5,股市自渡,1900-05-25
334,1,美股T+1结算时代”即将于下2024年5月29日周二正式开启,1900-05-25
315,0,大部分商业银行估值市净低于0.6.招商银行估值偏高了。,1900-05-25
270,0,没有幻想，直接清仓,1900-05-25
217,0,招行现价红利再买增筹码6.02%,1900-05-25
204,3,招商银行：连续5日融资净买入累计6.7亿元（05-24）,1900-05-25
100,0,九卦 | 招行CIO变动，信息技术部总经理周天虹或接任,1900-05-25
60,0,下来就是机会，随便上,1900-05-25
5401,1,万科实现融资重大进展：获招行牵头200亿银团贷款,1900-05-24
2836,6,增持招商银行，两天擦掉三万利润。,1900-05-24
1363,0,今天没有操作，账户浮亏了2%，我认为下周肯定有反抽，但是能反抽多高要看有没有增量,1900-05-24
1124,6,招商银行中短线回调看跌,1900-05-24
1076,11,问题都不大，不用过度担心，顶多破一下3100就会收上来,1900-05-24
876,1,招商银行，曾经价值投资的典范，何时回归曾经的荣耀,1900-05-24
744,4,招行五连跌近6个点，前两天融资净买入，后几天融资净卖出，看融资流入流出不靠谱，看,1900-05-24
577,10,上周37时为了6%的股息没买，这周分分钟被教育，几天就跌了7个点,1900-05-24
534,15,满仓了。,1900-05-24
461,7,大V说了，招行要跌回28.,1900-05-24
448,1,博时基金官宣 招行老将张东新任公司总经理,1900-05-24
432,0,数日单边下跌，数月交易招行跑输城商行,1900-05-24
408,0,数据赋能：MAXHUB以小数据聚能大模型，推动行业数字化新动能,1900-05-24
360,0,这次带大盘上的基本上银行权重贡献最大,1900-05-24
323,1,了，其他银行涨了一个星期，你跌了一个星期,1900-05-24
290,0,动不动就是连跌10天半月,1900-05-24
245,0,周线不乐观,1900-05-24
241,2,幸好36跑了，等接回,1900-05-24
220,1,有能耐再跌一周，我就回来接,1900-05-24
211,1,没跌6个点加一次，涨10个点出一次，买银行就是要有耐心,1900-05-24
203,0,空头的风向标！！！,1900-05-24
182,0,31.35，缺口必补！！到了半仓,1900-05-24
174,5,自从给了万科200亿后就跌跌不休,1900-05-24
165,5,跌不停为什么呢,1900-05-24
156,3,完了，我又满仓了,1900-05-24
154,3,最差的银行，以后除了招行，其他银行随便买,1900-05-24
150,2,与万科沾边就玩完,1900-05-24
139,0,下周低吸建仓，准备起飞我说的耶稣来了都不好使,1900-05-24
125,0,礼拜一涨停。求你了。。。,1900-05-24
121,0,这轮行情，招商行成为空军的领头先锋哥,1900-05-24
104,0,周一大涨不要被人家看不起，不要让人家以为我们输不起,1900-05-24
89,1,呵呵，不跌停，跌不停，不停跌[滴汗][滴汗],1900-05-24
52,0,裤衩子都没了,1900-05-24
51,0,A字下杀！快卖！,1900-05-24
50,1,5连阴了,1900-05-24
49,0,跌这么多,1900-05-24
36,0,腰斩再腰斩,1900-05-24
3777,43,5月股市不贪高，落袋为安！,1900-05-23
3140,22,自助者他助！万科全力行动受市场认可 获招行牵头200亿银团贷款,1900-05-23
2502,29,200亿银团贷款落定！万科获招行等金融机构力挺,1900-05-23
893,8,今天招行跌是因为借钱给万科200亿大利空，万科为啥涨收到200亿借款利好,1900-05-23
208,1,利率趋下，缩量拿筹！股息率高筹码珍贵！,1900-05-23
1112888,0,东方财富网股吧社区内容治理公告,1900-05-22
1471,21,股票还是不要做套的好，今年来，我在招行上一直做套，都有小赚，但是，到现在算了下，,1900-05-10
568,10,不骗大家，持仓不动到现在能赚18900*5.7=107730，而现在才赚5100,1900-05-10
2822,22,银行股现在有没有投资的必要，关键看银行的成长性！房地产已经不行了，银行躺着赚钱的,1900-04-18
4423,7,2007年11月1日中证银行指数8512点2008年1月4日上证银行指数1091,1900-02-02
4076,13,"沪深京5585家上市公司1月19日平均市净率2.36倍,平均市盈率45.57倍",1900-01-20
