阅读,评论,标题,最后更新
595,25,特锐德6月5日盘前提示:谨慎看多。第一支撑22.58，第二支撑22.50，第三支,1900-06-05
1508,27,特锐德6月4日收评:金融护盘带电板块卷土重来风格转换火候不足持续性面临考验，特锐德放量大涨怒甩空头越过平台即将进入年内超级重压区,1900-06-04
772,29,这就是趋势的力量！,1900-06-04
553,1,特锐德联手ENEOS布局充电网 年度研发费近5亿驱动业绩增长,1900-06-04
548,18,特锐德6月4日盘前提示:看多。第一支撑21.50，第二支撑21.40，第三支撑2,1900-06-04
278,0,创业板成分股走强，有人退市，有人就会创出新高。只有优质的公司不断坚持创新，产品服,1900-06-04
237,7,买个短603960,1900-06-04
235,12,盘子太大、性价比不如小市值的高、涨幅有限,1900-06-04
195,0,现有持仓不动，留好子弹，上涨还是下跌都能从容应对,1900-06-04
163,0,回踩才是机会！追高不易,1900-06-04
118,5,今天不跌5点之上才叫怪,1900-06-04
77,2,大家都不看好的时候，我贪婪加仓……………,1900-06-04
64,0,不到500市值一股不卖。未到之前所有波动让我内心毫无波澜,1900-06-04
62,0,长牛慢慢来还有很大空间！！！！,1900-06-04
60,2,冲不动啊，主力不给力,1900-06-04
58,1,21.74是谁在把守着,1900-06-04
57,1,等大家都看好的时候，我就跑路走人………………,1900-06-04
57,0,特锐德：融资净买入1852.12万元，融资余额11.16亿元（06-03）,1900-06-04
55,2,该上车了[呲牙],1900-06-04
55,0,我了，昨天赚400走了。,1900-06-04
54,2,为什么折磨我，将我扔出去,1900-06-04
51,0,不要急，洗盘不必理会静等拉升,1900-06-04
44,0,2.30后开始跳水,1900-06-04
43,1,要求不过分，打个新高即可,1900-06-04
43,1,电网设备股还不错，充电桩个股惨不忍睹！,1900-06-04
43,0,这批烦人,1900-06-04
42,0,走了,1900-06-04
42,0,半晌不夜的这是打算干什么,1900-06-04
41,0,静心等你下来，不要扭扭捏捏,1900-06-04
41,0,$特锐德(SZ300001)$,1900-06-04
40,0,老乌龟在爬,1900-06-04
38,0,加油赶上其它电网设备股,1900-06-04
38,0,太弱了，都调整多久了,1900-06-04
33,0,坚持你给我坚持到极致,1900-06-04
30,0,明天收用,1900-06-04
30,0,这叫惨啊,1900-06-04
30,0,笑……………3千阵地保卫战又要开始了……………,1900-06-04
29,0,让你们上车非不上，让你们下车非不下[大笑],1900-06-04
27,0,请大家关注,1900-06-04
27,0,看看许继和南瑞,1900-06-04
27,0,脱单一出必跌无疑啊。哈哈,1900-06-04
26,0,今天总算跟了把板块，。。。,1900-06-04
26,0,还是不行,1900-06-04
26,0,起飞,1900-06-04
25,0,冲动是魔鬼,1900-06-04
25,0,没救了,1900-06-04
