阅读,评论,标题,最后更新
3489,11,发行新股时的市净率10倍的民生银行现在的市净率0.31,1900-10-21
50,0,就未分配利润而言。这股价没有任何风险。长线持有分红比存银行强太多,1900-05-26
548,8,中国的银行股，稳定的股息，得到越来越多投资者的认可。多年以来，在舆论的错误引导下,1900-05-25
400,5,民生银行中期分红0.3，，然后特别分红0.4,1900-05-25
244,0,每次来这里咋心如刀割，买了十几个银行股个个都吃一口红烧肉，肥牛离开的，就你让咋带,1900-05-25
237,2,下周见到4.1+,1900-05-25
195,2,3月底4元附近卖了10%，一直等回调3.7到3.6，就没等到[滴汗][滴汗][滴,1900-05-25
152,1,民生银行跟兴业银行、浦发银行没法比！,1900-05-25
137,0,4.51[吃瓜],1900-05-25
91,0,民生银行：融资净买入210.69万元，融资余额38.9亿元（05-24）,1900-05-25
2008,13,回血失败，民生银行困兽犹斗,1900-05-24
698,1,又一家银行对协定存款下手！银行压降负债成本进入“深水区”,1900-05-24
464,0,民生银行股价落后于农行百分之十了，加油干！,1900-05-24
409,3,大宗交易：民生银行成交1194万元，成交均价3.98元（05-24）,1900-05-24
361,0,钱在民生手里没什么效益，不如早点分红大家算了,1900-05-24
262,0,神啊，4.02让我成功卖掉吧。,1900-05-24
222,1,[大笑]150050010004900下周见，大家一起做T,1900-05-24
123,0,民生银行：融资净买入1577.77万元，融资余额38.88亿元（05-23）,1900-05-24
91,0,[大笑]今天T狗踩踏，都想做T,1900-05-24
81,0,别的银行都在创新高。这垃圾无敌焉,1900-05-24
79,0,下来容易上去难,1900-05-24
4723,6,“515”后银行继续压降“高息”对公协定存款 民生银行最新调整三类产品 后续或有更多银行跟进,1900-05-23
966,4,民生银行市净率最低,1900-05-23
827,2,【读财报】上市银行数字金融透视：信息科技投入普增 中信、民生银行增速快,1900-05-23
486,2,破净股数据[24/05/23],1900-05-23
374,0,挂单4.02卖，不知明天能不能如愿。,1900-05-23
330,5,明天会涨,1900-05-23
237,0,今天算不错了在这里太多了散户，成本从4.9搞到4.06能分红就好，已经不算差,1900-05-23
136,0,民生最差的境遇已经过去，相比于其它银行，这一轮涨幅明显偏弱，该补涨了,1900-05-23
132,1,民生银行：融资净偿还1830.81万元，融资余额38.72亿元（05-22）,1900-05-23
116,1,应有一个创新高的梦,1900-05-23
105,0,拿着行业最高薪酬，投入行业最高资金搞科技，却做出行业最差业绩！不禁让人怀疑该行高,1900-05-23
84,0,401,1900-05-23
69,0,争议性股票被恒大窝害太深，舍不得割几千股就算支持恒大咯,1900-05-23
1112888,0,东方财富网股吧社区内容治理公告,1900-05-22
1123,4,民生银行“老将”丛军拟接棒民生理财董事长 民生理财管理产品规模已破1万亿,1900-05-22
930,4,12元净资产回到6元不过分吧[上涨][上涨][大笑][大笑][大笑][主力][主,1900-05-22
909,8,批准中期分红，4块的民生银行股息率将达8%以上。,1900-05-22
605,12,这样的股票最好了，很适合做T、做波段，无风险套利。,1900-05-22
604,7,一年后突破7.7高地,1900-05-22
436,4,最后十分钟，神仙打架了。好事情，这股终于有人说不了。,1900-05-22
417,0,港股从2.4到3.2涨8毛三分之一了。A只涨了4毛，十个点，严重落后啊,1900-05-22
382,1,民生银行助力2024年国际中体联足球世界杯 盛大开幕,1900-05-22
367,0,破净股数据[24/05/22],1900-05-22
349,4,明天4.03开始建仓了[微笑],1900-05-22
344,0,银行股回升到10倍市盈率，才进入牛市行情。10倍市盈率股票\年回报永比存款利率和,1900-05-22
309,2,民生净资产都有12元，要翻倍,1900-05-22
278,0,今天4.04没卖出去，明天感觉会调整了,1900-05-22
161,0,14.5奶奶的,1900-05-22
81,0,今天吃错药了，这么硬,1900-05-22
3811,26,兴业资管《关于泛海控股集团36.35亿元债权资产的招商公告》,1900-05-21
2259,11,民生银行:H股公告-董事会会议召开日期,1900-05-21
248,3,四年了，相对前住业绩每年都是跨了一半。还甩锅前任，这面皮赛过城墙厚。,1900-05-20
2563,20,民生银行正走在正确的道路上,1900-05-19
663,4,民生银行一季度营收净利润双降：今年被罚超600万，合规备受考验,1900-05-17
540,6,既来之，则安之，民生银行我来了。欢迎我们的从军带头大哥,1900-05-17
130,1,留存收益，如果不能转化为市值，将利润留下，对股东来说，就没有任何意义。应该提高分,1900-05-17
271,1,按照巴菲特的观点，留存收益，如果不能转化为市值，将利润留下，对股东来说，就没有任,1900-05-16
185,2,吧里那几个明显机器人，要么就是股托唱多,1900-05-16
2603,15,巴菲特提醒投资者说了,1900-05-14
1662,16,民生银行要涨停随时拉板！,1900-05-09
1529,4,"18元时122万户,11元时75万户,3.3元时40万户,涨到4元33万户",1900-05-06
1619,15,民生银行底部磨了一年一年又一年，整整三年，新行长任职资格也确认，可以放手大干了，,1900-05-02
430,2,高迎欣就是拿高新不会炒菜的厨师长，厨师们谁会服,1900-04-30
3755,17,民生银行:中国民生银行关于诉讼事项进展的公告,1900-04-26
1892,10,3.92元买的每股净资产12.43元+拨备2.23+应收款8.22+商誉1.22,1900-04-11
1371,1,"4月5日在美丽坚上市银行的市盈率,市净率,每股收益,每股净资产 印度私营HDFC",1900-04-08
5160,8,买银行股前需要读懂的一些重要财务知识,1900-03-14
5715,7,让3年半收益率冠军的成都银行收购兼并3年半倒数后3名的民生银行,1900-01-30
5294,22,"外国资本可以持有银行100%股权,民生银行具备外资收购概念",1900-01-26
1740,6,2020年开始巳经将逾期60天以上的贷款全部纳入了不良贷款,1900-01-19
