,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600036.SH,2024-02-27,32.24,32.4,31.99,32.18,32.25,-0.07,-0.2171,543491.54,1746108.592
1,600036.SH,2024-02-28,32.29,32.29,31.6,32.02,32.18,-0.16,-0.4972,683707.52,2186677.932
2,600036.SH,2024-02-29,31.89,32.2,31.85,32.04,32.02,0.02,0.0625,498928.29,1595634.178
3,600036.SH,2024-03-01,31.92,32.08,31.75,31.94,32.04,-0.1,-0.3121,427173.92,1361853.701
4,600036.SH,2024-03-04,31.76,31.87,31.47,31.52,31.94,-0.42,-1.315,591350.15,1868022.544
5,600036.SH,2024-03-05,31.42,32.21,31.31,32.18,31.52,0.66,2.0939,894028.67,2850224.114
6,600036.SH,2024-03-06,32.14,32.26,31.87,31.87,32.18,-0.31,-0.9633,516101.77,1655425.115
7,600036.SH,2024-03-07,31.87,32.13,31.78,32.0,31.87,0.13,0.4079,519491.97,1659111.449
8,600036.SH,2024-03-08,31.89,32.01,31.55,31.67,32.0,-0.33,-1.0313,441071.17,1399732.269
9,600036.SH,2024-03-11,31.55,31.75,31.2,31.48,31.67,-0.19,-0.5999,738537.94,2318402.185
10,600036.SH,2024-03-12,31.42,32.15,31.28,31.95,31.48,0.47,1.493,769253.75,2447163.517
11,600036.SH,2024-03-13,31.96,31.99,31.43,31.52,31.95,-0.43,-1.3459,469387.14,1482651.384
12,600036.SH,2024-03-14,31.46,31.72,31.16,31.25,31.52,-0.27,-0.8566,508174.98,1595073.269
13,600036.SH,2024-03-15,31.24,31.42,31.0,31.18,31.25,-0.07,-0.224,520780.63,1621589.213
14,600036.SH,2024-03-18,31.15,31.34,31.0,31.13,31.18,-0.05,-0.1604,461897.7,1436837.36
15,600036.SH,2024-03-19,31.1,31.11,30.73,30.8,31.13,-0.33,-1.0601,547025.3,1688506.946
16,600036.SH,2024-03-20,30.8,31.2,30.66,31.18,30.8,0.38,1.2338,498272.25,1544956.631
17,600036.SH,2024-03-21,31.17,31.76,31.05,31.55,31.18,0.37,1.1867,646761.08,2040298.376
18,600036.SH,2024-03-22,31.53,31.55,30.9,31.2,31.55,-0.35,-1.1094,552878.52,1722145.156
19,600036.SH,2024-03-25,31.11,31.51,30.92,31.35,31.2,0.15,0.4808,483759.02,1514858.505
