,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601919.SH,2024-02-27,10.44,10.59,10.42,10.54,10.47,0.07,0.6686,580365.81,610277.461
1,601919.SH,2024-02-28,10.53,10.56,10.41,10.41,10.54,-0.13,-1.2334,721032.35,755187.541
2,601919.SH,2024-02-29,10.41,10.52,10.38,10.5,10.41,0.09,0.8646,685836.66,717885.376
3,601919.SH,2024-03-01,10.45,10.49,10.38,10.42,10.5,-0.08,-0.7619,588629.07,613341.417
4,601919.SH,2024-03-04,10.38,10.5,10.31,10.44,10.42,0.02,0.1919,763401.46,795204.936
5,601919.SH,2024-03-05,10.44,10.51,10.4,10.48,10.44,0.04,0.3831,730479.74,764162.147
6,601919.SH,2024-03-06,10.48,10.49,10.41,10.43,10.48,-0.05,-0.4771,575793.6,601724.471
7,601919.SH,2024-03-07,10.45,10.54,10.4,10.43,10.43,0.0,0.0,760682.22,796618.811
8,601919.SH,2024-03-08,10.45,10.68,10.44,10.66,10.43,0.23,2.2052,1112351.11,1176904.98
9,601919.SH,2024-03-11,10.67,10.93,10.6,10.68,10.66,0.02,0.1876,1059407.7,1137931.36
10,601919.SH,2024-03-12,10.64,10.68,10.45,10.46,10.68,-0.22,-2.0599,922346.57,971672.042
11,601919.SH,2024-03-13,10.44,10.5,10.31,10.36,10.46,-0.1,-0.956,732747.18,759770.893
12,601919.SH,2024-03-14,10.33,10.54,10.31,10.51,10.36,0.15,1.4479,611225.38,640278.991
13,601919.SH,2024-03-15,10.51,10.57,10.35,10.43,10.51,-0.08,-0.7612,553741.43,577192.894
14,601919.SH,2024-03-18,10.45,10.52,10.43,10.5,10.43,0.07,0.6711,486882.52,510413.556
15,601919.SH,2024-03-19,10.48,10.5,10.25,10.26,10.5,-0.24,-2.2857,914477.42,945185.323
16,601919.SH,2024-03-20,10.24,10.35,10.21,10.32,10.26,0.06,0.5848,452639.33,465344.591
17,601919.SH,2024-03-21,10.34,10.37,10.26,10.33,10.32,0.01,0.0969,401438.22,414179.373
18,601919.SH,2024-03-22,10.28,10.32,10.16,10.24,10.33,-0.09,-0.8712,580335.59,593923.379
19,601919.SH,2024-03-25,10.22,10.3,10.19,10.22,10.24,-0.02,-0.1953,414054.66,424779.044
20,601919.SH,2024-03-26,10.22,10.27,10.15,10.2,10.22,-0.02,-0.1957,375899.06,383060.049
21,601919.SH,2024-03-27,10.22,10.36,10.22,10.29,10.2,0.09,0.8824,591551.57,610000.575
22,601919.SH,2024-03-28,10.32,10.4,10.22,10.38,10.29,0.09,0.8746,566225.35,584508.812
23,601919.SH,2024-03-29,10.24,10.43,10.07,10.35,10.38,-0.03,-0.289,793609.06,815658.261
24,601919.SH,2024-04-01,10.36,10.48,10.33,10.39,10.35,0.04,0.3865,578627.68,601446.311
25,601919.SH,2024-04-02,10.45,10.58,10.4,10.57,10.39,0.18,1.7324,839739.1,882017.729
