,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000737.SZ,2024-02-27,5.29,5.39,5.24,5.35,5.31,0.04,0.7533,82938.0,44190.24
1,000737.SZ,2024-02-28,5.35,5.43,5.11,5.11,5.35,-0.24,-4.486,126403.0,66641.578
2,000737.SZ,2024-02-29,5.1,5.38,5.1,5.29,5.11,0.18,3.5225,136735.27,71915.711
3,000737.SZ,2024-03-01,5.29,5.35,5.22,5.3,5.29,0.01,0.189,95902.94,50598.991
4,000737.SZ,2024-03-04,5.34,5.38,5.24,5.27,5.3,-0.03,-0.566,97720.09,51799.871
5,000737.SZ,2024-03-05,5.25,5.36,5.19,5.21,5.27,-0.06,-1.1385,67256.0,35284.664
6,000737.SZ,2024-03-06,5.2,5.3,5.1,5.28,5.21,0.07,1.3436,82649.47,43237.016
7,000737.SZ,2024-03-07,5.33,5.68,5.29,5.53,5.28,0.25,4.7348,223562.2,123753.608
8,000737.SZ,2024-03-08,5.52,5.79,5.49,5.76,5.53,0.23,4.1591,224463.0,126332.154
9,000737.SZ,2024-03-11,5.8,5.85,5.57,5.67,5.76,-0.09,-1.5625,207405.11,117353.714
10,000737.SZ,2024-03-12,5.67,5.68,5.51,5.57,5.67,-0.1,-1.7637,146642.12,81735.769
11,000737.SZ,2024-03-13,5.55,5.64,5.52,5.63,5.57,0.06,1.0772,105547.0,58945.63
12,000737.SZ,2024-03-14,6.19,6.19,6.19,6.19,5.63,0.56,9.9467,172000.22,106468.136
13,000737.SZ,2024-03-15,6.49,6.81,6.04,6.81,6.19,0.62,10.0162,1006939.65,645893.822
14,000737.SZ,2024-03-18,7.23,7.49,7.03,7.12,6.81,0.31,4.5521,1461238.11,1062080.171
15,000737.SZ,2024-03-19,6.99,7.38,6.87,6.97,7.12,-0.15,-2.1067,1169303.2,834618.582
16,000737.SZ,2024-03-20,6.83,7.67,6.83,7.67,6.97,0.7,10.043,1525385.78,1123242.693
17,000737.SZ,2024-03-21,7.81,8.43,7.46,8.1,7.67,0.43,5.6063,1624141.53,1270937.566
18,000737.SZ,2024-03-22,7.7,7.85,7.46,7.57,8.1,-0.53,-6.5432,1127541.89,863145.691
19,000737.SZ,2024-03-25,7.28,8.17,7.24,7.86,7.57,0.29,3.8309,1164622.35,905778.819
20,000737.SZ,2024-03-26,7.69,7.84,7.33,7.53,7.86,-0.33,-4.1985,827330.51,623961.621
21,000737.SZ,2024-03-27,7.43,7.63,7.17,7.18,7.53,-0.35,-4.6481,665301.37,491987.219
22,000737.SZ,2024-03-28,7.18,7.6,7.15,7.59,7.18,0.41,5.7103,785554.09,580492.572
23,000737.SZ,2024-03-29,7.73,8.35,7.66,8.35,7.59,0.76,10.0132,984618.01,794226.071
24,000737.SZ,2024-04-01,8.73,9.19,8.65,8.92,8.35,0.57,6.8263,1815330.18,1638978.517
25,000737.SZ,2024-04-02,9.13,9.81,8.9,9.81,8.92,0.89,9.9776,1181910.31,1129905.175
26,000737.SZ,2024-04-03,10.16,10.79,9.76,10.79,9.81,0.98,9.9898,1970503.44,2062002.632
27,000737.SZ,2024-04-08,11.43,11.87,11.21,11.61,10.79,0.82,7.5996,2330284.3,2713288.941
28,000737.SZ,2024-04-09,11.31,11.71,11.04,11.39,11.61,-0.22,-1.8949,1851429.98,2094792.688
29,000737.SZ,2024-04-10,11.47,11.8,11.05,11.4,11.39,0.01,0.0878,1923123.1,2200251.167
30,000737.SZ,2024-04-11,11.0,11.44,10.79,11.15,11.4,-0.25,-2.193,1717444.54,1902095.049
31,000737.SZ,2024-04-12,10.78,10.95,10.12,10.37,11.15,-0.78,-6.9955,1865473.16,1951410.345
32,000737.SZ,2024-04-15,9.99,10.1,9.33,9.33,10.37,-1.04,-10.0289,1514624.75,1437912.776
33,000737.SZ,2024-04-16,9.14,9.62,8.93,9.02,9.33,-0.31,-3.3226,1513377.98,1408526.246
34,000737.SZ,2024-04-17,8.91,9.42,8.86,9.36,9.02,0.34,3.7694,1303161.78,1207678.963
35,000737.SZ,2024-04-18,9.38,10.3,9.28,10.3,9.36,0.94,10.0427,1790762.32,1774296.767
36,000737.SZ,2024-04-19,10.7,11.1,10.52,10.9,10.3,0.6,5.8252,2092104.76,2269520.122
37,000737.SZ,2024-04-22,11.29,11.99,10.58,10.63,10.9,-0.27,-2.4771,2315736.87,2670978.242
38,000737.SZ,2024-04-23,9.57,9.57,9.57,9.57,10.63,-1.06,-9.9718,198830.0,190280.31
39,000737.SZ,2024-04-24,9.09,10.23,9.09,10.13,9.57,0.56,5.8516,1989225.14,1913128.043
40,000737.SZ,2024-04-25,10.0,10.59,9.6,10.58,10.13,0.45,4.4423,1606275.88,1620528.554
41,000737.SZ,2024-04-26,10.45,11.43,10.31,10.96,10.58,0.38,3.5917,1750352.49,1901745.201
42,000737.SZ,2024-04-29,10.63,10.98,10.34,10.55,10.96,-0.41,-3.7409,1428476.75,1513555.168
43,000737.SZ,2024-04-30,10.92,11.09,9.7,10.15,10.55,-0.4,-3.7915,1548956.75,1616641.506
44,000737.SZ,2024-05-06,9.86,10.4,9.69,10.4,10.15,0.25,2.4631,1130773.03,1140223.67
45,000737.SZ,2024-05-07,10.4,10.92,10.2,10.27,10.4,-0.13,-1.25,1346087.51,1408147.686
46,000737.SZ,2024-05-08,9.99,10.33,9.82,9.96,10.27,-0.31,-3.0185,947873.11,951652.896
47,000737.SZ,2024-05-09,9.85,10.5,9.81,10.22,9.96,0.26,2.6104,1088418.31,1107677.697
48,000737.SZ,2024-05-10,10.43,10.64,9.95,10.52,10.22,0.3,2.9354,1374802.57,1420378.428
49,000737.SZ,2024-05-13,10.11,10.36,9.92,10.25,10.52,-0.27,-2.5665,938833.25,951165.005
50,000737.SZ,2024-05-14,10.4,11.28,10.34,11.28,10.25,1.03,10.0488,1754464.83,1882809.81
51,000737.SZ,2024-05-15,11.12,11.99,10.8,11.6,11.28,0.32,2.8369,2139019.42,2444814.088
52,000737.SZ,2024-05-16,11.7,11.82,11.0,11.12,11.6,-0.48,-4.1379,1512935.94,1726255.876
53,000737.SZ,2024-05-17,10.99,11.9,10.8,11.8,11.12,0.68,6.1151,1646048.94,1864632.8
54,000737.SZ,2024-05-20,12.58,12.98,12.4,12.98,11.8,1.18,10.0,1573138.39,2002300.54
55,000737.SZ,2024-05-21,13.53,13.59,12.34,12.77,12.98,-0.21,-1.6179,2289230.26,2970558.245
56,000737.SZ,2024-05-22,12.48,12.85,12.2,12.39,12.77,-0.38,-2.9757,1294327.23,1615407.151
57,000737.SZ,2024-05-23,11.54,11.89,11.23,11.42,12.39,-0.97,-7.8289,1318384.86,1522955.242
58,000737.SZ,2024-05-24,11.43,12.19,11.22,11.88,11.42,0.46,4.028,1377263.95,1611069.245
59,000737.SZ,2024-05-27,11.58,12.21,11.53,11.95,11.88,0.07,0.5892,1018505.18,1214646.345
60,000737.SZ,2024-05-28,12.26,12.55,12.0,12.01,11.95,0.06,0.5021,1257130.98,1544193.748
61,000737.SZ,2024-05-29,11.83,12.39,11.56,12.18,12.01,0.17,1.4155,1138092.57,1367353.147
62,000737.SZ,2024-05-30,11.83,11.89,11.0,11.11,12.18,-1.07,-8.7849,1211790.22,1386960.626
63,000737.SZ,2024-05-31,10.96,11.22,10.72,11.01,11.11,-0.1,-0.9001,948967.29,1037898.594
64,000737.SZ,2024-06-03,10.83,10.95,10.52,10.62,11.01,-0.39,-3.5422,766134.4,818906.098
65,000737.SZ,2024-06-04,10.73,10.89,10.5,10.79,10.62,0.17,1.6008,710507.2,761033.371
66,000737.SZ,2024-06-05,10.35,10.44,10.2,10.22,10.79,-0.57,-5.2827,738329.06,761525.369
67,000737.SZ,2024-06-06,10.45,10.56,10.26,10.31,10.22,0.09,0.8806,745613.85,776160.927
