,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000777.SZ,2024-02-27,13.49,13.83,13.35,13.8,13.54,0.26,1.9202,83498.48,113593.991
1,000777.SZ,2024-02-28,13.77,14.04,13.15,13.15,13.8,-0.65,-4.7101,98347.6,134048.662
2,000777.SZ,2024-02-29,13.17,13.99,13.15,13.92,13.15,0.77,5.8555,81736.46,111103.64
3,000777.SZ,2024-03-01,14.05,14.15,13.81,13.92,13.92,0.0,0.0,68837.75,96140.967
4,000777.SZ,2024-03-04,13.97,14.34,13.66,14.33,13.92,0.41,2.9454,92888.24,129798.175
5,000777.SZ,2024-03-05,14.24,14.29,13.9,13.95,14.33,-0.38,-2.6518,72374.52,101783.893
6,000777.SZ,2024-03-06,13.9,14.8,13.85,14.44,13.95,0.49,3.5125,142813.64,205621.155
7,000777.SZ,2024-03-07,14.4,14.57,14.23,14.3,14.44,-0.14,-0.9695,95728.65,137795.202
8,000777.SZ,2024-03-08,14.26,14.39,14.12,14.31,14.3,0.01,0.0699,58243.62,82926.651
9,000777.SZ,2024-03-11,14.3,14.43,14.17,14.42,14.31,0.11,0.7687,66164.46,94630.679
10,000777.SZ,2024-03-12,14.44,14.52,14.2,14.26,14.42,-0.16,-1.1096,68748.09,98515.767
11,000777.SZ,2024-03-13,14.23,14.55,14.15,14.23,14.26,-0.03,-0.2104,81968.92,117558.114
12,000777.SZ,2024-03-14,14.3,14.44,14.16,14.32,14.23,0.09,0.6325,61794.2,88528.286
13,000777.SZ,2024-03-15,14.3,14.36,14.1,14.36,14.32,0.04,0.2793,56781.0,80977.108
14,000777.SZ,2024-03-18,14.37,14.57,14.33,14.56,14.36,0.2,1.3928,64946.0,93836.554
15,000777.SZ,2024-03-19,14.58,14.63,14.38,14.41,14.56,-0.15,-1.0302,78343.94,113771.009
16,000777.SZ,2024-03-20,14.49,15.85,14.49,15.85,14.41,1.44,9.9931,187960.14,292891.125
17,000777.SZ,2024-03-21,16.17,17.44,16.11,16.68,15.85,0.83,5.2366,524491.7,887636.228
18,000777.SZ,2024-03-22,16.61,17.28,16.28,16.46,16.68,-0.22,-1.3189,363843.92,608911.848
19,000777.SZ,2024-03-25,16.31,16.79,15.52,15.62,16.46,-0.84,-5.1033,275215.61,440293.527
20,000777.SZ,2024-03-26,15.59,15.75,14.98,15.34,15.62,-0.28,-1.7926,172666.7,264962.789
21,000777.SZ,2024-03-27,15.28,15.58,15.08,15.28,15.34,-0.06,-0.3911,175307.73,269158.974
22,000777.SZ,2024-03-28,15.1,15.73,15.05,15.46,15.28,0.18,1.178,152121.85,235351.997
23,000777.SZ,2024-03-29,15.48,16.42,15.44,16.29,15.46,0.83,5.3687,215834.16,345632.976
24,000777.SZ,2024-04-01,16.32,16.73,15.99,16.43,16.29,0.14,0.8594,202675.13,330718.83
25,000777.SZ,2024-04-02,16.41,16.9,16.2,16.58,16.43,0.15,0.913,174029.14,288496.683
26,000777.SZ,2024-04-03,16.46,16.5,15.97,16.19,16.58,-0.39,-2.3522,121012.37,196005.888
27,000777.SZ,2024-04-08,15.92,16.68,15.86,16.27,16.19,0.08,0.4941,136844.29,222434.873
28,000777.SZ,2024-04-09,16.3,16.32,15.78,15.94,16.27,-0.33,-2.0283,93234.41,149026.424
29,000777.SZ,2024-04-10,15.93,16.08,15.31,15.59,15.94,-0.35,-2.1957,106329.11,166150.442
30,000777.SZ,2024-04-11,15.52,15.99,15.35,15.68,15.59,0.09,0.5773,87600.48,138176.943
31,000777.SZ,2024-04-12,15.68,15.99,15.5,15.56,15.68,-0.12,-0.7653,98075.32,154224.568
32,000777.SZ,2024-04-15,15.44,16.35,14.95,16.23,15.56,0.67,4.3059,206553.88,328910.382
33,000777.SZ,2024-04-16,16.42,17.85,16.24,17.85,16.23,1.62,9.9815,369137.3,647767.477
34,000777.SZ,2024-04-17,18.39,19.59,18.18,19.07,17.85,1.22,6.8347,667712.66,1257473.058
35,000777.SZ,2024-04-18,18.79,19.23,18.39,18.45,19.07,-0.62,-3.2512,464576.36,870001.215
36,000777.SZ,2024-04-19,18.15,19.75,18.1,18.8,18.45,0.35,1.897,524964.69,1001622.776
37,000777.SZ,2024-04-22,19.23,20.68,19.06,20.68,18.8,1.88,10.0,290079.62,582696.85
38,000777.SZ,2024-04-23,20.71,21.36,18.61,18.7,20.68,-1.98,-9.5745,762587.67,1522161.051
39,000777.SZ,2024-04-24,18.2,19.55,17.6,19.45,18.7,0.75,4.0107,589735.57,1096454.904
40,000777.SZ,2024-04-25,18.9,19.01,17.72,17.92,19.45,-1.53,-7.8663,536026.12,981891.007
41,000777.SZ,2024-04-26,17.85,18.64,17.83,18.37,17.92,0.45,2.5112,353648.11,648274.998
42,000777.SZ,2024-04-29,18.15,18.59,18.0,18.41,18.37,0.04,0.2177,280327.32,513233.261
43,000777.SZ,2024-04-30,18.42,19.18,18.24,18.5,18.41,0.09,0.4889,393282.05,737662.952
44,000777.SZ,2024-05-06,18.52,19.15,18.17,19.11,18.5,0.61,3.2973,317808.31,597985.427
45,000777.SZ,2024-05-07,18.94,19.33,18.66,18.85,19.11,-0.26,-1.3605,236944.04,447592.113
46,000777.SZ,2024-05-08,18.65,18.65,17.94,18.05,18.85,-0.8,-4.244,239095.85,435817.077
47,000777.SZ,2024-05-09,18.04,18.45,18.0,18.35,18.05,0.3,1.662,150037.27,273573.904
48,000777.SZ,2024-05-10,18.64,19.12,18.33,19.06,18.35,0.71,3.8692,347508.91,655545.562
49,000777.SZ,2024-05-13,18.68,18.85,18.28,18.52,19.06,-0.54,-2.8332,200430.27,371865.015
50,000777.SZ,2024-05-14,18.55,19.07,18.53,18.67,18.52,0.15,0.8099,204108.17,383988.377
51,000777.SZ,2024-05-15,18.43,18.44,17.06,17.1,18.67,-1.57,-8.4092,374802.44,655076.587
52,000777.SZ,2024-05-16,17.38,17.8,17.16,17.47,17.1,0.37,2.1637,218121.75,379889.137
53,000777.SZ,2024-05-17,17.36,17.88,17.2,17.47,17.47,0.0,0.0,147905.17,258916.282
54,000777.SZ,2024-05-20,17.36,17.86,17.3,17.78,17.47,0.31,1.7745,150109.0,264851.847
55,000777.SZ,2024-05-21,17.66,18.04,17.5,17.81,17.78,0.03,0.1687,112406.95,199342.9
56,000777.SZ,2024-05-22,17.86,18.03,17.19,17.31,17.81,-0.5,-2.8074,155901.66,272932.852
57,000777.SZ,2024-05-23,17.3,17.3,16.7,16.77,17.31,-0.54,-3.1196,141830.06,240324.337
58,000777.SZ,2024-05-24,16.71,17.11,16.71,16.81,16.77,0.04,0.2385,87418.0,147886.963
59,000777.SZ,2024-05-27,16.91,17.24,16.5,16.96,16.81,0.15,0.8923,101364.04,170469.66
60,000777.SZ,2024-05-28,16.95,18.54,16.72,17.82,16.96,0.86,5.0708,316072.42,557190.965
61,000777.SZ,2024-05-29,17.7,18.05,17.22,17.7,17.82,-0.12,-0.6734,184960.19,324163.42
62,000777.SZ,2024-05-30,17.54,17.87,17.46,17.57,17.7,-0.13,-0.7345,108210.31,190802.088
63,000777.SZ,2024-05-31,17.75,17.84,17.1,17.13,17.57,-0.44,-2.5043,133010.7,230728.601
64,000777.SZ,2024-06-03,17.0,17.36,16.82,17.03,17.13,-0.1,-0.5838,109233.01,186203.468
65,000777.SZ,2024-06-04,17.03,17.14,16.44,17.12,17.03,0.09,0.5285,134489.93,225942.518
66,000777.SZ,2024-06-05,17.3,17.34,16.1,16.22,17.12,-0.9,-5.257,189805.63,312869.194
67,000777.SZ,2024-06-06,16.0,16.2,15.67,15.81,16.22,-0.41,-2.5277,153487.48,243696.735
