,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,605499.SH,2024-02-27,176.12,178.04,175.52,177.37,177.41,-0.04,-0.0225,3975.61,70200.891
1,605499.SH,2024-02-28,176.76,177.76,172.93,173.1,177.37,-4.27,-2.4074,6817.68,119511.974
2,605499.SH,2024-02-29,171.66,179.0,171.66,178.98,173.1,5.88,3.3969,7259.35,127643.472
3,605499.SH,2024-03-01,178.98,180.87,178.0,179.75,178.98,0.77,0.4302,6781.9,121935.389
4,605499.SH,2024-03-04,180.08,186.88,176.88,179.99,179.75,0.24,0.1335,15134.95,274811.847
5,605499.SH,2024-03-05,179.05,182.82,178.5,181.3,179.99,1.31,0.7278,8091.66,146398.957
6,605499.SH,2024-03-06,181.3,183.52,180.41,182.44,181.3,1.14,0.6288,5711.7,104242.352
7,605499.SH,2024-03-07,182.44,183.0,180.69,182.1,182.44,-0.34,-0.1864,4457.36,81127.98
8,605499.SH,2024-03-08,180.1,182.78,179.5,180.63,182.1,-1.47,-0.8072,3812.98,69287.687
9,605499.SH,2024-03-11,180.63,186.5,180.63,185.0,180.63,4.37,2.4193,7377.69,136193.523
10,605499.SH,2024-03-12,185.0,186.31,183.77,185.46,185.0,0.46,0.2486,6504.56,120598.328
11,605499.SH,2024-03-13,184.81,186.28,183.66,185.5,185.46,0.04,0.0216,4952.43,91819.231
12,605499.SH,2024-03-14,185.5,185.73,182.0,183.11,185.5,-2.39,-1.2884,4767.0,87848.558
13,605499.SH,2024-03-15,182.4,184.55,181.5,183.86,183.11,0.75,0.4096,3713.77,68289.78
14,605499.SH,2024-03-18,183.86,187.5,182.5,187.0,183.86,3.14,1.7078,8657.19,160765.308
15,605499.SH,2024-03-19,186.35,190.72,186.0,189.36,187.0,2.36,1.262,7731.7,146330.102
16,605499.SH,2024-03-20,188.0,190.35,187.6,188.29,189.36,-1.07,-0.5651,4851.98,91682.556
17,605499.SH,2024-03-21,188.0,190.3,187.61,188.8,188.29,0.51,0.2709,3445.76,65196.701
18,605499.SH,2024-03-22,176.0,189.33,176.0,180.41,188.8,-8.39,-4.4439,8965.18,164630.168
19,605499.SH,2024-03-25,183.4,188.62,183.27,185.28,180.41,4.87,2.6994,8930.55,166576.361
20,605499.SH,2024-03-26,184.95,188.76,184.95,187.5,185.28,2.22,1.1982,6368.18,119330.851
21,605499.SH,2024-03-27,186.05,188.28,184.66,185.23,187.5,-2.27,-1.2107,3747.51,70022.025
22,605499.SH,2024-03-28,184.6,188.98,184.6,188.33,185.23,3.1,1.6736,6262.89,117761.676
23,605499.SH,2024-03-29,187.67,189.89,185.5,186.73,188.33,-1.6,-0.8496,6066.4,113710.774
24,605499.SH,2024-04-01,187.38,188.7,185.15,186.5,186.73,-0.23,-0.1232,7191.4,134443.573
25,605499.SH,2024-04-02,187.0,190.07,185.52,189.45,186.5,2.95,1.5818,10499.91,197880.953
26,605499.SH,2024-04-03,189.75,191.44,188.01,189.62,189.45,0.17,0.0897,6750.4,128376.998
27,605499.SH,2024-04-08,189.43,191.8,188.26,190.24,189.62,0.62,0.327,9783.4,186179.314
28,605499.SH,2024-04-09,190.67,191.38,187.59,187.59,190.24,-2.65,-1.393,4888.7,92522.736
29,605499.SH,2024-04-10,188.0,189.75,186.45,188.64,187.59,1.05,0.5597,8227.17,155210.653
