,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600016.SH,2024-02-27,4.02,4.06,4.01,4.04,4.02,0.02,0.4975,612789.0,247057.62
1,600016.SH,2024-02-28,4.04,4.08,4.01,4.05,4.04,0.01,0.2475,968689.17,392196.531
2,600016.SH,2024-02-29,4.04,4.06,4.02,4.04,4.05,-0.01,-0.2469,1032669.6,417304.495
3,600016.SH,2024-03-01,4.04,4.07,4.03,4.06,4.04,0.02,0.495,957588.75,387803.087
4,600016.SH,2024-03-04,4.05,4.06,4.01,4.02,4.06,-0.04,-0.9852,829798.34,334233.89
5,600016.SH,2024-03-05,4.02,4.09,4.01,4.07,4.02,0.05,1.2438,1237953.77,502674.527
6,600016.SH,2024-03-06,4.08,4.1,4.06,4.07,4.07,0.0,0.0,687520.32,280325.765
7,600016.SH,2024-03-07,4.06,4.1,4.05,4.08,4.07,0.01,0.2457,734688.25,299553.493
8,600016.SH,2024-03-08,4.08,4.1,4.06,4.07,4.08,-0.01,-0.2451,580814.7,236741.379
9,600016.SH,2024-03-11,4.07,4.09,4.03,4.05,4.07,-0.02,-0.4914,776537.6,314308.586
10,600016.SH,2024-03-12,4.04,4.05,4.01,4.02,4.05,-0.03,-0.7407,843115.37,339227.136
11,600016.SH,2024-03-13,4.01,4.02,3.97,3.97,4.02,-0.05,-1.2438,660939.41,263642.831
12,600016.SH,2024-03-14,3.97,3.99,3.95,3.95,3.97,-0.02,-0.5038,661427.87,262433.148
13,600016.SH,2024-03-15,3.96,3.99,3.95,3.99,3.95,0.04,1.0127,761982.65,302892.416
14,600016.SH,2024-03-18,3.98,4.01,3.97,3.98,3.99,-0.01,-0.2506,641965.71,256024.74
15,600016.SH,2024-03-19,3.98,3.99,3.95,3.95,3.98,-0.03,-0.7538,550907.93,218184.634
16,600016.SH,2024-03-20,3.95,3.97,3.92,3.96,3.95,0.01,0.2532,625592.99,246816.775
17,600016.SH,2024-03-21,3.96,4.0,3.95,3.96,3.96,0.0,0.0,634321.21,251916.739
18,600016.SH,2024-03-22,3.97,3.97,3.92,3.96,3.96,0.0,0.0,794847.04,313708.164
19,600016.SH,2024-03-25,3.96,3.99,3.93,3.97,3.96,0.01,0.2525,746687.52,296236.253
20,600016.SH,2024-03-26,3.97,4.01,3.96,4.01,3.97,0.04,1.0076,920810.98,367320.088
21,600016.SH,2024-03-27,4.01,4.1,4.0,4.07,4.01,0.06,1.4963,1561572.44,634044.331
22,600016.SH,2024-03-28,4.07,4.09,4.02,4.06,4.07,-0.01,-0.2457,1302473.42,527398.745
23,600016.SH,2024-03-29,4.04,4.12,4.03,4.05,4.06,-0.01,-0.2463,1145287.61,466618.022
24,600016.SH,2024-04-01,4.05,4.07,4.01,4.02,4.05,-0.03,-0.7407,999637.29,402828.361
25,600016.SH,2024-04-02,4.02,4.08,4.02,4.06,4.02,0.04,0.995,1099158.41,445847.638
26,600016.SH,2024-04-03,4.06,4.07,4.01,4.03,4.06,-0.03,-0.7389,699962.39,282515.896
27,600016.SH,2024-04-08,4.03,4.05,4.01,4.01,4.03,-0.02,-0.4963,938461.71,378029.788
28,600016.SH,2024-04-09,4.02,4.03,3.96,3.98,4.01,-0.03,-0.7481,1071543.48,427319.159
29,600016.SH,2024-04-10,3.97,4.01,3.96,3.97,3.98,-0.01,-0.2513,755821.72,301503.938
30,600016.SH,2024-04-11,3.96,3.97,3.92,3.94,3.97,-0.03,-0.7557,819961.28,323630.142
31,600016.SH,2024-04-12,3.95,3.98,3.9,3.91,3.94,-0.03,-0.7614,851417.28,334866.049
32,600016.SH,2024-04-15,3.92,3.98,3.88,3.98,3.91,0.07,1.7903,1166888.72,460845.199
33,600016.SH,2024-04-16,3.98,3.99,3.93,3.95,3.98,-0.03,-0.7538,1323731.63,524612.213
34,600016.SH,2024-04-17,3.95,4.03,3.92,4.03,3.95,0.08,2.0253,1515884.47,603338.486
35,600016.SH,2024-04-18,4.02,4.1,4.01,4.06,4.03,0.03,0.7444,1664801.33,677123.335
36,600016.SH,2024-04-19,4.05,4.08,4.02,4.03,4.06,-0.03,-0.7389,929685.39,375896.394
37,600016.SH,2024-04-22,4.04,4.07,3.97,3.99,4.03,-0.04,-0.9926,1206207.7,483933.756
38,600016.SH,2024-04-23,3.99,4.02,3.96,3.96,3.99,-0.03,-0.7519,941368.08,375316.596
39,600016.SH,2024-04-24,3.97,3.98,3.94,3.97,3.96,0.01,0.2525,767976.8,304058.54
40,600016.SH,2024-04-25,3.96,3.99,3.94,3.98,3.97,0.01,0.2519,766038.58,303903.89
41,600016.SH,2024-04-26,3.98,4.0,3.92,3.95,3.98,-0.03,-0.7538,1362933.18,538525.702
42,600016.SH,2024-04-29,3.95,4.0,3.92,3.98,3.95,0.03,0.7595,1413449.66,561429.878
