,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002594.SZ,2024-02-27,187.45,193.93,187.2,193.7,186.0,7.7,4.1398,206342.65,3958101.887
1,002594.SZ,2024-02-28,196.0,196.52,188.0,188.0,193.7,-5.7,-2.9427,168291.53,3223632.043
2,002594.SZ,2024-02-29,187.01,191.61,186.19,191.2,188.0,3.2,1.7021,122362.89,2323915.657
3,002594.SZ,2024-03-01,190.9,192.98,188.77,192.18,191.2,0.98,0.5126,122158.28,2336111.334
4,002594.SZ,2024-03-04,190.0,191.7,188.1,189.27,192.18,-2.91,-1.5142,126865.1,2401200.046
5,002594.SZ,2024-03-05,187.5,191.65,185.5,190.82,189.27,1.55,0.8189,149624.43,2826124.074
6,002594.SZ,2024-03-06,190.0,192.98,189.0,191.65,190.82,0.83,0.435,100100.4,1914828.109
7,002594.SZ,2024-03-07,192.06,193.96,188.8,188.89,191.65,-2.76,-1.4401,101326.88,1935953.172
8,002594.SZ,2024-03-08,188.3,190.15,187.25,188.09,188.89,-0.8,-0.4235,67149.68,1263993.368
9,002594.SZ,2024-03-11,188.0,199.9,188.0,198.74,188.09,10.65,5.6622,278080.46,5440726.383
10,002594.SZ,2024-03-12,201.0,206.66,197.77,205.1,198.74,6.36,3.2002,245028.92,4958824.423
11,002594.SZ,2024-03-13,206.92,210.4,205.83,206.36,205.1,1.26,0.6143,177812.91,3691839.469
12,002594.SZ,2024-03-14,208.42,215.36,208.42,212.08,206.36,5.72,2.7719,211352.19,4497086.17
13,002594.SZ,2024-03-15,210.0,211.38,206.18,209.47,212.08,-2.61,-1.2307,146628.02,3057950.744
14,002594.SZ,2024-03-18,211.85,218.25,211.61,218.03,209.47,8.56,4.0865,196981.82,4250885.884
15,002594.SZ,2024-03-19,218.03,219.85,214.39,216.8,218.03,-1.23,-0.5641,146972.68,3194716.173
16,002594.SZ,2024-03-20,217.01,220.78,217.01,218.48,216.8,1.68,0.7749,96805.23,2118610.339
17,002594.SZ,2024-03-21,218.92,219.8,217.0,218.95,218.48,0.47,0.2151,88667.09,1938901.108
18,002594.SZ,2024-03-22,218.95,218.97,215.2,216.95,218.95,-2.0,-0.9135,104671.61,2266796.544
19,002594.SZ,2024-03-25,216.37,217.79,212.85,214.2,216.95,-2.75,-1.2676,99109.4,2133902.462
20,002594.SZ,2024-03-26,216.0,219.99,215.27,219.6,214.2,5.4,2.521,131346.27,2864082.717
21,002594.SZ,2024-03-27,219.61,219.7,210.01,211.98,219.6,-7.62,-3.4699,188848.98,4058093.22
22,002594.SZ,2024-03-28,209.85,211.84,206.01,208.38,211.98,-3.6,-1.6983,159435.31,3327175.192
23,002594.SZ,2024-03-29,208.43,208.52,201.17,203.06,208.38,-5.32,-2.553,141381.08,2873380.486
24,002594.SZ,2024-04-01,203.06,212.98,203.06,212.01,203.06,8.95,4.4076,142909.27,2995671.851
25,002594.SZ,2024-04-02,212.01,217.3,211.8,212.34,212.01,0.33,0.1557,107584.79,2301699.126
26,002594.SZ,2024-04-03,210.5,211.11,207.55,208.16,212.34,-4.18,-1.9685,83633.79,1747159.207
27,002594.SZ,2024-04-08,207.0,215.0,206.39,212.0,208.16,3.84,1.8447,128227.18,2722271.578
28,002594.SZ,2024-04-09,211.75,214.99,211.35,212.08,212.0,0.08,0.0377,84208.46,1791256.313
29,002594.SZ,2024-04-10,214.3,214.5,210.0,211.84,212.08,-0.24,-0.1132,72410.85,1537375.543
30,002594.SZ,2024-04-11,209.0,215.44,207.8,212.98,211.84,1.14,0.5381,100853.95,2130444.828
31,002594.SZ,2024-04-12,212.0,217.19,209.54,210.6,212.98,-2.38,-1.1175,114917.89,2453371.047
32,002594.SZ,2024-04-15,210.0,215.5,209.09,213.62,210.6,3.02,1.434,113331.92,2418635.357
33,002594.SZ,2024-04-16,212.4,215.35,210.71,211.63,213.62,-1.99,-0.9316,98323.04,2090984.65
34,002594.SZ,2024-04-17,211.0,213.18,209.6,213.0,211.63,1.37,0.6474,96921.62,2046775.945
35,002594.SZ,2024-04-18,212.0,216.5,209.4,213.6,213.0,0.6,0.2817,133997.56,2863779.538
36,002594.SZ,2024-04-19,212.19,212.87,207.06,210.13,213.6,-3.47,-1.6245,111770.43,2342512.356
37,002594.SZ,2024-04-22,210.0,211.53,208.1,208.56,210.13,-1.57,-0.7472,64694.78,1353615.963
38,002594.SZ,2024-04-23,208.55,208.56,203.99,205.04,208.56,-3.52,-1.6878,87299.94,1793533.843
39,002594.SZ,2024-04-24,206.89,208.8,204.5,207.42,205.04,2.38,1.1607,74978.92,1546983.916
40,002594.SZ,2024-04-25,207.4,211.51,206.62,208.94,207.42,1.52,0.7328,94683.84,1980120.669
41,002594.SZ,2024-04-26,210.0,219.76,210.0,219.37,208.94,10.43,4.9919,253453.78,5502292.294
42,002594.SZ,2024-04-29,221.08,225.4,218.73,221.38,219.37,2.01,0.9163,191675.93,4256800.048
43,002594.SZ,2024-04-30,223.5,224.38,218.5,218.5,221.38,-2.88,-1.3009,115559.66,2542063.035
44,002594.SZ,2024-05-06,225.0,228.39,223.5,226.3,218.5,7.8,3.5698,186778.87,4226418.539
45,002594.SZ,2024-05-07,226.3,231.99,224.04,229.88,226.3,3.58,1.582,144190.48,3301364.34
46,002594.SZ,2024-05-08,228.54,228.88,226.0,226.23,229.88,-3.65,-1.5878,91131.78,2070673.827
47,002594.SZ,2024-05-09,226.3,228.4,226.15,228.15,226.23,1.92,0.8487,79007.35,1796491.173
