,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000788.SZ,2024-02-27,5.26,5.4,5.21,5.4,5.28,0.12,2.2727,67436.22,35844.792
1,000788.SZ,2024-02-28,5.41,5.61,5.03,5.03,5.4,-0.37,-6.8519,165390.0,87892.033
2,000788.SZ,2024-02-29,4.99,5.23,4.96,5.23,5.03,0.2,3.9761,109237.0,55911.565
3,000788.SZ,2024-03-01,5.23,5.28,5.18,5.24,5.23,0.01,0.1912,74830.0,39157.933
4,000788.SZ,2024-03-04,5.27,5.35,5.23,5.33,5.24,0.09,1.7176,89398.01,47343.461
5,000788.SZ,2024-03-05,5.33,5.33,5.16,5.18,5.33,-0.15,-2.8143,62192.0,32392.075
6,000788.SZ,2024-03-06,5.2,5.23,5.08,5.16,5.18,-0.02,-0.3861,59739.0,30819.171
7,000788.SZ,2024-03-07,5.14,5.21,5.1,5.11,5.16,-0.05,-0.969,55299.01,28541.324
8,000788.SZ,2024-03-08,5.11,5.17,5.08,5.14,5.11,0.03,0.5871,37680.01,19314.595
9,000788.SZ,2024-03-11,5.17,5.22,5.12,5.22,5.14,0.08,1.5564,52313.0,27056.243
10,000788.SZ,2024-03-12,5.24,5.38,5.23,5.38,5.22,0.16,3.0651,82269.0,43932.17
11,000788.SZ,2024-03-13,5.38,5.41,5.27,5.31,5.38,-0.07,-1.3011,56202.0,29901.82
12,000788.SZ,2024-03-14,5.34,5.46,5.26,5.34,5.31,0.03,0.565,74419.0,39921.601
13,000788.SZ,2024-03-15,5.33,5.39,5.31,5.38,5.34,0.04,0.7491,53434.32,28640.153
14,000788.SZ,2024-03-18,5.39,5.47,5.36,5.47,5.38,0.09,1.6729,73169.71,39724.212
15,000788.SZ,2024-03-19,5.48,5.65,5.47,5.53,5.47,0.06,1.0969,105098.0,58260.759
16,000788.SZ,2024-03-20,5.52,5.59,5.5,5.57,5.53,0.04,0.7233,78721.24,43606.954
17,000788.SZ,2024-03-21,5.58,5.6,5.48,5.56,5.57,-0.01,-0.1795,69082.0,38269.669
